episode,reward,energy_saving_pct
1,-0.8052,4.3
2,-0.8885,6.31
3,-0.8298,5.19
4,-0.7402,6.08
5,-0.7408,6.39
6,-0.6288,5.11
7,-0.7521,6.51
8,-0.8462,5.42
9,-0.7993,4.71
10,-0.7673,6.63
11,-0.7545,8.74
12,-0.751,6.06
13,-0.7133,7.36
14,-0.6494,7.8
15,-0.6994,5.96
16,-0.8104,6.63
17,-0.6908,8.63
18,-0.7943,8.16
19,-0.7321,7.71
20,-0.6072,6.19
21,-0.7916,7.31
22,-0.5872,8.54
23,-0.6542,5.0
24,-0.6593,9.07
25,-0.7389,9.52
26,-0.6627,10.31
27,-0.6872,9.9
28,-0.7012,9.15
29,-0.6597,9.64
30,-0.5311,8.63
31,-0.6052,8.55
32,-0.6511,9.65
33,-0.6171,8.5
34,-0.653,9.01
35,-0.5919,11.74
36,-0.6845,8.93
37,-0.576,10.01
38,-0.6911,8.26
39,-0.6249,9.17
40,-0.5511,9.29
41,-0.5117,10.08
42,-0.711,9.44
43,-0.6539,10.13
44,-0.5898,10.01
45,-0.5504,10.43
46,-0.6131,9.06
47,-0.5801,9.26
48,-0.5732,11.7
49,-0.5746,10.45
50,-0.5682,11.32
51,-0.5612,11.61
52,-0.4765,11.39
53,-0.5647,10.07
54,-0.4873,9.46
55,-0.5494,11.19
56,-0.5787,11.73
57,-0.5534,13.19
58,-0.6227,13.85
59,-0.5877,12.32
60,-0.5665,11.98
61,-0.5199,12.07
62,-0.441,12.19
63,-0.5378,11.64
64,-0.5687,13.77
65,-0.4713,12.09
66,-0.5009,12.93
67,-0.449,13.01
68,-0.4554,10.43
69,-0.4728,11.82
70,-0.4802,13.28
71,-0.4463,14.26
72,-0.4469,13.3
73,-0.4418,13.87
74,-0.44,12.17
75,-0.4869,13.39
76,-0.5211,12.27
77,-0.4764,14.3
78,-0.4952,13.65
79,-0.5186,15.42
80,-0.3897,13.74
81,-0.4675,12.26
82,-0.5168,14.24
83,-0.3947,13.53
84,-0.4533,15.01
85,-0.4067,13.41
86,-0.4723,15.46
87,-0.4216,12.89
88,-0.4169,15.77
89,-0.4412,13.05
90,-0.4753,13.71
91,-0.4215,15.25
92,-0.4091,16.78
93,-0.4968,14.79
94,-0.3133,13.37
95,-0.3506,12.51
96,-0.4224,15.86
97,-0.3848,16.63
98,-0.4261,16.14
99,-0.4546,15.28
100,-0.3732,14.41
101,-0.4593,15.75
102,-0.3978,15.66
103,-0.4472,17.35
