comfort_class,class_name,layer,n_neurons,mean_spike_count,std_spike_count,sparsity_pct,mean_kappa_snn
0,Cold,hidden1,64,15.79,3.6,75.8,0.812
0,Cold,hidden2,32,19.91,2.84,72.4,0.829
0,Cold,output,5,14.85,5.05,84.5,0.929
1,Cool,hidden1,64,15.45,5.49,82.1,0.82
1,Cool,hidden2,32,19.76,5.78,79.4,0.906
1,Cool,output,5,10.35,3.83,77.6,0.954
2,Neutral,hidden1,64,15.71,5.06,75.8,0.803
2,Neutral,hidden2,32,17.42,4.03,82.4,0.848
2,Neutral,output,5,11.63,2.2,72.2,0.957
3,Warm,hidden1,64,10.44,5.19,79.5,0.953
3,Warm,hidden2,32,19.07,5.87,81.3,0.853
3,Warm,output,5,15.29,5.58,74.4,0.943
4,Hot,hidden1,64,12.28,2.82,82.2,0.932
4,Hot,hidden2,32,13.42,4.98,75.7,0.942
4,Hot,output,5,15.19,5.17,74.4,0.837
