epoch,train_accuracy,val_accuracy,train_loss
1,0.6136,0.5646,1.6602
2,0.6216,0.5709,1.6198
3,0.6418,0.5822,1.5915
4,0.6411,0.5835,1.5604
5,0.6439,0.6115,1.5259
6,0.6683,0.616,1.4969
7,0.6702,0.6082,1.459
8,0.6744,0.6203,1.4151
9,0.6968,0.6386,1.4018
10,0.6934,0.6424,1.3609
11,0.6985,0.6455,1.3226
12,0.7136,0.6438,1.3086
13,0.7209,0.6517,1.2782
14,0.7277,0.6662,1.2482
15,0.7366,0.6856,1.2175
16,0.7269,0.688,1.2079
17,0.7469,0.69,1.1736
18,0.7493,0.697,1.1466
19,0.7555,0.6786,1.1363
20,0.758,0.7051,1.1072
21,0.764,0.7106,1.0904
22,0.7703,0.7018,1.0633
23,0.7774,0.7367,1.0471
24,0.7707,0.7277,1.008
25,0.7902,0.7335,1.0168
26,0.7962,0.7277,0.9652
27,0.7982,0.7406,0.9717
28,0.8032,0.7443,0.9431
29,0.8093,0.7629,0.9477
30,0.8098,0.7595,0.9085
31,0.8235,0.7575,0.8973
32,0.8164,0.7479,0.8528
33,0.825,0.7539,0.8693
34,0.8193,0.7472,0.8453
35,0.8266,0.7688,0.807
36,0.8361,0.7793,0.8027
37,0.833,0.7793,0.7913
38,0.8342,0.7873,0.7906
39,0.8418,0.8026,0.7626
40,0.8432,0.781,0.7385
41,0.8412,0.7841,0.7332
42,0.8467,0.7958,0.73
43,0.8524,0.7853,0.7105
44,0.8417,0.8002,0.7055
45,0.8566,0.7998,0.6622
46,0.8543,0.796,0.6928
47,0.8598,0.7984,0.6626
48,0.857,0.8072,0.6546
49,0.8638,0.8084,0.6489
50,0.8767,0.8135,0.6421
51,0.8646,0.8294,0.6303
52,0.8683,0.8294,0.6006
53,0.8717,0.8264,0.5817
54,0.8648,0.8308,0.5936
55,0.8685,0.8193,0.591
56,0.8817,0.8345,0.5747
57,0.8776,0.8235,0.5397
58,0.8912,0.8382,0.5722
59,0.8791,0.85,0.5378
60,0.8946,0.8452,0.5431
61,0.878,0.8461,0.5072
62,0.8873,0.8322,0.5322
63,0.885,0.8423,0.5204
64,0.8947,0.8463,0.4984
65,0.8888,0.8541,0.5081
66,0.8907,0.8415,0.4898
67,0.894,0.848,0.4892
68,0.9085,0.8633,0.4728
69,0.9038,0.8522,0.4601
70,0.8956,0.8351,0.4787
71,0.8942,0.8454,0.4589
72,0.8956,0.8504,0.434
73,0.8954,0.8489,0.4433
74,0.9071,0.8603,0.4428
75,0.8991,0.8687,0.4411
76,0.9098,0.8713,0.4457
77,0.9106,0.873,0.425
78,0.9046,0.8582,0.4061
79,0.8988,0.8622,0.406
80,0.9109,0.8643,0.416
81,0.9015,0.8895,0.391
82,0.9085,0.8702,0.3952
83,0.9167,0.8669,0.3835
84,0.8977,0.8617,0.3805
85,0.9092,0.8795,0.3769
86,0.9079,0.8607,0.377
87,0.9095,0.8736,0.369
88,0.9053,0.8717,0.3501
89,0.9234,0.8704,0.3744
90,0.9144,0.8892,0.3692
91,0.9038,0.879,0.3563
92,0.9165,0.8836,0.3629
93,0.9208,0.8666,0.3541
94,0.9152,0.885,0.351
95,0.9242,0.8885,0.3428
96,0.9061,0.8802,0.3437
97,0.9227,0.875,0.3225
98,0.9161,0.8727,0.3262
99,0.9133,0.8799,0.3117
100,0.9222,0.8788,0.3113
101,0.9225,0.8761,0.3326
102,0.9266,0.8853,0.3213
103,0.9267,0.8836,0.3093
104,0.9201,0.8795,0.3018
105,0.912,0.8801,0.2949
106,0.9112,0.8698,0.2939
107,0.912,0.8826,0.2971
108,0.9188,0.8744,0.2724
109,0.9225,0.8817,0.3074
110,0.9243,0.8876,0.299
111,0.9247,0.8708,0.2977
112,0.918,0.8837,0.2976
113,0.9292,0.8892,0.2886
114,0.9307,0.8745,0.2889
115,0.9178,0.8822,0.2842
116,0.9225,0.8768,0.2971
117,0.9267,0.8948,0.2714
118,0.9308,0.8831,0.2868
119,0.9267,0.883,0.2658
120,0.921,0.8956,0.263
121,0.919,0.887,0.2581
122,0.9189,0.9039,0.2517
123,0.9232,0.8939,0.2718
124,0.9221,0.8936,0.2572
125,0.9185,0.8941,0.2691
126,0.9286,0.9009,0.2806
127,0.9235,0.8659,0.2581
128,0.9276,0.8965,0.2648
129,0.919,0.8847,0.2699
130,0.9307,0.882,0.261
131,0.93,0.8906,0.258
132,0.9317,0.8913,0.2385
133,0.9255,0.8782,0.2552
134,0.925,0.8829,0.2587
135,0.9295,0.8813,0.2694
136,0.9329,0.8861,0.2464
137,0.9264,0.8971,0.261
138,0.9189,0.8902,0.2414
139,0.9245,0.8957,0.2558
140,0.9337,0.8873,0.237
141,0.9309,0.9047,0.2454
142,0.9286,0.8903,0.2365
143,0.9251,0.9013,0.2421
144,0.9358,0.8948,0.241
145,0.9222,0.8882,0.2409
146,0.9275,0.9119,0.231
147,0.93,0.9046,0.2375
148,0.9298,0.8932,0.2405
149,0.9237,0.9024,0.2329
150,0.9319,0.8951,0.2266
