hour,month,hour_of_day,T_outdoor_C,kWh_m2_RB,kWh_m2_NA,PMV_NA
0,1,0,1.37,0.45259,0.36701,0.1
1,1,1,2.45,0.42447,0.37202,0.045
2,1,2,0.75,0.43669,0.37593,-0.213
3,1,3,1.71,0.42967,0.36704,0.111
4,1,4,3.26,0.46761,0.37275,0.103
5,1,5,1.38,0.42775,0.37046,0.117
6,1,6,3.7,0.43886,0.36225,0.054
7,1,7,2.88,0.45999,0.36216,-0.029
8,1,8,2.15,0.44074,0.36678,0.426
9,1,9,2.69,0.45378,0.37013,0.966
10,1,10,1.07,0.46202,0.37145,-0.255
11,1,11,-0.29,0.42479,0.36626,-0.085
12,1,12,0.47,0.46116,0.36587,-0.272
13,1,13,0.45,0.43004,0.37118,0.319
14,1,14,-0.08,0.43082,0.36745,-0.381
15,1,15,-1.53,0.43129,0.36639,0.036
16,1,16,-0.09,0.43281,0.36679,-0.048
17,1,17,-3.3,0.4524,0.36545,-0.089
18,1,18,-1.47,0.4283,0.37092,0.623
19,1,19,-3.31,0.42494,0.36462,0.323
20,1,20,-2.53,0.45024,0.37218,-0.163
21,1,21,-0.52,0.45523,0.37064,0.378
22,1,22,-1.1,0.44614,0.36308,-0.151
23,1,23,-0.15,0.46723,0.37589,-0.702
24,1,0,-0.15,0.4631,0.37458,0.576
25,1,1,1.26,0.43346,0.363,0.286
26,1,2,1.38,0.42542,0.37505,-0.755
27,1,3,1.79,0.45407,0.36522,0.417
28,1,4,0.53,0.46693,0.36256,0.008
29,1,5,2.98,0.44589,0.37052,-0.125
30,1,6,1.92,0.42523,0.3755,0.082
31,1,7,1.68,0.45492,0.36515,-0.577
32,1,8,1.93,0.46271,0.36577,0.681
33,1,9,2.43,0.43902,0.36774,-0.182
34,1,10,2.05,0.44418,0.36535,0.479
35,1,11,0.35,0.46592,0.36388,0.221
36,1,12,0.17,0.43275,0.3676,0.529
37,1,13,-0.49,0.43513,0.37446,-0.143
38,1,14,-0.06,0.42924,0.36687,-0.316
39,1,15,-1.76,0.43844,0.36337,0.51
40,1,16,-0.19,0.44981,0.37245,0.3
41,1,17,-2.03,0.44154,0.37556,0.823
42,1,18,-1.44,0.43326,0.36827,0.072
43,1,19,0.19,0.45428,0.36926,-0.009
44,1,20,-1.92,0.45377,0.36334,0.262
45,1,21,-0.71,0.44061,0.37329,0.316
46,1,22,0.92,0.4462,0.36178,0.595
47,1,23,-0.51,0.45404,0.36533,-0.122
48,1,0,-1.55,0.43084,0.37581,-0.279
49,1,1,0.97,0.45901,0.36389,0.52
50,1,2,1.42,0.46332,0.37151,0.378
51,1,3,1.36,0.43052,0.37309,-0.406
52,1,4,2.26,0.45374,0.37267,0.127
53,1,5,1.75,0.44286,0.37044,-0.458
54,1,6,2.05,0.44548,0.37275,0.258
55,1,7,2.46,0.43089,0.36962,-0.35
56,1,8,1.48,0.4624,0.3666,0.306
57,1,9,1.76,0.46358,0.36268,-0.548
58,1,10,2.67,0.44042,0.36271,-0.526
59,1,11,2.02,0.46769,0.36225,-0.211
60,1,12,-0.43,0.45484,0.36178,0.065
61,1,13,-0.23,0.46725,0.3762,-0.187
62,1,14,-0.28,0.44942,0.36834,-0.481
63,1,15,-0.81,0.4586,0.36564,0.07
64,1,16,-1.77,0.4378,0.36306,-1.114
65,1,17,-1.6,0.43354,0.36524,-0.08
66,1,18,-1.8,0.44721,0.36622,-0.658
67,1,19,-1.32,0.45962,0.3753,0.352
