hour,month,hour_of_day,T_outdoor_C,kWh_m2_RB,kWh_m2_NA,PMV_NA
0,1,0,10.0,0.25084,0.19886,-0.055
1,1,1,9.78,0.23432,0.20098,-0.094
2,1,2,12.08,0.2334,0.20181,0.307
3,1,3,10.44,0.23735,0.19557,0.217
4,1,4,11.47,0.24348,0.19643,-0.765
5,1,5,10.42,0.24006,0.19702,0.126
6,1,6,12.97,0.23779,0.19819,-0.09
7,1,7,10.89,0.24779,0.19547,0.044
8,1,8,10.63,0.24967,0.19761,-0.117
9,1,9,10.9,0.23374,0.20133,-0.423
10,1,10,11.32,0.24054,0.19824,-0.488
11,1,11,8.69,0.25666,0.20026,0.079
12,1,12,10.24,0.23506,0.19567,0.069
13,1,13,8.87,0.24242,0.19627,-0.12
14,1,14,8.04,0.23978,0.19842,0.423
15,1,15,8.41,0.23472,0.20194,-0.154
16,1,16,7.09,0.23303,0.20058,0.245
17,1,17,8.6,0.2518,0.19471,0.373
18,1,18,6.66,0.25405,0.19906,-0.124
19,1,19,7.09,0.24052,0.1967,-0.074
20,1,20,8.58,0.25464,0.19786,0.542
21,1,21,8.45,0.25154,0.19857,-0.258
22,1,22,8.46,0.24571,0.19751,0.626
23,1,23,9.07,0.2406,0.19815,-0.12
24,1,0,9.28,0.24295,0.20011,0.143
25,1,1,9.21,0.25569,0.20052,-0.201
26,1,2,11.42,0.2526,0.1956,0.132
27,1,3,11.01,0.25269,0.20122,0.387
28,1,4,10.53,0.23848,0.1975,-0.131
29,1,5,11.73,0.23306,0.19817,0.104
30,1,6,10.08,0.23583,0.1968,-0.168
31,1,7,11.27,0.24561,0.19969,0.162
32,1,8,11.49,0.25649,0.19612,-0.03
33,1,9,9.0,0.23988,0.19441,-0.011
34,1,10,10.56,0.23416,0.19633,0.985
35,1,11,9.83,0.23645,0.198,0.121
36,1,12,10.64,0.23872,0.19989,0.301
37,1,13,10.39,0.24842,0.19837,-0.561
38,1,14,7.51,0.23389,0.1988,-0.227
39,1,15,6.54,0.24871,0.1955,0.027
40,1,16,6.85,0.25586,0.19521,0.62
41,1,17,6.78,0.25556,0.20107,-0.129
42,1,18,8.31,0.25293,0.19852,-0.492
43,1,19,5.96,0.23518,0.20123,0.074
44,1,20,8.03,0.24121,0.19689,0.313
45,1,21,8.61,0.25464,0.2003,0.119
46,1,22,7.82,0.23686,0.20124,0.093
47,1,23,9.28,0.23302,0.19539,-0.286
48,1,0,11.37,0.24888,0.1959,0.19
49,1,1,9.04,0.24087,0.20004,0.315
50,1,2,11.46,0.24902,0.19862,0.165
51,1,3,10.67,0.2394,0.19605,-0.301
52,1,4,11.15,0.25476,0.19912,0.136
53,1,5,11.44,0.24704,0.19802,0.581
54,1,6,12.13,0.23978,0.19431,-0.343
55,1,7,10.36,0.25595,0.20168,0.193
56,1,8,11.01,0.23327,0.20148,0.286
57,1,9,11.39,0.25652,0.20088,-0.029
58,1,10,9.65,0.25376,0.19663,-0.606
59,1,11,10.23,0.25584,0.19964,-0.498
60,1,12,8.62,0.24797,0.20197,0.061
61,1,13,9.04,0.2544,0.19999,-0.457
62,1,14,9.58,0.24171,0.19645,0.422
63,1,15,8.6,0.25415,0.20136,0.206
64,1,16,8.28,0.25246,0.19927,1.541
65,1,17,8.52,0.25471,0.1968,0.261
66,1,18,6.73,0.24707,0.19441,-0.095
67,1,19,9.88,0.23992,0.1988,-0.747
68,1,20,7.3,0.23601,0.19826,0.436
69,1,21,7.37,0.24816,0.1948,0.272
70,1,22,8.55,0.24615,0.19917,-0.261
71,1,23,6.96,0.25239,0.19627,0.075
72,1,0,8.71,0.23352,0.20175,-0.046
73,1,1,10.52,0.24292,0.19549,0.346
74,1,2,10.03,0.24636,0.19978,-0.261
75,1,3,9.65,0.2563,0.19997,0.367
76,1,4,13.35,0.24318,0.19608,0.413
77,1,5,12.7,0.23325,0.19504,-0.283
