hour,zone_temp_C,zone_rh_pct,co2_ppm,occupancy_frac,hvac_power_kw,hvac_power_kw_na,lighting_kw,pmv,ppd_pct,ashrae55_ok,outdoor_temp_C,peak_demand_kw
0,21.94,57.4,422.0,0.15,90.0,68.67,0.01,-0.277,95.3,1,33.25,90.01
1,23.18,56.2,400.0,0.18,113.29,86.44,0.8,0.399,93.5,1,34.93,114.09
2,24.31,60.6,426.0,0.1,135.0,103.0,0.98,0.252,94.1,1,36.23,135.98
3,23.9,56.6,400.0,0.29,153.64,117.23,0.83,0.609,92.4,1,37.07,154.47
4,24.48,58.2,400.0,0.19,167.94,128.14,0.62,0.641,92.2,1,37.38,168.56
5,24.93,58.9,400.0,0.08,176.93,135.0,0.75,0.429,93.4,1,37.15,177.68
6,24.89,54.9,400.0,0.27,180.0,137.34,0.28,0.534,92.8,1,36.39,180.28
7,24.63,52.9,405.0,0.19,176.93,135.0,0.28,0.367,93.7,1,35.15,177.21
8,24.56,51.4,999.0,1.0,218.32,166.58,10.86,0.625,92.3,1,33.52,229.18
9,23.76,48.9,1040.0,1.0,199.73,152.4,10.59,0.382,93.6,1,31.6,210.32
10,23.9,47.5,1036.0,1.0,175.5,133.91,10.45,0.497,93.0,1,29.53,185.95
11,23.55,44.4,1005.0,1.0,147.28,112.38,10.63,-0.004,94.9,1,27.45,157.91
12,21.9,42.3,1024.0,1.0,117.0,89.27,10.38,-0.052,95.0,1,25.49,127.38
13,22.1,36.6,997.0,1.0,147.28,112.38,10.9,-0.237,95.2,1,23.8,158.18
14,20.5,40.5,997.0,1.0,175.5,133.91,10.29,0.053,94.8,1,22.48,185.79
15,19.58,43.5,1004.0,1.0,199.73,152.4,10.16,-0.36,95.3,1,21.63,209.89
16,19.8,42.4,995.0,1.0,218.32,166.58,10.18,-0.454,95.2,1,21.3,228.51
17,18.7,44.5,1006.0,1.0,230.01,175.5,10.92,-0.521,95.2,1,21.52,240.94
18,19.38,43.2,1020.0,1.0,234.0,178.54,10.31,-0.265,95.3,1,22.26,244.31
19,19.3,46.8,400.0,0.09,176.93,135.0,0.98,0.114,94.6,1,23.49,177.91
20,19.27,50.7,400.0,0.15,167.94,128.14,0.04,0.069,94.7,1,25.11,167.98
21,19.7,53.0,423.0,0.14,153.64,117.23,0.05,-0.211,95.2,1,27.01,153.69
22,20.14,56.2,400.0,0.01,135.0,103.01,0.82,-0.44,95.3,1,29.07,135.82
23,21.82,54.5,400.0,0.11,113.29,86.44,0.4,-0.246,95.2,1,31.14,113.7
