fault_id,fault_type,severity,duration_min
F000,comm_delay,low,93
F001,hvac_degraded,medium,153
F002,hvac_degraded,low,186
F003,hvac_degraded,high,123
F004,sensor_noise,medium,195
F005,actuator_stuck,high,35
F006,comm_delay,low,224
F007,hvac_degraded,high,140
F008,comm_delay,high,41
F009,actuator_stuck,medium,192
F010,comm_delay,high,223
F011,comm_delay,medium,89
F012,comm_delay,high,114
F013,comm_delay,medium,217
F014,actuator_stuck,high,131
F015,comm_delay,low,87
F016,sensor_noise,low,155
F017,comm_delay,medium,42
F018,actuator_stuck,medium,85
F019,sensor_noise,low,199
F020,sensor_noise,low,27
F021,hvac_degraded,low,137
F022,comm_delay,high,165
F023,sensor_noise,medium,126
F024,hvac_degraded,low,96
F025,sensor_noise,low,222
F026,comm_delay,high,195
F027,sensor_noise,low,198
F028,hvac_degraded,medium,27
F029,comm_delay,high,238
F030,hvac_degraded,high,123
F031,actuator_stuck,low,167
F032,hvac_degraded,medium,93
F033,hvac_degraded,high,141
F034,actuator_stuck,low,171
F035,comm_delay,medium,131
F036,actuator_stuck,medium,139
F037,hvac_degraded,low,88
F038,comm_delay,low,238
F039,sensor_noise,low,47
F040,actuator_stuck,low,92
F041,actuator_stuck,low,198
F042,actuator_stuck,low,116
F043,comm_delay,medium,6
F044,actuator_stuck,high,28
F045,sensor_noise,high,213
F046,actuator_stuck,high,238
F047,actuator_stuck,medium,66
F048,hvac_degraded,low,54
F049,hvac_degraded,low,61
F050,sensor_noise,medium,219
F051,comm_delay,high,6
F052,comm_delay,low,27
F053,hvac_degraded,medium,89
F054,comm_delay,high,235
F055,comm_delay,medium,25
F056,actuator_stuck,medium,83
F057,sensor_noise,high,48
F058,actuator_stuck,medium,82
F059,hvac_degraded,low,166
F060,hvac_degraded,high,51
F061,hvac_degraded,medium,102
F062,hvac_degraded,low,43
F063,actuator_stuck,high,7
F064,comm_delay,low,122
F065,sensor_noise,high,79
F066,sensor_noise,medium,179
F067,actuator_stuck,low,6
F068,sensor_noise,high,16
F069,hvac_degraded,low,220
F070,hvac_degraded,high,106
F071,sensor_noise,medium,207
F072,comm_delay,medium,30
F073,actuator_stuck,high,88
F074,actuator_stuck,low,168
F075,actuator_stuck,medium,61
F076,sensor_noise,medium,56
F077,hvac_degraded,low,30
F078,actuator_stuck,low,86
F079,actuator_stuck,medium,170
F080,comm_delay,low,73
F081,comm_delay,low,33
F082,sensor_noise,medium,151
F083,comm_delay,low,162
F084,sensor_noise,low,100
F085,hvac_degraded,low,65
F086,comm_delay,low,176
F087,actuator_stuck,medium,176
F088,actuator_stuck,low,145
F089,sensor_noise,high,97
F090,actuator_stuck,low,123
F091,sensor_noise,low,37
F092,comm_delay,medium,5
F093,sensor_noise,low,70
F094,hvac_degraded,medium,127
F095,sensor_noise,low,167
F096,comm_delay,high,60
F097,actuator_stuck,low,165
F098,actuator_stuck,low,77
F099,sensor_noise,medium,145
F100,comm_delay,low,30
F101,hvac_degraded,high,80
F102,comm_delay,high,50
F103,sensor_noise,medium,154
F104,hvac_degraded,low,171
F105,hvac_degraded,medium,14
F106,comm_delay,low,98
F107,sensor_noise,low,147
F108,comm_delay,low,178
F109,actuator_stuck,low,188
F110,comm_delay,low,186
F111,hvac_degraded,medium,37
F112,hvac_degraded,medium,153
F113,hvac_degraded,low,196
F114,hvac_degraded,low,135
