frame,snn_inference_ms,websocket_ms,e2e_latency_ms
1,5.65,4.0,21.95
2,5.18,4.4,18.32
3,4.19,3.64,18.03
4,4.35,4.0,17.35
5,4.49,3.24,16.92
6,4.15,3.53,16.75
7,4.14,10.17,25.28
8,5.69,5.11,20.88
9,4.56,4.87,19.0
10,6.25,3.82,18.8
11,4.47,7.27,21.9
12,4.46,4.62,18.53
13,4.33,3.21,16.48
14,4.41,3.24,18.27
15,4.43,3.73,20.13
16,4.35,3.21,16.22
17,4.57,4.4,18.15
18,5.83,3.26,23.03
19,4.38,6.38,23.55
20,4.17,3.95,17.17
21,4.27,3.44,21.21
22,4.5,5.69,19.34
23,4.86,3.78,17.96
24,5.61,3.32,24.25
25,4.2,4.0,17.9
26,4.67,3.51,16.77
27,4.7,5.51,19.25
28,4.6,3.24,16.57
29,7.1,5.76,21.75
30,4.34,5.35,18.19
31,4.23,6.45,20.1
32,4.15,3.85,18.51
33,5.03,3.55,19.01
34,4.68,3.38,19.78
35,4.12,3.42,30.78
36,4.71,4.14,19.17
37,4.58,6.88,23.65
38,4.24,4.03,17.17
39,4.71,3.91,19.54
40,4.37,3.66,17.36
41,4.17,5.85,21.28
42,9.16,3.72,24.1
43,4.68,7.05,20.5
44,4.19,4.35,18.2
45,4.27,3.81,17.13
46,4.29,4.7,17.96
47,4.38,3.98,17.12
48,6.39,4.11,19.8
49,4.11,8.28,22.86
50,4.51,3.56,20.11
51,4.81,3.98,18.29
52,4.34,3.95,18.06
53,4.29,6.76,22.79
54,4.25,3.22,16.94
55,4.33,4.61,22.51
56,4.19,3.43,16.66
57,4.15,3.31,17.77
58,4.36,5.15,18.67
59,4.49,4.78,21.47
60,4.78,4.04,18.95
61,5.2,5.46,19.7
62,4.13,5.67,19.56
63,4.84,3.79,17.76
64,5.72,3.88,20.39
65,4.52,4.02,17.35
66,4.28,3.54,19.53
67,4.46,3.79,19.77
68,7.56,3.28,19.67
69,4.53,3.94,18.2
70,4.36,3.27,18.41
71,4.21,4.12,20.17
72,4.73,5.39,18.74
73,4.45,3.85,16.94
74,5.62,3.38,24.85
75,5.2,3.6,22.18
76,6.3,5.47,22.1
77,4.11,4.89,21.27
78,8.21,3.28,23.39
79,4.49,5.4,18.58
80,6.57,3.6,19.2
81,4.27,3.54,19.52
82,4.3,4.07,20.38
83,4.25,6.09,18.96
84,4.49,4.19,17.37
85,5.03,3.71,20.08
86,4.96,6.72,22.12
87,4.95,3.7,17.31
88,4.39,5.25,21.32
89,5.31,3.4,19.56
90,4.62,3.56,19.14
91,4.47,4.3,18.98
92,4.56,3.58,18.0
93,4.14,4.76,18.39
94,5.39,4.36,19.24
95,5.83,3.28,23.93
