window_id,building,start_minute,rater_1,rater_2,rater_3,comfort_label,split
0,mixed_use,1897,0,0,1,0,train
1,residential,2290,0,0,0,0,train
2,mixed_use,1834,0,-2,0,0,train
3,medium_office,1832,0,0,0,0,train
4,medium_office,246,-2,0,0,0,train
5,mixed_use,1206,0,0,-1,0,train
6,residential,2683,0,0,0,0,train
7,residential,1652,0,0,0,0,train
8,residential,1646,0,0,-1,0,train
9,medium_office,139,-1,0,2,-1,train
10,medium_office,1592,0,0,-1,0,train
11,mixed_use,237,1,0,-1,-1,train
12,mixed_use,1161,2,0,0,0,train
13,medium_office,916,-1,2,0,-1,train
14,residential,1625,0,1,0,0,train
15,mixed_use,2967,0,0,0,0,train
16,mixed_use,2646,0,0,0,0,train
17,mixed_use,818,1,0,0,0,train
18,mixed_use,2547,-1,0,-1,-1,train
19,medium_office,2758,1,0,0,0,train
20,medium_office,1886,1,2,-2,-2,train
21,residential,2576,0,0,0,0,train
22,medium_office,1405,0,-1,-1,-1,train
23,mixed_use,2321,0,0,-1,0,train
24,medium_office,2361,0,0,0,0,train
25,mixed_use,2182,0,0,0,0,train
26,medium_office,1610,0,1,0,0,train
27,mixed_use,1290,0,0,0,0,train
28,medium_office,426,0,1,0,0,train
29,medium_office,776,0,-1,0,0,train
30,medium_office,1941,0,1,2,0,train
31,mixed_use,659,0,1,0,0,train
32,mixed_use,149,1,-2,-1,-2,train
33,medium_office,2220,0,-1,0,0,train
34,medium_office,927,0,0,-1,0,train
35,mixed_use,2496,0,0,1,0,train
36,mixed_use,1717,-1,0,0,0,train
37,mixed_use,2952,0,-1,2,-1,train
38,mixed_use,2104,0,0,1,0,train
39,residential,1077,2,0,0,0,train
40,mixed_use,1660,0,0,-2,0,train
41,mixed_use,591,0,0,1,0,train
42,residential,404,0,0,0,0,train
43,residential,1622,0,0,1,0,train
44,residential,1112,0,0,0,0,train
45,mixed_use,1137,2,0,0,0,train
46,medium_office,1394,-1,-1,0,-1,train
47,residential,579,2,-1,0,-1,train
48,mixed_use,2882,0,0,0,0,train
49,medium_office,1665,0,0,0,0,train
50,residential,2922,0,1,2,0,train
51,residential,2717,0,0,2,0,train
52,medium_office,1985,-1,0,0,0,train
53,medium_office,129,0,0,0,0,train
54,residential,710,-1,0,1,-1,train
55,medium_office,1120,1,0,0,0,train
56,residential,379,0,0,-2,0,train
57,mixed_use,359,1,0,-1,-1,train
58,residential,565,0,0,0,0,train
59,mixed_use,843,0,0,-1,0,train
60,residential,1694,-2,-1,-1,-1,train
61,residential,2109,0,-1,-1,-1,train
62,medium_office,46,1,1,0,1,train
63,residential,1003,0,0,-2,0,train
64,medium_office,452,0,0,0,0,train
65,mixed_use,648,-1,0,-1,-1,train
66,medium_office,2908,0,2,0,0,train
67,medium_office,2917,-2,0,0,0,train
68,residential,2912,1,0,1,1,train
69,mixed_use,1275,1,0,0,0,train
70,mixed_use,1181,1,1,0,1,train
71,residential,616,0,-1,-1,-1,train
72,residential,2734,0,1,0,0,train
73,residential,685,0,2,0,0,train
74,mixed_use,641,0,0,0,0,train
75,mixed_use,394,0,0,0,0,train
76,medium_office,1081,1,0,-1,-1,train
77,mixed_use,2023,0,0,0,0,train
78,medium_office,1654,0,-2,-1,-2,train
79,mixed_use,2326,0,0,0,0,train
80,residential,2820,-1,0,-1,-1,train
