hour,day,hour_of_day,T_supply_zone1,T_supply_zone2,T_supply_zone3,blind_east,blind_west,lighting_lux,energy_kWh,comfort_class,kappa_SNN
0,0,0,22.1,22.3,21.3,0.03,0.91,482.0,0.1496,3,0.818
1,0,1,21.6,21.4,20.9,0.29,0.99,435.0,0.1272,2,0.913
2,0,2,21.6,21.7,21.1,0.49,0.16,340.0,0.1003,2,0.847
3,0,3,21.9,22.0,21.5,0.23,0.87,340.0,0.0579,0,0.855
4,0,4,21.7,22.3,21.8,0.87,0.45,713.0,0.124,2,0.977
5,0,5,21.6,21.4,21.1,0.23,0.67,409.0,0.1127,2,0.895
6,0,6,21.7,21.0,21.1,0.88,0.54,655.0,0.1068,1,0.939
7,0,7,21.6,21.7,22.0,0.47,0.62,409.0,0.1212,2,0.687
8,0,8,21.4,21.1,21.0,0.86,0.98,329.0,0.111,3,0.656
9,0,9,21.0,21.7,20.9,0.77,0.74,423.0,0.1205,2,0.852
10,0,10,20.9,21.6,20.6,0.94,0.24,627.0,0.1438,2,0.933
11,0,11,21.3,21.5,20.5,0.22,0.93,408.0,0.0521,2,0.691
12,0,12,21.5,20.9,21.7,0.5,0.57,528.0,0.0541,2,0.722
13,0,13,21.4,21.1,20.9,0.9,0.11,675.0,0.1021,2,0.693
14,0,14,21.1,20.6,20.9,0.09,0.87,743.0,0.1447,2,0.722
15,0,15,21.2,20.9,21.4,0.78,0.13,449.0,0.1385,2,0.867
16,0,16,20.8,21.4,21.1,0.56,0.93,549.0,0.0605,3,0.87
17,0,17,21.2,21.1,21.6,0.48,0.16,349.0,0.0661,2,0.867
18,0,18,21.3,21.7,20.7,0.05,0.62,698.0,0.0991,2,0.679
19,0,19,20.7,20.5,20.1,0.58,0.67,598.0,0.1427,3,0.844
20,0,20,20.7,19.5,21.1,0.79,0.04,731.0,0.1345,1,0.698
21,0,21,20.6,20.1,20.4,0.59,0.53,718.0,0.0834,2,0.765
22,0,22,20.0,19.9,20.7,0.9,0.21,411.0,0.0544,2,0.671
23,0,23,19.9,19.7,19.9,0.95,0.97,550.0,0.0705,4,0.893
24,1,0,19.8,19.7,19.6,0.96,0.4,631.0,0.111,2,0.887
25,1,1,20.3,20.6,20.9,0.23,0.81,321.0,0.0589,1,0.661
26,1,2,20.5,20.8,20.4,0.61,0.21,332.0,0.0553,2,0.892
27,1,3,19.9,19.6,19.9,0.96,0.96,306.0,0.0699,2,0.922
28,1,4,20.0,19.3,19.9,0.57,0.35,739.0,0.1222,1,0.928
29,1,5,20.2,20.2,20.4,0.21,0.66,502.0,0.1058,2,0.906
30,1,6,20.4,20.1,20.7,0.52,0.6,393.0,0.1385,2,0.659
31,1,7,20.3,20.7,19.8,0.1,0.09,585.0,0.09,2,0.697
32,1,8,20.6,21.6,20.5,0.83,0.73,580.0,0.1285,3,0.825
