sample_id,T_now_C,RH_now_pct,CO2_now_ppm,T_forecast_30min_C,PMV_forecast,comfort_class_now,comfort_class_forecast
0,24.97,42.5,632.0,24.98,0.329,2,2
1,19.87,48.6,854.0,19.93,-0.368,2,2
2,18.2,64.2,690.0,18.46,-0.437,2,2
3,24.09,34.6,577.0,24.81,0.263,2,2
4,27.58,66.8,606.0,26.87,0.443,2,2
5,19.63,30.2,537.0,19.72,-0.247,3,2
6,18.34,69.1,1076.0,19.1,-0.168,0,3
7,25.85,67.6,1190.0,24.88,0.3,3,2
8,22.15,51.9,720.0,22.75,0.07,2,2
9,27.33,40.0,715.0,27.27,0.772,2,4
10,18.86,56.8,1151.0,18.62,-0.356,2,3
11,27.53,51.7,525.0,27.67,0.367,2,2
12,24.46,46.5,589.0,24.09,0.207,3,2
13,22.49,56.6,587.0,21.58,0.146,1,2
14,23.9,33.0,1097.0,24.2,0.141,2,2
15,18.68,40.6,1082.0,19.56,-0.21,2,2
16,24.74,63.4,1023.0,24.85,0.428,3,2
17,26.71,39.5,734.0,28.09,0.533,3,2
18,22.85,52.6,925.0,23.78,0.196,3,2
19,23.81,41.4,1103.0,24.72,0.314,2,3
20,25.62,41.7,730.0,26.16,0.396,2,2
21,26.13,36.7,602.0,26.0,0.297,2,2
22,23.0,39.1,1181.0,22.54,0.27,4,2
23,21.26,45.8,993.0,20.44,-0.078,3,2
24,18.63,67.5,629.0,18.05,-0.374,2,1
25,24.63,63.6,1092.0,25.16,0.297,2,3
26,21.32,37.2,430.0,21.38,0.01,2,2
27,23.33,64.3,1178.0,23.09,0.186,1,2
28,21.74,37.6,534.0,21.47,-0.021,3,2
29,18.07,42.2,433.0,17.59,-0.42,4,2
30,27.04,42.8,1104.0,26.13,0.615,2,1
31,19.06,55.7,792.0,18.62,-0.53,3,2
32,20.38,32.5,624.0,20.16,-0.306,2,2
33,25.75,40.8,530.0,26.09,0.573,1,2
34,20.58,60.6,462.0,21.18,0.0,2,2
35,23.71,44.7,1034.0,25.25,0.397,2,3
36,21.11,59.5,492.0,22.15,-0.047,3,2
37,20.83,52.0,469.0,20.03,-0.106,2,3
38,26.98,50.5,530.0,26.62,0.435,2,2
39,18.12,34.2,583.0,18.18,-0.328,2,1
40,18.42,51.9,486.0,19.32,-0.369,3,2
41,18.88,64.3,616.0,18.18,-0.411,2,2
42,20.82,48.9,834.0,20.07,-0.293,2,2
43,23.52,38.2,780.0,23.77,0.02,4,2
44,18.16,68.3,706.0,18.19,-0.581,3,3
45,22.52,35.2,424.0,21.56,-0.209,2,3
46,25.27,35.9,882.0,23.19,0.216,3,3
47,21.27,32.8,487.0,20.81,-0.081,2,1
48,23.33,36.6,630.0,23.67,0.234,2,2
49,26.11,46.2,710.0,24.9,0.226,2,3
50,24.52,35.3,630.0,25.02,0.299,2,2
51,20.82,31.5,939.0,21.59,0.163,2,2
52,27.18,37.4,823.0,27.05,0.571,4,2
53,22.69,42.7,640.0,22.25,0.076,2,4
54,18.35,62.5,695.0,17.39,-0.395,2,2
55,26.76,32.8,547.0,26.05,0.25,2,2
56,27.39,61.7,1170.0,29.14,0.821,3,2
57,20.48,57.6,530.0,20.3,-0.267,3,2
58,24.77,62.5,978.0,26.27,0.455,3,1
59,23.4,52.4,1033.0,22.95,-0.008,2,1
60,18.12,43.9,916.0,18.81,-0.476,2,2
61,22.98,48.9,1019.0,22.7,0.037,2,2
62,18.81,69.0,429.0,19.91,-0.271,2,2
63,18.06,56.5,605.0,16.38,-0.5,2,2
64,19.55,57.2,1168.0,20.11,-0.211,2,1
65,20.86,42.3,903.0,20.48,-0.159,4,2
66,25.29,44.6,480.0,25.87,0.389,0,2
67,19.65,56.6,502.0,20.35,-0.307,2,1
68,22.83,31.0,759.0,23.87,0.076,2,1
69,21.25,57.4,468.0,20.61,-0.255,2,1
70,23.98,43.6,835.0,22.62,0.03,3,2
71,18.02,38.0,1007.0,18.11,-0.46,2,2
72,24.21,33.8,942.0,24.96,0.331,4,1
73,19.24,53.1,510.0,18.77,-0.334,2,2
74,26.36,47.0,1170.0,26.88,0.571,3,1
75,22.79,64.6,1192.0,22.56,-0.026,2,2
76,18.37,32.7,1049.0,18.59,-0.291,2,2
77,24.74,69.1,449.0,25.6,0.216,1,4
78,27.58,67.2,667.0,27.68,0.567,2,2
79,24.47,47.9,1151.0,24.66,0.231,3,2
80,21.76,48.1,970.0,22.07,0.148,2,2
81,25.27,50.8,456.0,24.94,0.292,2,4
82,26.94,44.1,959.0,26.09,0.503,2,2
83,19.12,53.6,403.0,17.85,-0.445,2,2
84,25.12,47.4,856.0,24.54,0.137,3,2
85,20.6,32.7,509.0,21.26,-0.175,0,2
86,27.88,37.3,927.0,26.48,0.634,4,0
87,24.85,54.4,665.0,26.01,0.489,2,2
88,19.44,40.9,731.0,20.03,-0.02,2,2
89,20.31,46.1,1131.0,19.76,-0.225,2,2
90,24.84,64.4,1067.0,25.03,0.431,2,2
91,20.09,48.7,1114.0,20.47,-0.176,1,3
92,21.55,30.4,453.0,20.01,-0.499,0,4
93,22.35,48.8,684.0,21.16,-0.193,2,3
94,22.7,42.3,490.0,23.23,-0.091,3,2
95,24.45,62.0,721.0,24.04,0.165,2,2
96,22.83,61.8,873.0,23.04,-0.067,2,2
97,22.24,59.5,1030.0,22.56,-0.024,2,2
98,27.48,30.8,545.0,27.94,0.534,3,2
99,23.22,67.5,673.0,23.64,0.405,3,2
100,24.2,53.0,611.0,25.2,0.328,2,2
101,20.81,55.2,961.0,19.77,-0.252,3,2
102,20.88,57.7,784.0,21.29,-0.212,0,0
103,18.06,54.3,562.0,17.44,-0.532,1,2
104,22.68,40.2,965.0,21.55,-0.08,2,2
105,27.49,68.7,683.0,25.7,0.384,2,2
106,22.62,65.8,1061.0,23.11,0.065,4,4
107,20.97,32.2,718.0,21.15,-0.183,2,2
108,20.03,37.1,468.0,20.16,-0.327,2,2
109,22.03,46.5,643.0,21.89,-0.002,2,3
110,27.38,31.4,593.0,28.29,0.493,4,2
111,23.83,51.1,804.0,24.23,0.222,2,3
112,23.0,54.6,480.0,23.77,0.034,2,4
113,18.89,30.6,1139.0,18.54,-0.316,2,2
114,25.83,55.9,1184.0,25.35,0.191,2,3
115,24.24,55.2,855.0,24.73,0.219,2,2
116,18.49,36.5,815.0,19.09,-0.237,2,1
117,20.96,43.0,456.0,21.1,-0.013,2,3
118,27.81,46.2,578.0,27.94,0.552,3,1
119,22.45,49.7,468.0,23.61,0.194,4,3
120,22.17,64.1,1054.0,21.92,-0.081,2,3
121,26.05,32.7,1063.0,25.89,0.283,2,2
122,27.39,36.7,981.0,28.7,0.547,3,2
123,24.68,34.9,1098.0,22.47,-0.039,2,2
124,26.78,35.1,600.0,27.29,0.471,2,2
125,21.49,49.3,684.0,21.14,-0.09,1,4
126,27.56,58.3,879.0,28.19,0.568,2,2
127,23.24,54.2,982.0,23.32,0.193,3,1
128,24.84,61.6,445.0,23.4,0.111,2,4
129,27.47,68.0,845.0,28.35,0.625,2,3
130,21.19,61.8,442.0,21.29,-0.079,3,2
131,21.53,52.5,1052.0,23.15,0.082,4,0
132,27.56,66.4,1104.0,25.85,0.451,2,0
133,26.49,43.2,936.0,27.49,0.461,2,2
134,25.72,32.5,816.0,26.75,0.464,0,2
135,19.39,56.9,882.0,19.2,-0.106,2,1
136,27.02,37.5,547.0,27.34,0.627,2,2
137,20.97,38.7,746.0,21.77,-0.024,0,2
138,21.59,39.4,494.0,21.67,0.127,2,2
139,22.11,49.7,1085.0,23.03,-0.002,2,2
140,22.96,60.8,559.0,24.12,0.349,1,3
141,24.16,64.6,647.0,25.17,0.409,2,2
142,20.66,52.3,824.0,19.97,-0.187,2,2
143,20.06,51.9,765.0,19.03,-0.404,2,2
144,23.67,57.6,502.0,24.56,0.233,2,1
145,24.9,36.6,704.0,24.28,0.106,1,2
146,25.8,58.3,592.0,25.87,0.295,4,2
147,22.63,61.9,971.0,23.47,0.307,0,0
148,25.84,64.6,1111.0,25.68,0.444,2,3
149,22.77,55.3,568.0,23.19,-0.014,4,2
150,22.1,41.4,745.0,22.33,-0.111,2,0
151,25.02,48.0,766.0,24.62,0.285,4,3
152,23.21,47.5,845.0,23.33,0.094,2,2
153,23.2,32.6,513.0,23.44,0.215,1,1
154,19.26,45.5,993.0,19.39,-0.289,3,2
155,26.97,42.4,1165.0,26.79,0.438,2,2
156,22.25,68.2,500.0,21.95,0.182,2,1
157,21.85,40.3,719.0,22.87,0.188,2,2
158,26.04,64.7,1074.0,24.84,0.294,2,2
159,23.8,34.1,1195.0,23.6,0.269,2,2
160,18.96,42.8,579.0,18.32,-0.559,4,3
161,24.88,55.7,1072.0,25.79,0.242,4,4
162,25.83,55.7,1002.0,25.63,0.44,2,2
163,26.51,31.4,434.0,26.36,0.404,2,2
164,22.63,34.6,441.0,22.62,-0.189,3,3
165,24.25,34.0,580.0,25.4,0.404,1,2
166,22.28,46.6,855.0,22.04,0.097,2,2
167,19.74,33.8,1196.0,19.28,-0.264,2,2
168,21.79,30.5,774.0,22.83,0.011,2,2
169,25.81,48.1,885.0,26.65,0.591,2,4
170,26.92,62.9,1198.0,28.24,0.457,2,2
171,23.1,53.8,1006.0,23.36,0.323,2,1
172,22.19,35.3,448.0,22.0,0.004,4,1
173,19.9,30.6,435.0,20.7,-0.202,2,2
174,24.2,55.0,1084.0,25.28,0.446,2,1
175,20.26,45.4,1050.0,20.18,-0.174,2,2
176,27.29,58.4,854.0,27.55,0.567,2,2
177,19.41,32.5,725.0,19.96,-0.344,2,2
178,26.95,33.4,704.0,28.15,0.718,3,3
179,25.19,51.4,405.0,25.59,0.368,1,2
180,18.47,56.0,424.0,16.33,-0.374,3,2
181,25.62,56.0,1057.0,25.41,0.47,3,3
182,18.68,62.8,687.0,20.96,0.002,3,3
183,25.82,32.7,702.0,25.6,0.356,2,2
184,23.11,37.9,1180.0,23.96,0.409,2,3
185,19.69,36.2,1088.0,20.96,-0.135,3,2
186,25.73,57.6,443.0,26.31,0.331,3,2
187,24.67,56.6,757.0,24.24,0.232,2,1
188,25.35,56.8,813.0,24.75,0.24,2,4
189,19.58,43.7,1024.0,20.79,-0.119,2,2
190,24.66,67.3,1047.0,23.56,0.035,2,4
191,21.39,35.3,1131.0,21.22,0.048,0,3
192,21.96,67.7,1141.0,21.89,0.038,2,3
193,21.44,55.3,430.0,21.42,0.07,3,3
194,18.49,42.6,769.0,17.7,-0.432,2,2
195,21.74,42.1,1159.0,21.52,-0.124,3,3
196,18.32,55.6,438.0,18.76,-0.43,2,0
197,26.78,42.5,1013.0,27.24,0.462,4,3
198,21.58,33.6,632.0,22.25,0.106,4,2
199,18.74,59.1,782.0,17.81,-0.47,2,2
200,23.38,39.8,1116.0,24.33,0.413,2,2
201,22.38,37.7,556.0,22.86,0.096,2,2
202,21.18,45.8,1104.0,19.99,-0.405,2,2
203,18.25,36.8,1013.0,19.66,-0.137,3,2
204,22.16,54.3,712.0,22.41,0.028,2,3
205,22.57,55.4,1082.0,23.09,0.089,2,2
206,19.02,56.1,614.0,18.07,-0.356,2,2
207,20.81,65.0,901.0,21.79,0.112,2,2
208,21.66,39.1,906.0,19.71,-0.43,3,2
209,23.75,43.6,1104.0,25.51,0.561,2,1
210,21.68,32.5,1091.0,21.0,-0.096,2,2
211,18.53,38.4,1084.0,19.04,-0.383,2,3
212,27.08,40.5,922.0,25.86,0.378,3,1
213,26.28,61.7,447.0,26.25,0.334,0,2
214,19.12,44.7,982.0,19.37,-0.124,2,2
215,24.81,57.7,887.0,26.26,0.452,2,4
216,25.01,39.7,521.0,25.38,0.431,2,2
217,22.6,57.4,555.0,21.5,0.015,4,2
218,24.96,36.0,969.0,26.12,0.537,2,2
219,21.29,49.5,1116.0,21.1,-0.015,4,2
220,24.21,31.3,483.0,24.49,0.131,2,2
221,23.16,58.7,1000.0,23.92,0.318,3,2
222,26.56,64.5,531.0,26.98,0.487,4,2
223,18.65,30.9,409.0,19.06,-0.241,0,2
224,20.41,68.1,544.0,19.37,-0.314,1,2
225,19.62,47.6,516.0,18.6,-0.401,2,3
226,20.68,60.2,1018.0,21.5,-0.106,2,2
227,19.28,40.0,552.0,18.43,-0.284,2,4
228,27.48,39.4,991.0,28.19,0.56,2,2
229,19.57,67.6,882.0,19.64,-0.231,3,4
230,20.3,33.5,942.0,20.54,-0.314,2,2
231,24.12,50.0,804.0,23.81,-0.023,2,2
232,27.59,36.1,790.0,27.64,0.625,2,2
233,20.87,41.0,579.0,21.08,0.038,2,4
234,24.15,65.8,1051.0,23.4,0.064,2,2
235,26.29,58.8,1082.0,25.43,0.275,2,1
236,20.02,39.6,451.0,19.77,-0.273,2,2
237,26.39,64.4,815.0,25.98,0.413,2,2
238,27.72,46.8,1069.0,28.08,0.503,2,2
239,21.96,43.3,432.0,21.27,-0.198,2,2
240,24.2,55.9,530.0,26.21,0.496,2,1
241,24.13,31.0,503.0,24.26,0.084,0,0
242,20.11,47.6,1067.0,20.19,-0.162,2,2
243,24.46,58.4,710.0,26.39,0.523,2,3
244,19.04,59.5,740.0,19.03,-0.358,1,2
245,25.68,30.7,1124.0,26.14,0.474,2,2
246,26.51,64.7,450.0,25.76,0.29,3,2
247,19.13,58.9,614.0,18.06,-0.431,1,2
248,19.29,63.5,829.0,19.12,-0.31,2,2
249,20.3,47.5,1121.0,20.29,-0.236,2,2
250,18.03,31.1,544.0,17.97,-0.267,2,2
251,24.89,43.6,838.0,25.28,0.15,2,2
252,21.16,42.4,864.0,21.55,-0.047,2,2
253,27.53,51.4,452.0,27.18,0.493,2,2
254,18.37,49.5,732.0,18.51,-0.108,2,2
255,18.34,66.2,1121.0,18.27,-0.554,2,3
256,25.26,38.5,906.0,24.47,0.24,2,2
257,24.07,33.7,706.0,23.2,0.071,2,2
258,27.29,50.1,607.0,26.27,0.449,2,2
259,24.06,45.4,429.0,24.8,0.217,2,3
260,24.38,55.3,534.0,23.7,0.255,2,2
261,22.21,49.1,1006.0,22.41,0.079,1,2
262,21.91,31.0,1104.0,22.51,0.08,2,2
263,20.56,52.5,652.0,21.71,0.044,2,2
264,20.83,34.0,1056.0,20.5,-0.15,2,2
265,24.32,43.1,1076.0,23.81,0.452,2,2
266,21.52,56.3,544.0,20.8,-0.013,3,2
267,25.96,43.4,404.0,26.09,0.552,2,1
268,24.4,60.4,518.0,23.06,0.215,2,4
269,25.24,66.7,508.0,25.42,0.468,2,2
270,24.87,50.7,1112.0,24.28,0.177,2,3
271,25.92,65.1,1065.0,27.79,0.687,2,2
272,23.01,36.4,997.0,23.22,0.064,0,2
273,18.13,57.2,872.0,19.3,-0.201,2,2
274,26.56,46.8,849.0,26.33,0.438,3,2
275,19.65,44.6,541.0,20.72,-0.222,3,3
276,19.28,67.2,799.0,19.38,-0.291,2,2
277,27.82,66.8,685.0,27.38,0.679,0,2
278,27.27,39.6,1021.0,27.9,0.54,2,2
