timestamp,building,air_temp,radiant_temp,humidity,air_speed,co2_ppm,lux,sound_db,occupancy,outdoor_temp,solar_rad,time_of_day_sin,time_of_day_cos,day_of_week_sin,day_of_week_cos
2024-03-01 00:00:00,mixed_use,21.79,22.99,59.7,0.169,400.0,0.0,38.5,0.09,30.58,0.0,0.0,1.0,0.0,1.0
2024-03-01 00:01:00,mixed_use,22.69,22.64,61.0,0.028,400.0,10.0,36.3,0.09,32.49,0.0,0.0044,1.0,0.0,1.0
2024-03-01 00:02:00,mixed_use,21.92,22.67,63.4,0.074,400.0,0.0,33.1,0.3,31.86,0.1,0.0087,1.0,0.0,1.0
2024-03-01 00:03:00,mixed_use,21.85,22.91,57.1,0.014,400.0,76.0,31.0,0.18,33.05,0.1,0.0131,0.9999,0.0,1.0
2024-03-01 00:04:00,mixed_use,22.41,23.12,58.5,0.629,400.0,43.0,37.0,0.3,29.82,0.2,0.0175,0.9998,0.0,1.0
2024-03-01 00:05:00,mixed_use,22.34,22.64,60.5,0.216,400.0,67.0,39.6,0.19,31.62,0.4,0.0218,0.9998,0.0,1.0
2024-03-01 00:06:00,mixed_use,21.89,23.39,58.7,0.061,444.0,39.0,36.1,0.3,31.41,0.5,0.0262,0.9997,0.0,1.0
2024-03-01 00:07:00,mixed_use,22.29,22.76,56.0,0.087,449.0,8.0,36.9,0.16,32.82,0.7,0.0305,0.9995,0.0,1.0
2024-03-01 00:08:00,mixed_use,21.98,23.55,60.2,0.04,400.0,0.0,37.0,0.24,32.25,1.0,0.0349,0.9994,0.0,1.0
2024-03-01 00:09:00,mixed_use,22.24,23.14,57.0,0.046,439.0,12.0,35.5,0.15,33.72,1.2,0.0393,0.9992,0.0,1.0
2024-03-01 00:10:00,mixed_use,22.2,22.91,59.0,0.217,400.0,0.0,36.5,0.27,33.83,1.5,0.0436,0.999,0.0,1.0
2024-03-01 00:11:00,mixed_use,22.91,21.93,62.1,0.183,400.0,0.0,39.6,0.1,32.85,1.8,0.048,0.9988,0.0,1.0
2024-03-01 00:12:00,mixed_use,22.57,22.92,60.1,0.093,411.0,37.0,36.7,0.16,32.48,2.2,0.0523,0.9986,0.0,1.0
2024-03-01 00:13:00,mixed_use,22.49,23.08,60.0,0.134,400.0,0.0,35.4,0.05,30.83,2.6,0.0567,0.9984,0.0,1.0
2024-03-01 00:14:00,mixed_use,22.41,23.11,61.7,0.268,400.0,0.0,32.6,0.24,32.84,3.0,0.061,0.9981,0.0,1.0
2024-03-01 00:15:00,mixed_use,21.82,23.33,58.5,0.084,440.0,0.0,37.5,0.1,34.41,3.4,0.0654,0.9979,0.0,1.0
2024-03-01 00:16:00,mixed_use,22.26,22.95,59.5,0.425,410.0,5.0,35.3,0.0,33.62,3.9,0.0698,0.9976,0.0,1.0
2024-03-01 00:17:00,mixed_use,22.09,23.36,58.4,0.121,411.0,0.0,35.3,0.06,31.79,4.4,0.0741,0.9973,0.0,1.0
2024-03-01 00:18:00,mixed_use,22.22,22.76,60.4,0.156,400.0,24.0,36.7,0.27,32.09,4.9,0.0785,0.9969,0.0,1.0
2024-03-01 00:19:00,mixed_use,22.27,23.54,56.2,0.04,400.0,18.0,35.1,0.13,34.19,5.5,0.0828,0.9966,0.0,1.0
2024-03-01 00:20:00,mixed_use,21.75,23.55,57.1,0.07,403.0,0.0,36.2,0.04,31.3,6.1,0.0872,0.9962,0.0,1.0
2024-03-01 00:21:00,mixed_use,22.19,23.29,58.9,0.008,423.0,47.0,35.6,0.18,32.72,6.7,0.0915,0.9958,0.0,1.0
2024-03-01 00:22:00,mixed_use,22.33,23.47,60.1,0.019,410.0,0.0,34.0,0.28,31.83,7.3,0.0958,0.9954,0.0,1.0
2024-03-01 00:23:00,mixed_use,22.58,23.06,62.7,0.019,418.0,0.0,37.7,0.22,32.05,8.0,0.1002,0.995,0.0,1.0
2024-03-01 00:24:00,mixed_use,22.08,23.12,57.1,0.052,400.0,54.0,27.2,0.19,32.95,8.7,0.1045,0.9945,0.0,1.0
2024-03-01 00:25:00,mixed_use,22.09,23.1,58.8,0.31,400.0,0.0,36.8,0.19,33.17,9.5,0.1089,0.9941,0.0,1.0
2024-03-01 00:26:00,mixed_use,22.08,23.72,59.5,0.185,400.0,35.0,31.9,0.15,32.12,10.3,0.1132,0.9936,0.0,1.0
