day_of_week,hour,zone,occupied,n_occupants,CO2_ppm
0,0,1,0,0,392.0
0,0,2,0,0,403.0
0,0,3,0,0,397.0
0,0,4,0,0,399.0
0,1,1,0,0,408.0
0,1,2,0,0,411.0
0,1,3,0,0,410.0
0,1,4,0,0,382.0
0,2,1,0,0,397.0
0,2,2,0,0,401.0
0,2,3,0,0,389.0
0,2,4,0,0,394.0
0,3,1,0,0,408.0
0,3,2,0,0,405.0
0,3,3,0,0,407.0
0,3,4,0,0,392.0
0,4,1,0,0,409.0
0,4,2,0,0,402.0
0,4,3,0,0,391.0
0,4,4,0,0,383.0
0,5,1,0,0,398.0
0,5,2,0,0,401.0
0,5,3,0,0,406.0
0,5,4,0,0,413.0
0,6,1,0,0,403.0
0,6,2,0,0,380.0
0,6,3,0,0,395.0
0,6,4,0,0,395.0
0,7,1,0,0,405.0
0,7,2,0,0,400.0
0,7,3,0,0,422.0
0,7,4,0,0,409.0
0,8,1,1,8,871.0
0,8,2,1,5,710.0
0,8,3,0,0,392.0
0,8,4,1,7,826.0
0,9,1,1,4,642.0
0,9,2,1,4,656.0
0,9,3,1,3,604.0
0,9,4,1,4,635.0
0,10,1,1,6,757.0
0,10,2,1,6,755.0
0,10,3,0,0,409.0
0,10,4,1,7,818.0
0,11,1,0,0,397.0
0,11,2,0,0,378.0
0,11,3,1,1,451.0
0,11,4,1,9,935.0
0,12,1,1,3,575.0
0,12,2,1,8,878.0
0,12,3,1,7,822.0
0,12,4,1,4,652.0
0,13,1,1,5,692.0
0,13,2,1,6,780.0
0,13,3,0,0,390.0
0,13,4,1,7,829.0
0,14,1,1,4,624.0
0,14,2,1,3,564.0
0,14,3,1,3,592.0
0,14,4,0,0,412.0
0,15,1,1,6,780.0
0,15,2,1,3,592.0
0,15,3,0,0,417.0
0,15,4,1,6,764.0
0,16,1,1,10,995.0
0,16,2,1,7,812.0
0,16,3,1,7,809.0
0,16,4,0,0,425.0
0,17,1,1,3,578.0
0,17,2,0,0,394.0
0,17,3,0,0,408.0
0,17,4,1,6,764.0
0,18,1,1,8,894.0
0,18,2,1,3,577.0
0,18,3,1,5,697.0
0,18,4,1,8,885.0
0,19,1,0,0,378.0
0,19,2,0,0,393.0
0,19,3,0,0,415.0
0,19,4,0,0,400.0
0,20,1,0,0,411.0
0,20,2,1,0,386.0
0,20,3,0,0,396.0
0,20,4,0,0,395.0
0,21,1,0,0,404.0
0,21,2,0,0,398.0
0,21,3,0,0,396.0
0,21,4,0,0,404.0
0,22,1,0,0,414.0
0,22,2,0,0,389.0
0,22,3,0,0,409.0
0,22,4,0,0,406.0
0,23,1,0,0,402.0
0,23,2,1,0,392.0
0,23,3,0,0,398.0
0,23,4,1,0,400.0
1,0,1,0,0,389.0
1,0,2,0,0,401.0
1,0,3,0,0,411.0
1,0,4,0,0,413.0
1,1,1,0,0,400.0
1,1,2,0,0,388.0
1,1,3,0,0,401.0
1,1,4,0,0,412.0
1,2,1,0,0,407.0
1,2,2,0,0,413.0
1,2,3,1,0,392.0
1,2,4,0,0,404.0
1,3,1,0,0,421.0
1,3,2,0,0,389.0
1,3,3,0,0,402.0
1,3,4,0,0,423.0
1,4,1,0,0,405.0
1,4,2,0,0,403.0
1,4,3,0,0,388.0
1,4,4,0,0,403.0
1,5,1,0,0,401.0
1,5,2,0,0,416.0
1,5,3,0,0,402.0
1,5,4,0,0,395.0
1,6,1,0,0,409.0
1,6,2,0,0,403.0
1,6,3,0,0,398.0
1,6,4,0,0,405.0
1,7,1,0,0,390.0
1,7,2,0,0,399.0
1,7,3,0,0,406.0
1,7,4,0,0,387.0
1,8,1,0,0,402.0
1,8,2,1,5,696.0
1,8,3,1,7,818.0
1,8,4,1,1,475.0
1,9,1,1,6,751.0
1,9,2,0,0,403.0
1,9,3,1,4,653.0
1,9,4,1,5,698.0
1,10,1,1,3,557.0
1,10,2,1,11,1063.0
1,10,3,0,0,385.0
1,10,4,1,5,700.0
1,11,1,1,7,814.0
1,11,2,1,8,896.0
1,11,3,1,3,562.0
1,11,4,1,6,766.0
1,12,1,1,3,572.0
1,12,2,1,4,643.0
1,12,3,1,5,708.0
1,12,4,1,2,514.0
1,13,1,1,5,699.0
1,13,2,1,8,875.0
1,13,3,1,2,526.0
