pid,condition,task_time_min,sus_score,ssq_total
P01,VR,7.0,80.5,7.2
P02,VR,11.2,89.5,10.1
P03,VR,7.1,85.9,8.9
P04,VR,6.4,91.9,6.2
P05,VR,14.1,85.5,2.2
P06,VR,8.4,81.0,5.8
P07,VR,7.1,89.6,9.0
P08,VR,10.1,74.6,5.9
P09,VR,6.3,66.8,8.7
P10,VR,7.5,63.4,8.2
P11,VR,10.1,96.3,11.8
P12,VR,12.6,83.5,9.1
P13,VR,10.5,85.3,10.9
P14,VR,10.0,78.5,7.5
P15,VR,11.2,84.0,13.3
P16,VR,8.2,75.6,6.8
P17,Desktop,11.3,81.2,5.6
P18,Desktop,13.1,66.6,12.4
P19,Desktop,18.1,65.9,6.3
P20,Desktop,12.0,70.6,4.8
P21,Desktop,14.5,74.4,4.7
P22,Desktop,14.9,92.6,6.7
P23,Desktop,15.8,100.0,7.4
P24,Desktop,16.3,90.8,9.5
P25,Desktop,16.4,55.3,10.6
P26,Desktop,21.9,95.9,8.3
P27,Desktop,16.6,78.2,11.1
P28,Desktop,18.3,68.5,10.7
P29,Desktop,15.0,97.0,5.3
P30,Desktop,19.6,78.0,5.2
P31,Desktop,12.9,73.5,6.8
P32,Desktop,17.3,76.9,1.5
