hour,dry_bulb_C,rh_pct,solar_rad_Wm2
0,4.9,62.0,0.0
1,6.3,68.0,54.0
2,7.7,59.0,200.0
3,8.5,64.0,400.0
4,8.3,63.0,600.0
5,8.0,61.0,746.0
6,9.4,64.0,800.0
7,7.9,56.0,746.0
8,4.8,55.0,600.0
9,4.6,62.0,400.0
10,1.9,52.0,200.0
11,-0.8,63.0,54.0
12,-3.6,54.0,0.0
13,-3.8,68.0,54.0
14,-3.6,58.0,200.0
15,-6.3,67.0,400.0
16,-5.6,59.0,600.0
17,-6.6,59.0,746.0
18,-4.7,65.0,800.0
19,-4.6,62.0,746.0
20,-5.2,60.0,600.0
21,-1.6,58.0,400.0
22,1.3,58.0,200.0
23,4.3,72.0,54.0
24,5.0,52.0,0.0
25,6.9,54.0,54.0
26,7.6,66.0,200.0
27,10.5,66.0,400.0
28,10.8,56.0,600.0
29,8.4,52.0,746.0
30,6.8,67.0,800.0
31,5.3,55.0,746.0
32,6.0,58.0,600.0
33,3.7,61.0,400.0
34,0.7,55.0,200.0
35,-0.4,65.0,54.0
36,-3.8,60.0,0.0
37,-3.5,56.0,54.0
38,-6.0,56.0,200.0
39,-7.5,67.0,400.0
40,-7.1,59.0,600.0
41,-7.0,64.0,746.0
42,-5.4,60.0,800.0
43,-3.4,52.0,746.0
44,-1.8,64.0,600.0
45,-0.9,66.0,400.0
46,0.8,70.0,200.0
47,2.5,51.0,54.0
48,3.2,45.0,0.0
49,6.7,64.0,54.0
50,7.1,58.0,200.0
51,10.0,53.0,400.0
52,8.9,61.0,600.0
53,9.7,58.0,746.0
54,7.7,54.0,800.0
55,6.2,60.0,746.0
56,5.9,63.0,600.0
57,3.6,61.0,400.0
58,1.6,62.0,200.0
59,-0.9,63.0,54.0
60,-2.0,52.0,0.0
61,-3.8,60.0,54.0
62,-7.9,62.0,200.0
63,-6.9,59.0,400.0
64,-5.9,57.0,600.0
65,-7.7,57.0,746.0
66,-7.7,59.0,800.0
67,-4.9,65.0,746.0
68,-2.6,68.0,600.0
69,-1.7,67.0,400.0
70,2.1,53.0,200.0
71,4.8,56.0,54.0
72,2.9,64.0,0.0
73,6.1,67.0,54.0
74,5.6,56.0,200.0
75,9.3,62.0,400.0
76,8.3,55.0,600.0
77,8.3,62.0,746.0
78,9.1,58.0,800.0
79,5.4,62.0,746.0
80,3.5,55.0,600.0
81,0.9,53.0,400.0
82,2.4,76.0,200.0
83,0.1,61.0,54.0
84,-3.2,72.0,0.0
85,-5.9,68.0,54.0
86,-5.1,53.0,200.0
87,-4.0,63.0,400.0
88,-7.3,54.0,600.0
89,-8.1,59.0,746.0
90,-4.9,52.0,800.0
91,-6.0,53.0,746.0
92,-3.6,57.0,600.0
93,-4.0,58.0,400.0
94,0.4,61.0,200.0
95,1.5,56.0,54.0
96,6.0,62.0,0.0
97,5.4,67.0,54.0
98,8.5,62.0,200.0
99,8.4,61.0,400.0
100,9.0,63.0,600.0
101,9.1,54.0,746.0
102,7.8,66.0,800.0
103,6.0,55.0,746.0
104,4.2,69.0,600.0
105,3.6,65.0,400.0
106,-0.9,64.0,200.0
107,0.6,64.0,54.0
108,-2.9,61.0,0.0
109,-5.1,57.0,54.0
110,-5.8,56.0,200.0
111,-7.5,70.0,400.0
112,-7.4,62.0,600.0
113,-8.2,56.0,746.0
114,-5.9,64.0,800.0
115,-5.1,63.0,746.0
116,-3.2,60.0,600.0
117,-0.0,57.0,400.0
118,-0.3,65.0,200.0
119,2.5,66.0,54.0
120,2.9,63.0,0.0
121,6.8,62.0,54.0
122,7.5,57.0,200.0
123,8.4,64.0,400.0
124,8.5,58.0,600.0
125,7.9,55.0,746.0
126,10.2,67.0,800.0
127,6.5,56.0,746.0
128,5.1,52.0,600.0
129,1.8,68.0,400.0
130,1.7,53.0,200.0
131,-1.4,59.0,54.0
132,-2.8,56.0,0.0
133,-4.0,58.0,54.0
134,-6.3,73.0,200.0
135,-7.8,61.0,400.0
136,-9.7,63.0,600.0
137,-7.6,65.0,746.0
138,-7.1,58.0,800.0
139,-6.4,67.0,746.0
140,-2.1,63.0,600.0
141,-0.7,65.0,400.0
142,-1.5,58.0,200.0
143,2.6,64.0,54.0
144,3.6,62.0,0.0
145,6.4,67.0,54.0
146,6.6,59.0,200.0
147,7.7,72.0,400.0
148,9.5,63.0,600.0
149,9.1,61.0,746.0
150,9.0,60.0,800.0
151,6.1,62.0,746.0
152,3.2,58.0,600.0
153,3.7,65.0,400.0
154,1.6,62.0,200.0
155,-0.8,71.0,54.0
156,-4.1,60.0,0.0
157,-6.1,61.0,54.0
158,-5.8,60.0,200.0
159,-8.1,71.0,400.0
160,-7.9,54.0,600.0
161,-4.4,62.0,746.0
162,-4.5,63.0,800.0
163,-4.6,56.0,746.0
164,-4.4,75.0,600.0
165,-2.6,57.0,400.0
166,0.9,62.0,200.0
167,3.8,70.0,54.0
168,3.7,60.0,0.0
169,5.5,63.0,54.0
170,7.3,60.0,200.0
171,6.7,62.0,400.0
172,7.0,67.0,600.0
173,7.0,60.0,746.0
174,7.9,49.0,800.0
175,6.4,62.0,746.0
176,5.6,62.0,600.0
177,0.8,63.0,400.0
178,-1.0,61.0,200.0
179,-1.1,58.0,54.0
180,-4.4,61.0,0.0
181,-6.0,71.0,54.0
182,-5.5,62.0,200.0
183,-7.9,65.0,400.0
184,-8.1,57.0,600.0
185,-7.7,61.0,746.0
186,-6.9,57.0,800.0
187,-4.8,68.0,746.0
188,-5.1,54.0,600.0
189,-2.2,64.0,400.0
190,1.2,64.0,200.0
191,4.3,63.0,54.0
192,2.7,50.0,0.0
193,6.1,52.0,54.0
194,6.9,63.0,200.0
195,7.8,57.0,400.0
196,7.4,59.0,600.0
197,8.7,60.0,746.0
198,7.9,57.0,800.0
199,8.5,56.0,746.0
200,3.0,62.0,600.0
