hour,zone,T_outdoor_C,T_zone_C,PMV_NA,PPD_NA_pct,kWh_m2_NA,supply_temp_C,blind_angle
0,1,30.76,21.98,-0.07,6.5,0.00218,21.2,0.44
0,2,30.76,23.1,0.107,8.5,0.00262,22.3,0.53
0,3,30.76,21.99,0.014,5.1,0.00213,23.0,0.98
0,4,30.76,22.19,0.064,6.3,0.00248,16.9,0.64
0,5,30.76,21.25,-0.074,6.7,0.00148,19.3,0.26
0,6,30.76,22.32,0.1,8.1,0.00244,16.2,0.62
1,1,28.06,22.18,0.022,5.2,0.00219,21.5,0.36
1,2,28.06,21.08,-0.087,7.3,0.00193,21.3,0.67
1,3,28.06,21.04,-0.12,9.4,0.00158,18.9,0.57
1,4,28.06,20.89,-0.124,9.7,0.00193,21.2,0.25
1,5,28.06,20.73,-0.141,11.0,0.00197,16.9,0.66
1,6,28.06,20.89,-0.147,11.5,0.00147,22.6,0.1
2,1,29.97,22.01,0.046,5.7,0.00275,16.3,0.28
2,2,29.97,22.28,0.007,5.0,0.00145,18.5,0.41
2,3,29.97,21.07,-0.075,6.7,0.00136,18.1,0.52
2,4,29.97,23.65,0.187,15.3,0.00141,18.5,0.67
2,5,29.97,21.65,-0.064,6.3,0.00146,17.5,0.59
2,6,29.97,22.72,0.037,5.4,0.00129,21.9,0.96
3,1,31.32,23.71,0.217,18.7,0.00164,20.6,0.22
3,2,31.32,22.91,0.086,7.3,0.00271,21.6,0.3
3,3,31.32,22.63,0.055,5.9,0.0025,20.7,0.88
3,4,31.32,21.51,0.005,5.0,0.00231,23.6,0.64
3,5,31.32,21.21,-0.077,6.9,0.00191,18.4,0.66
3,6,31.32,20.09,-0.132,10.3,0.0017,17.1,0.3
4,1,32.65,23.28,0.166,13.3,0.00213,19.5,0.9
4,2,32.65,23.06,0.135,10.5,0.00182,22.4,0.7
4,3,32.65,21.31,-0.062,6.2,0.00142,24.0,0.15
4,4,32.65,22.02,0.014,5.1,0.00258,17.0,0.85
4,5,32.65,20.18,-0.24,21.5,0.00249,16.6,0.7
4,6,32.65,23.23,0.144,11.2,0.00195,23.8,0.86
5,1,31.34,23.11,0.087,7.3,0.00128,17.4,0.52
5,2,31.34,20.74,-0.106,8.5,0.00135,18.8,0.93
5,3,31.34,22.94,0.15,11.8,0.00233,17.9,0.93
5,4,31.34,24.36,0.264,24.6,0.0022,21.8,0.31
5,5,31.34,20.8,-0.136,10.6,0.00187,23.6,0.74
5,6,31.34,20.61,-0.164,13.1,0.00201,16.5,0.43
6,1,32.13,20.2,-0.174,14.0,0.00184,19.6,0.54
6,2,32.13,20.93,-0.143,11.2,0.00262,16.2,0.76
6,3,32.13,22.51,0.092,7.6,0.00175,22.6,0.63
6,4,32.13,19.38,-0.236,21.0,0.00259,17.5,0.95
6,5,32.13,20.72,-0.156,12.3,0.00231,17.7,0.52
6,6,32.13,22.53,0.042,5.6,0.0013,19.0,0.46
7,1,29.56,22.76,0.083,7.1,0.00168,16.9,0.52
7,2,29.56,20.61,-0.092,7.6,0.00146,20.5,0.18
7,3,29.56,18.84,-0.322,32.5,0.00148,23.5,0.77
7,4,29.56,24.1,0.25,22.7,0.0024,23.7,0.29
7,5,29.56,21.75,-0.009,5.0,0.00163,22.3,0.28
7,6,29.56,21.47,-0.075,6.7,0.00215,23.8,0.88
8,1,31.01,21.38,-0.046,5.7,0.00162,23.0,0.29
8,2,31.01,22.94,0.065,6.3,0.00255,23.9,0.48
8,3,31.01,21.01,-0.14,10.9,0.00202,17.1,0.82
8,4,31.01,23.21,0.075,6.7,0.00155,16.8,0.86
8,5,31.01,21.58,-0.063,6.2,0.00274,16.6,0.41
8,6,31.01,22.87,0.07,6.5,0.00162,16.6,0.09
9,1,30.83,20.93,-0.152,12.0,0.00228,20.5,0.86
9,2,30.83,20.74,-0.138,10.8,0.00237,16.4,0.3
9,3,30.83,23.81,0.167,13.3,0.00166,21.6,0.28
9,4,30.83,22.13,-0.005,5.0,0.00184,16.5,0.7
9,5,30.83,20.63,-0.112,8.9,0.00244,19.0,0.59
9,6,30.83,20.07,-0.208,17.6,0.00168,19.7,0.04
10,1,28.06,21.73,-0.024,5.2,0.00214,16.3,0.43
10,2,28.06,21.94,0.053,5.9,0.00204,18.2,0.13
10,3,28.06,21.97,-0.0,5.0,0.00186,19.7,0.88
10,4,28.06,22.59,0.038,5.4,0.00196,23.2,0.69
10,5,28.06,23.34,0.169,13.5,0.00232,21.1,0.24
10,6,28.06,20.57,-0.074,6.7,0.00151,22.9,0.46
11,1,28.46,23.01,0.11,8.7,0.00271,23.3,0.82
11,2,28.46,19.93,-0.157,12.4,0.00151,16.5,0.42
11,3,28.46,21.36,-0.053,5.9,0.00166,18.9,0.02
11,4,28.46,22.33,0.028,5.3,0.00154,16.8,0.95
11,5,28.46,19.15,-0.301,29.5,0.00258,17.9,0.61
11,6,28.46,21.45,-0.064,6.3,0.00131,16.5,0.25
12,1,28.28,20.52,-0.139,10.9,0.00146,23.9,0.41
12,2,28.28,21.59,-0.046,5.7,0.00151,23.9,0.07
12,3,28.28,24.21,0.191,15.8,0.00245,21.3,0.25
12,4,28.28,20.54,-0.226,19.8,0.00227,20.4,0.29
12,5,28.28,22.23,-0.031,5.3,0.00234,22.6,0.92
12,6,28.28,20.18,-0.203,17.1,0.00133,22.5,0.99
13,1,27.27,21.16,-0.067,6.4,0.00273,23.9,0.25
13,2,27.27,21.06,-0.089,7.5,0.00142,21.8,0.88
13,3,27.27,19.73,-0.27,25.3,0.00168,22.0,0.24
13,4,27.27,19.29,-0.286,27.4,0.00152,22.7,0.24
