episode,seed,NeuroArch_return,MARL_PMV_only_return,Rule_based_return
0,42,-195.6,-175.0,-61.3
0,123,-173.0,-185.7,-59.9
0,777,-194.5,-182.8,-60.0
25,42,-154.8,-157.8,-56.0
25,123,-154.8,-153.7,-53.3
25,777,-152.6,-167.8,-55.6
50,42,-146.0,-157.8,-54.1
50,123,-129.5,-141.4,-55.8
50,777,-141.3,-145.2,-51.9
75,42,-133.9,-129.9,-51.2
75,123,-119.9,-135.4,-51.8
75,777,-115.2,-132.5,-53.9
100,42,-94.2,-116.1,-52.2
100,123,-91.3,-114.4,-49.3
100,777,-96.4,-110.9,-48.4
125,42,-77.8,-104.6,-47.6
125,123,-75.7,-111.1,-48.0
125,777,-64.6,-103.4,-50.9
150,42,-65.0,-87.9,-51.5
150,123,-59.6,-91.3,-45.0
150,777,-53.0,-81.1,-49.2
175,42,-43.4,-75.4,-47.8
175,123,-40.1,-71.7,-50.6
175,777,-49.4,-64.5,-43.9
200,42,-31.7,-74.9,-47.1
200,123,-24.7,-66.0,-47.5
200,777,-36.6,-66.6,-46.1
225,42,-13.0,-47.8,-39.8
225,123,-22.7,-60.9,-42.1
225,777,-7.9,-54.3,-40.8
250,42,17.4,-44.0,-39.6
250,123,19.3,-42.9,-40.2
250,777,5.7,-48.0,-39.6
275,42,28.6,-25.3,-41.4
275,123,22.9,-35.1,-37.2
275,777,30.4,-28.4,-37.3
300,42,48.6,3.6,-31.3
300,123,35.9,-14.5,-37.8
300,777,30.7,-22.9,-38.8
325,42,45.1,-17.4,-36.6
325,123,50.3,-6.8,-30.1
325,777,39.6,0.2,-35.3
350,42,61.8,7.2,-31.6
350,123,67.0,18.9,-31.9
350,777,54.1,21.6,-33.3
375,42,72.2,12.7,-35.4
375,123,83.0,16.7,-32.7
375,777,81.1,29.0,-29.6
400,42,97.4,19.6,-30.7
400,123,87.1,26.3,-28.0
400,777,79.0,11.4,-38.4
425,42,98.9,40.5,-27.4
425,123,92.8,30.7,-30.4
425,777,105.2,40.9,-27.8
450,42,110.8,56.3,-30.3
450,123,106.8,41.5,-26.0
450,777,114.5,44.3,-28.3
475,42,108.0,49.6,-29.2
475,123,128.3,42.3,-22.1
475,777,133.7,62.6,-25.6
500,42,125.7,58.2,-26.1
500,123,127.0,66.6,-20.4
500,777,126.3,58.6,-22.0
525,42,158.2,59.2,-21.7
525,123,151.7,69.0,-23.6
525,777,130.1,78.0,-17.3
550,42,161.6,62.7,-20.0
550,123,151.0,74.8,-24.3
550,777,148.8,89.0,-22.2
575,42,146.7,99.5,-17.4
575,123,155.6,69.8,-17.4
575,777,150.6,99.4,-18.6
600,42,169.3,93.5,-15.0
600,123,168.0,92.7,-20.4
600,777,162.6,85.6,-15.5
625,42,186.1,94.3,-18.2
625,123,171.1,85.8,-15.1
625,777,181.0,110.2,-20.1
650,42,195.1,104.6,-15.2
650,123,181.3,111.4,-10.7
650,777,171.4,112.4,-15.5
675,42,173.1,123.3,-12.0
675,123,194.3,111.0,-16.7
675,777,198.6,108.5,-11.0
700,42,188.6,116.8,-16.0
700,123,207.8,123.2,-14.9
700,777,194.3,118.3,-12.4
725,42,203.3,116.0,-18.3
725,123,208.4,134.4,-11.0
725,777,205.7,148.9,-10.8
750,42,213.9,135.7,-8.8
750,123,211.2,119.9,-14.9
750,777,195.0,124.1,-7.4
775,42,215.2,130.7,-8.8
775,123,212.4,151.5,-16.4
775,777,214.0,131.3,-11.6
800,42,215.7,127.9,-11.0
800,123,209.9,127.1,-12.2
800,777,221.7,148.8,-8.5
825,42,233.9,143.9,-7.0
825,123,223.0,145.1,-12.6
825,777,226.9,158.4,-3.2
850,42,223.2,131.3,-5.3
850,123,231.6,146.4,-0.4
850,777,234.7,154.2,-10.1
875,42,240.9,151.2,-5.5
875,123,231.6,144.0,-5.9
875,777,232.5,147.9,-3.7
900,42,238.1,162.4,-7.9
900,123,233.4,157.6,-3.2
900,777,238.5,159.4,-8.0
925,42,252.5,167.7,-5.6
925,123,242.0,158.9,-4.0
925,777,243.4,173.7,-6.5
950,42,247.3,148.8,-3.7
950,123,254.7,176.2,-2.4
950,777,251.6,168.7,-3.2
975,42,261.8,174.3,-7.5
975,123,262.4,174.3,-0.4
975,777,248.6,166.5,-1.8
1000,42,263.1,171.2,-7.5
1000,123,256.8,173.9,-0.9
1000,777,258.2,195.7,-1.9
1025,42,267.0,169.9,-6.8
1025,123,262.3,183.5,-7.4
1025,777,247.3,171.0,-1.5
1050,42,266.1,189.8,6.3
1050,123,258.6,190.3,-4.5
1050,777,270.0,168.7,-2.4
1075,42,274.7,176.4,1.5
1075,123,263.5,186.2,-3.3
1075,777,263.0,194.8,3.8
1100,42,267.5,180.4,0.7
1100,123,285.9,178.2,3.1
1100,777,266.8,188.9,-0.6
1125,42,265.6,198.6,-1.0
1125,123,276.4,185.7,1.7
1125,777,283.5,181.3,2.6
1150,42,270.8,205.6,3.7
1150,123,275.1,186.3,6.3
1150,777,279.8,189.2,1.9
1175,42,296.4,210.5,2.2
1175,123,282.5,204.3,8.6
1175,777,283.4,199.2,0.9
1200,42,297.4,198.4,4.1
1200,123,290.4,197.2,6.8
1200,777,286.1,204.9,6.9
1225,42,294.5,202.7,10.9
1225,123,300.7,205.1,7.0
1225,777,286.1,197.3,6.5
1250,42,300.7,213.2,7.3
1250,123,303.3,212.6,5.1
1250,777,282.1,189.2,1.6
1275,42,294.5,210.7,6.5
1275,123,288.6,210.3,6.4
1275,777,284.0,209.1,-1.4
1300,42,297.7,213.4,8.8
1300,123,304.2,201.0,3.9
1300,777,307.7,207.6,8.1
1325,42,295.3,222.6,7.2
1325,123,282.2,211.6,8.1
1325,777,290.1,204.5,8.8
1350,42,303.8,215.7,7.0
1350,123,304.6,211.3,2.4
1350,777,286.2,225.1,12.4
1375,42,304.6,223.0,7.1
1375,123,304.1,212.0,7.6
1375,777,309.6,224.0,8.1
1400,42,309.5,214.9,9.9
1400,123,299.3,218.7,11.9
1400,777,329.8,218.8,4.3
1425,42,306.7,208.5,10.2
1425,123,303.9,216.2,8.7
1425,777,303.1,220.9,9.1
1450,42,311.1,235.0,12.1
1450,123,312.9,221.1,8.4
1450,777,306.5,230.2,8.9
1475,42,313.7,245.9,2.7
1475,123,309.0,220.3,6.4
1475,777,300.1,229.3,14.8
1500,42,311.7,219.7,14.7
1500,123,307.3,225.3,6.9
1500,777,315.9,227.0,10.6
1525,42,303.2,231.3,14.2
1525,123,316.8,229.7,10.5
1525,777,322.4,232.0,12.0
1550,42,315.7,235.0,13.9
1550,123,306.1,243.1,13.7
1550,777,326.5,226.5,16.2
1575,42,328.7,230.6,11.2
1575,123,310.4,230.1,10.5
1575,777,317.4,240.8,12.4
1600,42,309.7,215.6,16.0
1600,123,321.1,226.6,15.0
1600,777,332.0,237.2,17.4
1625,42,334.3,234.7,8.9
1625,123,312.1,234.0,14.1
1625,777,311.3,248.4,10.1
1650,42,321.3,232.6,17.9
1650,123,329.2,242.6,12.8
1650,777,333.3,247.0,13.8
1675,42,324.6,238.4,11.6
1675,123,329.4,239.2,13.7
1675,777,330.4,235.2,12.8
1700,42,333.7,242.4,12.4
1700,123,317.6,247.1,11.6
1700,777,321.5,248.0,13.0
1725,42,330.1,231.4,12.4
1725,123,326.6,241.9,17.3
1725,777,325.4,235.2,13.5
1750,42,328.4,244.4,22.8
1750,123,329.8,241.0,13.7
1750,777,321.9,242.6,15.4
1775,42,330.7,243.4,18.8
1775,123,333.1,237.2,12.6
1775,777,325.6,242.7,17.5
1800,42,323.0,241.7,14.1
1800,123,331.7,239.5,17.7
1800,777,334.6,246.1,18.0
1825,42,315.2,241.1,20.5
1825,123,322.3,248.8,18.8
1825,777,335.1,235.4,17.5
1850,42,347.2,251.6,21.5
1850,123,340.7,240.9,17.6
1850,777,315.9,244.8,24.1
1875,42,321.5,250.2,18.7
1875,123,319.4,241.7,20.3
1875,777,325.2,243.6,12.0
1900,42,330.7,248.8,19.6
1900,123,336.3,263.6,10.4
1900,777,318.4,243.2,16.5
1925,42,337.1,255.7,16.0
1925,123,339.7,257.6,26.3
1925,777,326.9,261.4,23.8
1950,42,325.3,266.7,23.1
1950,123,332.0,253.2,17.5
1950,777,340.4,252.0,20.3
1975,42,342.1,253.2,18.7
1975,123,332.7,247.1,23.2
1975,777,323.8,255.7,19.0
2000,42,342.9,248.3,22.5
2000,123,349.4,248.8,21.4
2000,777,337.9,254.5,20.1
