episode,reward,energy_saving_pct
1,-0.8068,3.78
2,-0.7508,6.17
3,-0.8226,4.85
4,-0.7118,8.0
5,-0.7225,5.27
6,-0.716,5.42
7,-0.6453,7.34
8,-0.7328,7.14
9,-0.7422,6.1
10,-0.7195,6.35
11,-0.758,7.58
12,-0.7364,6.91
13,-0.7684,6.51
14,-0.6536,6.8
15,-0.7667,9.09
16,-0.7522,6.93
17,-0.7168,7.06
18,-0.7563,7.47
19,-0.7287,7.7
20,-0.709,7.02
21,-0.6466,9.49
22,-0.7539,7.65
23,-0.7028,8.64
24,-0.657,9.91
25,-0.6423,8.06
26,-0.5329,8.91
27,-0.5849,7.41
28,-0.5709,7.98
29,-0.7257,9.02
30,-0.6277,8.6
31,-0.6086,9.87
32,-0.6968,8.72
33,-0.6432,9.09
34,-0.5865,8.84
35,-0.5794,10.68
36,-0.5548,9.49
37,-0.6078,9.15
38,-0.6373,9.03
39,-0.5759,8.92
40,-0.592,10.81
41,-0.5747,10.15
42,-0.6872,13.27
43,-0.5899,9.89
44,-0.565,8.99
45,-0.5823,10.43
46,-0.5853,13.01
47,-0.5816,11.2
48,-0.615,10.86
49,-0.5244,10.51
50,-0.5786,10.82
51,-0.6858,12.44
52,-0.5872,10.5
53,-0.5914,11.46
54,-0.5659,11.67
55,-0.5785,11.63
56,-0.5482,11.41
57,-0.5294,10.36
58,-0.5755,12.12
59,-0.53,11.72
60,-0.4961,13.32
61,-0.5438,12.0
62,-0.4898,12.21
63,-0.4534,12.51
64,-0.5635,12.92
65,-0.4984,10.73
66,-0.4083,12.93
67,-0.495,11.01
68,-0.5453,12.42
69,-0.4765,13.51
70,-0.5064,15.02
71,-0.5583,12.05
72,-0.5005,12.29
73,-0.5464,11.52
74,-0.5684,12.56
75,-0.44,15.66
76,-0.5976,11.86
77,-0.408,10.41
78,-0.4466,14.49
79,-0.3976,14.54
80,-0.3863,13.81
81,-0.4107,13.96
82,-0.4857,14.7
83,-0.4926,14.79
84,-0.4533,13.04
85,-0.4068,12.89
86,-0.3592,13.2
87,-0.5016,13.51
88,-0.4083,15.08
89,-0.4444,15.48
90,-0.4418,14.15
91,-0.409,14.85
92,-0.5678,14.55
93,-0.4353,13.87
94,-0.4962,13.9
95,-0.3953,14.91
96,-0.4141,15.67
97,-0.3428,15.39
98,-0.3504,14.84
99,-0.4531,16.51
100,-0.4069,16.74
101,-0.3379,13.73
102,-0.3923,14.12
103,-0.378,13.92
104,-0.3294,16.34
105,-0.3352,15.22
106,-0.3967,15.62
107,-0.3506,16.22
108,-0.3568,15.67
109,-0.3152,15.1
110,-0.3924,14.7
111,-0.3321,15.63
112,-0.4133,16.72
113,-0.3675,14.29
114,-0.3439,15.55
115,-0.3521,14.16
116,-0.369,17.08
117,-0.384,14.55
118,-0.345,14.66
119,-0.353,17.16
120,-0.3716,15.73
121,-0.3415,14.62
122,-0.4485,17.02
123,-0.3507,16.65
124,-0.4556,18.53
125,-0.4128,15.42
126,-0.3505,15.71
127,-0.368,16.01
128,-0.4484,17.78
129,-0.4567,14.88
130,-0.3781,16.54
131,-0.4505,17.2
132,-0.4269,18.17
133,-0.3866,16.17
134,-0.3122,17.36
135,-0.413,16.49
136,-0.4612,15.94
137,-0.2849,17.1
138,-0.308,16.98
139,-0.3312,17.82
140,-0.3496,19.33
141,-0.2418,17.84
142,-0.3289,17.45
143,-0.3393,18.04
144,-0.351,16.8
145,-0.3189,18.37
146,-0.3759,16.96
