episode,total_return,energy_reward,comfort_reward,ppd_penalty,epsilon,mean_kappa_snn,ashrae_compliance_pct,mean_ppd_pct,steps
0,-178.5,-62.1,1.0,-117.8,1.0,0.651,83.0,20.4,8760
1,-187.0,-66.7,14.5,-125.0,0.998,0.637,82.3,21.7,8760
2,-181.7,-53.1,-4.3,-118.9,0.996,0.634,85.2,20.0,8760
3,-173.5,-55.8,4.9,-120.7,0.994,0.649,83.1,20.8,8760
4,-164.7,-47.6,-2.3,-125.5,0.992,0.65,85.6,20.3,8760
5,-155.7,-49.9,-1.8,-117.7,0.991,0.685,82.7,20.8,8760
6,-181.4,-63.0,-2.0,-124.9,0.989,0.653,82.3,21.1,8760
7,-192.2,-55.9,10.4,-128.0,0.987,0.661,84.3,19.9,8760
8,-152.5,-55.1,-1.4,-120.2,0.985,0.665,83.2,21.3,8760
9,-182.7,-56.0,-6.6,-120.4,0.983,0.636,82.4,21.8,8760
10,-157.7,-53.5,-3.5,-121.3,0.981,0.679,83.3,22.7,8760
11,-165.1,-55.2,3.3,-119.5,0.979,0.652,83.8,21.6,8760
12,-178.4,-62.5,-8.4,-118.0,0.977,0.633,81.0,21.1,8760
13,-138.1,-55.5,13.5,-119.7,0.975,0.654,84.1,20.6,8760
14,-163.9,-53.6,2.0,-116.0,0.973,0.653,82.4,21.2,8760
15,-177.0,-54.7,7.8,-115.7,0.972,0.666,83.2,21.4,8760
16,-148.6,-51.7,8.5,-125.2,0.97,0.636,82.9,20.3,8760
17,-166.6,-53.9,13.1,-120.3,0.968,0.667,83.3,19.2,8760
18,-174.8,-54.5,-0.3,-117.6,0.966,0.688,84.4,20.5,8760
19,-144.7,-52.7,7.2,-122.5,0.964,0.652,82.8,20.8,8760
20,-159.8,-53.1,14.0,-115.2,0.962,0.678,81.8,18.6,8760
21,-149.6,-59.6,9.2,-124.7,0.96,0.623,83.8,21.3,8760
22,-166.8,-65.4,7.1,-118.4,0.958,0.63,83.5,20.6,8760
23,-152.1,-51.5,4.2,-115.2,0.956,0.657,83.3,19.9,8760
24,-163.4,-56.2,11.1,-113.2,0.954,0.633,81.7,21.8,8760
25,-159.7,-54.8,21.3,-122.4,0.953,0.697,84.0,20.2,8760
26,-130.4,-54.1,19.5,-118.8,0.951,0.687,84.9,20.6,8760
27,-164.5,-48.5,8.6,-111.9,0.949,0.664,83.0,20.7,8760
28,-170.7,-55.3,24.1,-122.6,0.947,0.641,83.9,21.5,8760
29,-145.0,-45.1,9.0,-125.7,0.945,0.692,83.0,20.3,8760
30,-136.9,-47.0,19.2,-111.3,0.943,0.65,84.3,20.6,8760
31,-148.7,-41.8,20.1,-117.8,0.941,0.685,83.0,19.8,8760
32,-163.6,-58.9,33.0,-124.4,0.939,0.659,83.1,20.7,8760
33,-140.4,-44.5,12.4,-120.7,0.937,0.67,83.2,21.8,8760
34,-143.4,-44.8,22.9,-115.3,0.935,0.668,82.1,20.8,8760
35,-156.2,-50.8,22.8,-115.0,0.933,0.665,83.7,21.8,8760
36,-144.6,-34.8,23.1,-127.0,0.932,0.68,83.8,21.5,8760
37,-138.6,-48.2,9.3,-120.8,0.93,0.649,82.9,20.9,8760
38,-125.7,-45.2,10.0,-118.2,0.928,0.69,82.9,20.3,8760
39,-144.7,-50.7,25.3,-120.5,0.926,0.675,82.6,20.0,8760
40,-135.4,-48.3,34.4,-121.6,0.924,0.671,84.4,19.2,8760
