epoch,phase,snn_train_acc,snn_val_acc,train_loss,val_loss,cnn_val_acc,lstm_val_acc,mlp_val_acc,mean_firing_rate_pct,rate_reg_loss,learning_rate
1,1,22.01,21.65,2.4708,2.5709,21.17,20.78,21.9,78.2,0.00976,0.000475
2,1,23.9,23.19,2.3793,2.4826,22.81,21.97,21.24,78.3,0.00833,0.000451
3,1,25.13,25.13,2.3224,2.4317,24.5,22.57,23.3,77.9,0.00776,0.000429
4,1,26.73,26.14,2.2503,2.4064,25.16,23.22,24.17,77.3,0.00847,0.000407
5,1,28.84,27.73,2.1897,2.3452,26.56,23.7,25.44,76.3,0.00789,0.000387
6,1,29.89,29.96,2.1348,2.2451,27.39,25.2,26.19,75.3,0.00799,0.000368
7,1,31.94,31.57,2.0883,2.2101,28.6,25.86,26.99,73.8,0.00901,0.000349
8,1,33.81,33.01,2.0583,2.1275,30.01,26.39,28.14,74.8,0.00856,0.000332
9,1,35.0,33.93,1.9821,2.0894,31.03,28.5,29.21,72.6,0.00867,0.000315
10,1,36.93,35.53,1.9534,2.0478,32.45,26.89,30.58,71.8,0.00739,0.0005
11,1,38.1,36.61,1.8802,1.9982,32.61,29.44,31.82,71.6,0.00726,0.000475
12,1,39.32,37.72,1.8619,1.9669,33.48,30.52,32.13,72.1,0.00742,0.000451
13,1,40.88,39.71,1.808,1.9242,34.37,30.51,32.65,71.5,0.00871,0.000429
14,1,41.75,40.58,1.742,1.837,35.58,31.22,33.3,71.1,0.00757,0.000407
15,1,44.05,41.87,1.694,1.8363,35.69,32.12,34.57,68.7,0.00742,0.000387
16,1,45.5,42.91,1.6389,1.7629,37.73,33.52,35.74,68.5,0.00826,0.000368
17,1,46.42,43.59,1.6204,1.7223,38.0,33.17,36.22,68.8,0.00678,0.000349
18,1,47.06,44.67,1.5792,1.6584,39.42,33.63,37.74,68.8,0.00697,0.000332
19,1,48.15,46.27,1.5525,1.6593,40.67,34.1,37.85,67.4,0.00712,0.000315
20,1,49.93,47.59,1.4836,1.5875,41.51,35.8,38.64,67.6,0.00814,0.0005
21,1,50.45,48.64,1.4361,1.5812,42.1,35.69,40.17,66.6,0.00698,0.000475
22,1,51.89,49.19,1.4067,1.5339,43.17,37.32,40.18,66.1,0.00761,0.000451
23,1,52.74,50.28,1.3671,1.4665,43.54,37.55,40.82,65.8,0.00743,0.000429
24,1,54.1,51.46,1.328,1.4589,45.72,37.3,41.63,65.6,0.00828,0.000407
25,1,54.79,52.82,1.2843,1.4358,45.37,38.49,41.65,65.0,0.00696,0.000387
26,1,55.39,53.55,1.2966,1.3874,45.26,38.58,42.82,64.0,0.00826,0.000368
27,1,56.83,53.93,1.2607,1.3564,47.16,40.31,42.72,63.9,0.00785,0.000349
28,1,57.47,55.49,1.2248,1.3181,49.27,40.8,44.38,63.6,0.00686,0.000332
29,1,58.43,56.06,1.1826,1.2493,49.21,39.66,45.03,61.5,0.00621,0.000315
30,1,59.07,56.82,1.1297,1.2473,49.29,40.88,45.65,62.2,0.00627,0.0005
31,1,60.44,57.58,1.1208,1.2238,48.4,41.95,45.59,61.4,0.00621,0.000475
32,1,61.52,58.85,1.0854,1.1663,50.51,42.07,46.19,61.2,0.00744,0.000451
33,1,61.72,59.81,1.0847,1.1712,51.79,43.48,46.34,60.4,0.00748,0.000429
34,1,62.76,60.4,1.0334,1.1046,51.75,41.41,47.17,59.6,0.00679,0.000407
35,1,64.18,60.4,1.0149,1.074,52.7,42.98,48.82,60.2,0.00621,0.000387
36,1,64.46,61.79,0.9586,1.0796,52.29,44.39,49.12,59.2,0.00713,0.000368
37,1,65.84,61.65,0.9791,1.0415,53.33,44.41,49.23,59.8,0.00585,0.000349
38,1,65.78,62.9,0.9134,1.0347,54.2,45.79,50.02,59.2,0.00738,0.000332
39,1,66.39,63.6,0.9212,1.0164,54.33,45.77,51.02,58.0,0.0076,0.000315
