month,days,HVAC_Thermal_kWh_m2,Fans_Pumps_kWh_m2,Interior_Lighting_kWh_m2,Other_kWh_m2,Total_kWh_m2
Jan,31,5.187,2.402,0.755,0.755,9.1
Feb,28,4.959,2.297,0.722,0.722,8.7
Mar,31,5.073,2.35,0.739,0.739,8.9
Apr,30,5.358,2.482,0.78,0.78,9.4
May,31,6.042,2.798,0.88,0.88,10.6
Jun,30,6.384,2.957,0.93,0.93,11.2
Jul,31,6.783,3.142,0.988,0.988,11.9
Aug,31,6.555,3.036,0.955,0.955,11.5
Sep,30,5.757,2.666,0.838,0.838,10.1
Oct,31,5.244,2.429,0.764,0.764,9.2
Nov,30,5.016,2.323,0.73,0.73,8.8
Dec,31,4.788,2.218,0.697,0.697,8.4
