hour,zone_temp_C,zone_rh_pct,co2_ppm,occupancy_frac,hvac_power_kw,hvac_power_kw_na,lighting_kw,pmv,ppd_pct,ashrae55_ok,outdoor_temp_C,peak_demand_kw
0,22.15,61.3,420.0,0.15,156.0,119.03,0.95,-0.198,95.2,1,33.25,156.95
1,22.26,59.6,400.0,0.23,196.38,149.83,0.69,-0.096,95.1,1,34.93,197.07
2,23.88,62.2,412.0,0.23,234.0,178.54,0.18,0.505,93.0,1,36.23,234.18
3,24.6,58.4,415.0,0.1,266.31,203.19,0.4,0.437,93.3,1,37.07,266.71
4,23.64,61.7,410.0,0.11,291.1,222.11,0.09,0.468,93.2,1,37.38,291.19
5,24.26,57.9,417.0,0.0,306.68,234.0,0.0,0.581,92.6,1,37.15,306.69
6,25.09,56.3,400.0,0.03,312.0,238.06,0.92,0.11,94.6,1,36.39,312.92
7,24.76,53.3,400.0,0.08,306.68,234.0,0.97,0.418,93.4,1,35.15,307.66
8,24.62,49.5,999.0,1.0,378.43,288.74,10.92,0.373,93.6,1,33.52,389.35
9,23.73,47.9,999.0,1.0,346.2,264.15,10.25,0.55,92.8,1,31.6,356.46
10,23.98,44.5,984.0,1.0,304.2,232.1,10.62,-0.044,95.0,1,29.53,314.82
11,23.2,45.2,1007.0,1.0,255.29,194.79,10.5,0.34,93.8,1,27.45,265.79
12,22.08,41.2,1027.0,1.0,202.8,154.74,10.5,0.359,93.7,1,25.49,213.3
13,21.83,37.5,1036.0,1.0,255.29,194.79,10.43,-0.473,95.2,1,23.8,265.72
14,20.78,36.7,1042.0,1.0,304.2,232.1,10.94,-0.247,95.2,1,22.48,315.14
15,19.5,36.8,961.0,1.0,346.2,264.15,10.79,-0.254,95.2,1,21.63,356.99
16,19.64,42.3,965.0,1.0,378.43,288.74,10.85,-0.258,95.3,1,21.3,389.28
17,18.68,40.3,991.0,1.0,398.69,304.2,10.03,-0.916,94.3,0,21.52,408.72
18,19.5,45.2,1002.0,1.0,405.6,309.47,10.41,-0.432,95.3,1,22.26,416.01
19,19.15,47.2,400.0,0.21,306.68,234.0,0.6,-0.527,95.2,1,23.49,307.28
20,19.38,49.4,400.0,0.28,291.1,222.11,0.66,-0.49,95.2,1,25.11,291.76
21,19.61,53.0,400.0,0.19,266.31,203.19,0.89,0.06,94.7,1,27.01,267.2
22,21.19,54.9,414.0,0.23,234.0,178.54,0.17,-0.293,95.3,1,29.07,234.17
23,21.23,51.3,400.0,0.0,196.38,149.83,0.09,-0.039,95.0,1,31.14,196.47
