hour,month,hour_of_day,occupied,T_outdoor_C,T_zone1_RB_C,PMV_zone1_RB,T_zone1_NA_C,PMV_zone1_NA,kWh_m2_RB,kWh_m2_NA
0,1,0,0,21.0,23.25,0.157,23.2,0.166,0.0119,0.0106
1,1,1,0,21.78,22.15,0.094,22.08,0.031,0.0119,0.0106
2,1,2,0,22.5,21.8,-0.044,21.96,-0.018,0.0119,0.0106
3,1,3,0,23.12,22.86,0.0,22.29,0.012,0.0119,0.0106
4,1,4,0,23.6,20.98,-0.147,21.08,-0.135,0.0119,0.0106
5,1,5,0,23.9,24.7,0.273,24.63,0.22,0.0119,0.0106
6,1,6,0,24.0,21.68,-0.089,21.72,-0.017,0.0119,0.0106
7,1,7,0,23.9,21.6,-0.07,21.51,0.007,0.0119,0.0106
8,1,8,1,23.6,22.48,0.089,22.16,-0.02,0.0119,0.0106
9,1,9,1,23.12,22.81,0.015,22.23,0.028,0.0119,0.0106
10,1,10,1,22.5,23.61,0.155,23.66,0.157,0.0119,0.0106
11,1,11,1,21.78,20.28,-0.195,20.07,-0.162,0.0119,0.0106
12,1,12,1,21.0,23.02,0.118,22.49,0.037,0.0119,0.0106
13,1,13,1,20.22,21.48,0.0,21.67,-0.005,0.0119,0.0106
14,1,14,1,19.5,21.24,-0.059,21.15,-0.056,0.0119,0.0106
15,1,15,1,18.88,21.78,-0.077,21.73,-0.063,0.0119,0.0106
16,1,16,1,18.4,23.72,0.168,24.13,0.243,0.0119,0.0106
17,1,17,1,18.1,23.04,0.122,22.85,0.131,0.0119,0.0106
18,1,18,1,18.0,22.45,-0.086,22.92,0.116,0.0119,0.0106
19,1,19,0,18.1,22.63,0.068,22.54,-0.006,0.0119,0.0106
20,1,20,0,18.4,22.17,0.091,22.28,0.012,0.0119,0.0106
21,1,21,0,18.88,21.29,-0.026,21.14,-0.076,0.0119,0.0106
22,1,22,0,19.5,21.71,-0.025,21.86,0.015,0.0119,0.0106
23,1,23,0,20.22,21.45,-0.075,21.35,-0.109,0.0119,0.0106
24,1,0,0,21.0,22.94,0.095,23.02,0.095,0.0119,0.0106
25,1,1,0,21.78,20.38,-0.179,20.25,-0.199,0.0119,0.0106
26,1,2,0,22.5,22.26,0.12,22.38,0.043,0.0119,0.0106
27,1,3,0,23.12,22.89,-0.007,22.86,0.086,0.0119,0.0106
28,1,4,0,23.6,22.59,0.049,23.33,0.142,0.0119,0.0106
29,1,5,0,23.9,22.45,0.102,22.1,0.032,0.0119,0.0106
30,1,6,0,24.0,23.69,0.239,23.41,0.099,0.0119,0.0106
31,1,7,0,23.9,23.38,0.089,24.04,0.187,0.0119,0.0106
32,1,8,1,23.6,22.65,-0.013,22.5,0.052,0.0119,0.0106
33,1,9,1,23.12,20.91,-0.155,21.05,-0.049,0.0119,0.0106
34,1,10,1,22.5,21.33,-0.027,21.23,-0.114,0.0119,0.0106
35,1,11,1,21.78,22.84,0.004,23.23,0.129,0.0119,0.0106
36,1,12,1,21.0,22.89,0.027,23.12,0.073,0.0119,0.0106
37,1,13,1,20.22,23.28,0.141,23.37,0.148,0.0119,0.0106
38,1,14,1,19.5,21.48,-0.037,21.55,-0.066,0.0119,0.0106
39,1,15,1,18.88,25.3,0.27,25.44,0.364,0.0119,0.0106
40,1,16,1,18.4,21.04,-0.038,21.27,-0.097,0.0119,0.0106
41,1,17,1,18.1,23.95,0.236,24.07,0.264,0.0119,0.0106
42,1,18,1,18.0,22.13,-0.031,21.91,-0.034,0.0119,0.0106
43,1,19,0,18.1,22.38,0.052,22.49,0.073,0.0119,0.0106
44,1,20,0,18.4,22.52,0.039,22.96,0.177,0.0119,0.0106
45,1,21,0,18.88,23.44,0.09,23.18,0.133,0.0119,0.0106
46,1,22,0,19.5,22.16,0.04,22.38,0.036,0.0119,0.0106
47,1,23,0,20.22,21.23,-0.099,20.78,-0.097,0.0119,0.0106
48,1,0,0,21.0,22.82,0.091,22.45,0.056,0.0119,0.0106
49,1,1,0,21.78,21.17,-0.08,21.22,-0.112,0.0119,0.0106
50,1,2,0,22.5,23.04,0.158,23.2,0.152,0.0119,0.0106
51,1,3,0,23.12,20.43,-0.131,20.15,-0.169,0.0119,0.0106
52,1,4,0,23.6,23.27,0.156,24.43,0.277,0.0119,0.0106
