window_id,building,occupant_id,comfort_class_int,comfort_class_str,ashrae_raw
0,medium_office,5,3,Warm,0.71
1,residential,22,2,Neutral,0.14
2,mixed_use,17,2,Neutral,0.34
3,mixed_use,15,2,Neutral,0.03
4,residential,21,2,Neutral,-0.13
5,residential,15,2,Neutral,-0.24
6,medium_office,37,2,Neutral,-0.49
7,medium_office,12,2,Neutral,0.12
8,mixed_use,36,3,Warm,0.33
9,medium_office,34,2,Neutral,0.21
10,medium_office,20,0,Cold,-2.0
11,medium_office,7,2,Neutral,0.46
12,residential,12,2,Neutral,-0.08
13,residential,27,2,Neutral,0.38
14,mixed_use,20,4,Hot,1.87
15,residential,23,2,Neutral,0.13
16,residential,32,2,Neutral,0.4
17,medium_office,15,1,Cool,-0.93
18,mixed_use,9,2,Neutral,0.13
19,mixed_use,30,2,Neutral,0.26
20,medium_office,22,2,Neutral,-0.5
21,mixed_use,15,2,Neutral,0.46
22,residential,20,3,Warm,0.61
23,medium_office,31,2,Neutral,0.11
24,medium_office,25,2,Neutral,0.42
25,medium_office,15,3,Warm,1.05
26,residential,20,1,Cool,-0.44
27,medium_office,22,2,Neutral,-0.37
28,mixed_use,25,0,Cold,-1.94
29,mixed_use,12,1,Cool,-1.19
30,medium_office,33,3,Warm,0.54
31,medium_office,20,2,Neutral,-0.12
32,mixed_use,7,2,Neutral,0.09
33,medium_office,34,2,Neutral,0.17
34,residential,30,2,Neutral,0.16
35,residential,7,2,Neutral,-0.06
36,mixed_use,34,2,Neutral,0.17
37,residential,11,2,Neutral,0.18
38,mixed_use,10,3,Warm,0.89
39,mixed_use,24,0,Cold,-1.32
40,medium_office,12,1,Cool,-0.35
41,mixed_use,5,2,Neutral,0.44
42,medium_office,28,2,Neutral,0.02
43,medium_office,8,2,Neutral,0.33
44,mixed_use,6,4,Hot,1.52
45,medium_office,28,3,Warm,0.91
46,medium_office,15,3,Warm,0.9
47,mixed_use,36,2,Neutral,0.31
48,mixed_use,22,2,Neutral,0.14
49,mixed_use,11,2,Neutral,0.0
50,medium_office,15,3,Warm,0.54
51,mixed_use,23,2,Neutral,0.03
52,medium_office,16,3,Warm,1.06
53,mixed_use,7,4,Hot,1.26
54,residential,30,2,Neutral,-0.31
55,residential,32,2,Neutral,-0.14
56,medium_office,4,2,Neutral,-0.2
57,mixed_use,6,4,Hot,1.23
58,mixed_use,14,2,Neutral,-0.23
59,medium_office,20,2,Neutral,-0.1
60,medium_office,12,2,Neutral,0.1
61,medium_office,1,2,Neutral,0.33
62,mixed_use,24,2,Neutral,-0.33
63,medium_office,36,2,Neutral,-0.12
64,residential,30,3,Warm,1.04
65,medium_office,18,2,Neutral,-0.27
66,mixed_use,33,3,Warm,0.41
67,medium_office,2,2,Neutral,0.16
68,residential,26,0,Cold,-1.52
69,residential,7,3,Warm,1.16
70,residential,20,2,Neutral,0.13
71,medium_office,34,2,Neutral,0.43
72,mixed_use,24,1,Cool,-1.11
73,medium_office,25,2,Neutral,-0.24
74,mixed_use,12,1,Cool,-0.69
75,mixed_use,17,2,Neutral,0.47
76,mixed_use,5,2,Neutral,0.07
77,mixed_use,13,2,Neutral,0.11
78,residential,4,3,Warm,1.13
79,residential,3,1,Cool,-0.81
80,residential,25,2,Neutral,-0.45
81,residential,31,2,Neutral,0.44
82,residential,3,3,Warm,1.24
83,medium_office,19,3,Warm,0.58
84,mixed_use,24,2,Neutral,-0.42
85,medium_office,27,2,Neutral,-0.43
86,residential,22,2,Neutral,0.06
87,medium_office,14,3,Warm,0.32
88,residential,33,2,Neutral,-0.41
89,medium_office,35,3,Warm,0.51
90,medium_office,3,1,Cool,-0.3
91,residential,23,2,Neutral,-0.43
92,residential,36,2,Neutral,-0.02
93,residential,23,3,Warm,0.79
94,residential,9,2,Neutral,0.12
95,residential,28,2,Neutral,-0.29
96,mixed_use,35,3,Warm,0.82
97,medium_office,22,1,Cool,-0.72
98,medium_office,13,2,Neutral,0.12
99,medium_office,12,2,Neutral,0.21
100,mixed_use,12,1,Cool,-0.61
101,medium_office,15,2,Neutral,0.08
102,medium_office,34,2,Neutral,0.4
103,mixed_use,26,2,Neutral,0.37
104,residential,15,2,Neutral,-0.44
105,mixed_use,34,3,Warm,0.83
106,mixed_use,38,4,Hot,1.41
107,medium_office,23,3,Warm,0.85
108,medium_office,8,3,Warm,0.75
109,mixed_use,20,3,Warm,1.01
110,mixed_use,6,3,Warm,0.48
111,residential,9,4,Hot,1.32
112,medium_office,11,2,Neutral,-0.35
113,mixed_use,15,2,Neutral,-0.39
114,mixed_use,13,2,Neutral,0.39
115,residential,7,3,Warm,0.4
116,mixed_use,22,2,Neutral,-0.31
117,residential,31,2,Neutral,-0.06
118,mixed_use,17,2,Neutral,-0.49
119,medium_office,26,3,Warm,0.91
120,mixed_use,13,2,Neutral,0.26
121,medium_office,17,2,Neutral,0.42
122,residential,28,3,Warm,0.47
123,medium_office,30,2,Neutral,0.49
124,medium_office,19,2,Neutral,-0.13
125,medium_office,11,2,Neutral,0.42
126,residential,7,0,Cold,-1.26
127,mixed_use,2,1,Cool,-0.58
128,residential,23,2,Neutral,-0.16
129,medium_office,14,3,Warm,0.36
130,mixed_use,17,2,Neutral,-0.0
131,mixed_use,37,2,Neutral,0.35
132,residential,21,3,Warm,0.9
133,mixed_use,3,2,Neutral,-0.31
134,medium_office,7,2,Neutral,-0.43
135,medium_office,34,2,Neutral,0.02
136,residential,32,2,Neutral,0.47
137,medium_office,29,2,Neutral,-0.29
138,mixed_use,2,4,Hot,1.89
139,mixed_use,12,1,Cool,-0.3
140,medium_office,13,2,Neutral,-0.09
141,medium_office,33,2,Neutral,0.48
142,mixed_use,34,2,Neutral,0.31
143,mixed_use,21,2,Neutral,-0.48
144,medium_office,11,2,Neutral,0.36
145,medium_office,30,2,Neutral,0.34
146,medium_office,16,2,Neutral,0.26
147,residential,12,3,Warm,0.47
148,mixed_use,27,2,Neutral,0.44
149,medium_office,37,2,Neutral,0.48
150,mixed_use,3,2,Neutral,0.48
151,residential,13,1,Cool,-1.05
152,medium_office,11,2,Neutral,-0.39
153,residential,31,3,Warm,0.83
154,medium_office,37,2,Neutral,0.32
155,mixed_use,7,2,Neutral,-0.06
156,mixed_use,4,2,Neutral,0.5
157,medium_office,16,3,Warm,1.12
158,residential,16,2,Neutral,0.29
159,medium_office,15,2,Neutral,0.41
160,medium_office,35,2,Neutral,0.29
161,medium_office,12,1,Cool,-0.81
162,medium_office,21,2,Neutral,0.45
163,medium_office,13,2,Neutral,0.32
164,medium_office,36,2,Neutral,-0.23
165,residential,16,2,Neutral,0.32
166,medium_office,4,2,Neutral,0.18
167,mixed_use,21,2,Neutral,0.29
168,residential,19,2,Neutral,0.29
169,residential,3,2,Neutral,-0.1
170,mixed_use,32,1,Cool,-0.57
171,residential,36,3,Warm,1.13
172,residential,38,2,Neutral,-0.29
