sample_id,T_now_C,RH_now_pct,CO2_now_ppm,T_forecast_30min_C,PMV_forecast,comfort_class_now,comfort_class_forecast
0,26.15,66.1,1154.0,27.19,0.424,3,1
1,25.04,33.1,1116.0,23.91,0.25,4,2
2,19.01,64.8,831.0,17.24,-0.376,1,2
3,25.11,38.5,472.0,25.61,0.346,2,1
4,26.08,30.3,926.0,25.33,0.359,2,2
5,27.08,62.3,652.0,26.88,0.598,2,2
6,18.78,33.6,854.0,18.76,-0.22,3,2
7,21.24,57.5,1165.0,20.94,-0.14,2,1
8,25.75,49.8,843.0,25.64,0.338,2,2
9,23.42,45.0,1080.0,23.28,0.179,4,3
10,19.32,38.8,798.0,19.58,-0.453,2,1
11,26.02,67.8,877.0,25.48,0.237,2,2
12,22.41,43.9,609.0,22.97,0.206,2,2
13,24.67,64.4,890.0,25.62,0.297,2,2
14,26.39,64.8,606.0,26.26,0.44,2,2
15,26.24,67.0,943.0,27.09,0.27,2,1
16,25.83,47.1,1198.0,25.44,0.153,2,2
17,22.53,64.0,493.0,21.65,0.017,2,2
18,21.09,33.1,797.0,21.08,0.013,1,2
19,21.16,69.0,1143.0,22.91,0.305,1,2
20,27.69,58.4,421.0,27.44,0.532,3,2
21,27.9,62.1,1000.0,28.99,0.652,2,2
22,22.14,42.7,599.0,21.91,0.109,2,2
23,18.94,43.3,531.0,18.86,-0.18,0,2
24,27.6,30.6,996.0,28.73,0.506,3,1
25,25.16,51.8,710.0,23.44,0.245,4,2
26,21.29,55.9,715.0,20.46,-0.231,3,2
27,23.57,41.4,467.0,23.12,-0.028,2,2
28,22.35,37.8,491.0,21.6,0.025,2,2
29,24.47,62.0,592.0,23.88,0.103,2,2
30,21.89,38.9,423.0,22.97,0.099,1,2
31,27.67,57.9,748.0,27.28,0.5,2,2
32,27.86,33.0,776.0,27.94,0.718,2,2
33,23.3,49.5,940.0,23.17,0.038,4,2
34,23.48,46.5,775.0,22.18,0.066,0,1
35,22.54,51.0,1167.0,22.55,-0.1,2,3
36,21.45,43.7,612.0,19.84,-0.182,1,2
37,25.15,42.3,1097.0,24.92,0.243,3,2
38,22.41,43.8,677.0,20.49,-0.203,2,3
39,21.44,40.0,933.0,22.1,0.141,2,2
40,23.7,35.3,586.0,24.19,0.274,2,2
41,20.65,55.9,662.0,21.58,-0.027,3,2
42,25.35,33.8,857.0,24.48,0.238,1,2
43,26.06,56.2,912.0,25.96,0.369,1,2
44,25.06,46.1,919.0,25.44,0.263,2,2
