day_of_week,hour,zone,occupied,n_occupants,CO2_ppm
0,0,1,0,0,399.0
0,0,2,0,0,404.0
0,0,3,0,0,396.0
0,0,4,0,0,361.0
0,0,5,0,0,401.0
0,0,6,0,0,409.0
0,1,1,0,0,404.0
0,1,2,0,0,409.0
0,1,3,0,0,404.0
0,1,4,0,0,397.0
0,1,5,0,0,407.0
0,1,6,0,0,407.0
0,2,1,0,0,408.0
0,2,2,0,0,386.0
0,2,3,0,0,406.0
0,2,4,0,0,384.0
0,2,5,0,0,398.0
0,2,6,0,0,387.0
0,3,1,0,0,399.0
0,3,2,0,0,396.0
0,3,3,0,0,382.0
0,3,4,0,0,404.0
0,3,5,0,0,418.0
0,3,6,0,0,395.0
0,4,1,0,0,408.0
0,4,2,1,0,404.0
0,4,3,0,0,406.0
0,4,4,0,0,407.0
0,4,5,0,0,395.0
0,4,6,0,0,406.0
0,5,1,0,0,402.0
0,5,2,0,0,395.0
0,5,3,0,0,404.0
0,5,4,0,0,407.0
0,5,5,0,0,403.0
0,5,6,0,0,400.0
0,6,1,0,0,398.0
0,6,2,0,0,403.0
0,6,3,0,0,401.0
0,6,4,0,0,407.0
0,6,5,0,0,408.0
0,6,6,0,0,393.0
0,7,1,0,0,409.0
0,7,2,0,0,397.0
0,7,3,0,0,385.0
0,7,4,1,0,388.0
0,7,5,0,0,395.0
0,7,6,0,0,379.0
0,8,1,1,4,648.0
0,8,2,1,2,526.0
0,8,3,1,2,515.0
0,8,4,1,5,700.0
0,8,5,1,2,525.0
0,8,6,0,0,389.0
0,9,1,1,3,581.0
0,9,2,1,6,747.0
0,9,3,0,0,395.0
0,9,4,1,8,880.0
0,9,5,1,7,803.0
0,9,6,0,0,400.0
0,10,1,0,0,415.0
0,10,2,1,7,829.0
0,10,3,1,4,630.0
0,10,4,0,0,395.0
0,10,5,1,4,659.0
0,10,6,1,3,582.0
0,11,1,0,0,395.0
0,11,2,1,11,1056.0
0,11,3,1,4,632.0
0,11,4,0,0,408.0
0,11,5,0,0,403.0
0,11,6,0,0,385.0
0,12,1,1,2,502.0
0,12,2,1,9,930.0
0,12,3,1,6,752.0
0,12,4,1,9,932.0
0,12,5,1,4,640.0
0,12,6,1,5,685.0
0,13,1,1,5,694.0
0,13,2,0,0,384.0
0,13,3,1,6,756.0
0,13,4,1,5,708.0
0,13,5,1,8,881.0
0,13,6,0,0,405.0
0,14,1,1,5,700.0
0,14,2,1,6,769.0
0,14,3,1,4,642.0
0,14,4,1,3,576.0
0,14,5,1,0,393.0
0,14,6,0,0,404.0
0,15,1,0,0,399.0
0,15,2,1,5,707.0
0,15,3,1,2,533.0
0,15,4,1,6,762.0
0,15,5,1,4,663.0
0,15,6,0,0,408.0
0,16,1,0,0,406.0
0,16,2,1,2,519.0
0,16,3,1,2,516.0
0,16,4,0,0,399.0
0,16,5,0,0,415.0
0,16,6,1,10,1004.0
0,17,1,1,8,896.0
0,17,2,1,6,759.0
0,17,3,1,2,521.0
0,17,4,1,5,714.0
0,17,5,1,1,455.0
0,17,6,1,5,694.0
0,18,1,1,3,566.0
0,18,2,1,5,679.0
0,18,3,0,0,402.0
0,18,4,1,6,759.0
0,18,5,1,4,632.0
0,18,6,1,2,532.0
0,19,1,1,0,399.0
0,19,2,0,0,404.0
0,19,3,0,0,400.0
0,19,4,0,0,377.0
0,19,5,0,0,401.0
0,19,6,0,0,406.0
0,20,1,0,0,415.0
0,20,2,1,0,417.0
0,20,3,1,0,388.0
0,20,4,0,0,402.0
0,20,5,0,0,395.0
0,20,6,1,0,389.0
0,21,1,0,0,411.0
0,21,2,0,0,420.0
0,21,3,0,0,413.0
0,21,4,0,0,399.0
0,21,5,0,0,408.0
0,21,6,0,0,392.0
0,22,1,0,0,399.0
0,22,2,1,0,394.0
0,22,3,0,0,417.0
0,22,4,0,0,393.0
0,22,5,0,0,389.0
0,22,6,0,0,404.0
0,23,1,0,0,405.0
0,23,2,0,0,405.0
0,23,3,0,0,388.0
0,23,4,0,0,397.0
0,23,5,0,0,406.0
0,23,6,0,0,416.0
1,0,1,0,0,401.0
1,0,2,0,0,395.0
1,0,3,0,0,420.0
1,0,4,1,0,385.0
1,0,5,1,0,406.0
1,0,6,0,0,389.0
1,1,1,0,0,400.0
1,1,2,0,0,410.0
1,1,3,0,0,398.0
1,1,4,0,0,389.0
1,1,5,0,0,389.0
1,1,6,0,0,406.0
1,2,1,0,0,381.0
1,2,2,0,0,401.0
1,2,3,0,0,408.0
1,2,4,0,0,402.0
1,2,5,0,0,402.0
1,2,6,0,0,400.0
1,3,1,0,0,389.0
1,3,2,0,0,417.0
1,3,3,0,0,419.0
1,3,4,0,0,390.0
1,3,5,0,0,403.0
1,3,6,0,0,400.0
1,4,1,0,0,399.0
1,4,2,0,0,398.0
1,4,3,0,0,403.0
1,4,4,0,0,384.0
1,4,5,0,0,402.0
1,4,6,0,0,389.0
1,5,1,0,0,397.0
1,5,2,0,0,412.0
1,5,3,0,0,386.0
1,5,4,1,0,402.0
1,5,5,0,0,400.0
1,5,6,0,0,407.0
1,6,1,0,0,393.0
1,6,2,0,0,401.0
1,6,3,0,0,383.0
1,6,4,0,0,398.0
1,6,5,0,0,400.0
1,6,6,0,0,404.0
1,7,1,0,0,415.0
1,7,2,0,0,383.0
1,7,3,0,0,395.0
1,7,4,0,0,396.0
1,7,5,0,0,416.0
1,7,6,0,0,410.0
1,8,1,1,3,597.0
1,8,2,1,5,688.0
1,8,3,0,0,391.0
1,8,4,0,0,384.0
1,8,5,0,0,404.0
1,8,6,0,0,417.0
1,9,1,0,0,406.0
1,9,2,1,5,712.0
1,9,3,0,0,398.0
1,9,4,1,2,520.0
1,9,5,1,6,786.0
1,9,6,0,0,395.0
1,10,1,0,0,394.0
1,10,2,1,4,644.0
1,10,3,0,0,417.0
1,10,4,0,0,399.0
1,10,5,1,6,771.0
1,10,6,1,6,757.0
1,11,1,1,3,582.0
1,11,2,1,4,637.0
1,11,3,1,5,709.0
1,11,4,1,4,630.0
1,11,5,1,4,645.0
1,11,6,0,0,378.0
1,12,1,1,10,1011.0
1,12,2,1,10,1000.0
1,12,3,1,9,947.0
1,12,4,1,3,561.0
1,12,5,1,4,634.0
1,12,6,1,6,766.0
1,13,1,1,8,891.0
1,13,2,1,4,639.0
1,13,3,1,8,867.0
1,13,4,1,1,452.0
1,13,5,1,2,507.0
1,13,6,1,3,575.0
1,14,1,1,3,569.0
1,14,2,1,8,891.0
1,14,3,1,3,584.0
1,14,4,1,3,580.0
1,14,5,0,0,400.0
1,14,6,1,5,703.0
1,15,1,1,4,642.0
1,15,2,1,4,662.0
1,15,3,1,5,723.0
1,15,4,0,0,399.0
1,15,5,1,7,834.0
1,15,6,0,0,408.0
1,16,1,1,10,1001.0
1,16,2,1,5,710.0
1,16,3,1,9,934.0
1,16,4,1,7,822.0
1,16,5,1,5,722.0
1,16,6,1,4,638.0
1,17,1,1,7,835.0
1,17,2,1,5,718.0
1,17,3,0,0,406.0
1,17,4,1,2,522.0
1,17,5,1,6,759.0
1,17,6,1,9,943.0
1,18,1,1,4,632.0
1,18,2,1,4,649.0
1,18,3,0,0,397.0
1,18,4,1,2,527.0
1,18,5,1,5,707.0
1,18,6,1,7,833.0
1,19,1,0,0,409.0
1,19,2,0,0,400.0
1,19,3,0,0,399.0
1,19,4,0,0,384.0
1,19,5,0,0,403.0
1,19,6,0,0,410.0
1,20,1,0,0,389.0
1,20,2,0,0,398.0
