timestamp,building,air_temp,radiant_temp,humidity,air_speed,co2_ppm,lux,sound_db,occupancy,outdoor_temp,solar_rad,time_of_day_sin,time_of_day_cos,day_of_week_sin,day_of_week_cos
2024-03-01 00:00:00,medium_office,22.09,23.1,59.1,0.098,401.0,41.0,39.2,0.26,30.3,0.0,0.0,1.0,0.0,1.0
2024-03-01 00:01:00,medium_office,21.7,23.37,60.9,0.322,411.0,0.0,34.0,0.16,32.04,0.0,0.0044,1.0,0.0,1.0
2024-03-01 00:02:00,medium_office,22.25,23.13,60.9,0.157,461.0,0.0,36.5,0.28,30.9,0.1,0.0087,1.0,0.0,1.0
2024-03-01 00:03:00,medium_office,22.32,23.92,57.6,0.632,400.0,58.0,29.7,0.23,33.2,0.1,0.0131,0.9999,0.0,1.0
2024-03-01 00:04:00,medium_office,21.47,23.61,58.9,0.332,401.0,0.0,32.2,0.27,33.71,0.2,0.0175,0.9998,0.0,1.0
2024-03-01 00:05:00,medium_office,21.67,22.92,54.8,0.205,400.0,9.0,29.3,0.22,33.86,0.4,0.0218,0.9998,0.0,1.0
2024-03-01 00:06:00,medium_office,22.12,22.93,58.8,0.128,427.0,34.0,38.1,0.17,32.38,0.5,0.0262,0.9997,0.0,1.0
2024-03-01 00:07:00,medium_office,22.0,23.25,57.0,0.332,400.0,0.0,34.5,0.05,31.59,0.7,0.0305,0.9995,0.0,1.0
2024-03-01 00:08:00,medium_office,22.1,22.73,58.2,0.069,431.0,0.0,36.7,0.22,32.4,1.0,0.0349,0.9994,0.0,1.0
2024-03-01 00:09:00,medium_office,21.86,23.55,55.2,0.012,400.0,0.0,35.2,0.18,31.17,1.2,0.0393,0.9992,0.0,1.0
2024-03-01 00:10:00,medium_office,22.39,23.23,59.5,0.016,416.0,39.0,36.4,0.14,34.48,1.5,0.0436,0.999,0.0,1.0
2024-03-01 00:11:00,medium_office,22.38,23.2,55.3,0.287,400.0,34.0,34.0,0.17,33.36,1.8,0.048,0.9988,0.0,1.0
2024-03-01 00:12:00,medium_office,22.18,23.38,59.0,0.095,422.0,25.0,34.4,0.07,32.5,2.2,0.0523,0.9986,0.0,1.0
2024-03-01 00:13:00,medium_office,22.51,23.8,56.3,0.15,400.0,0.0,34.7,0.12,33.22,2.6,0.0567,0.9984,0.0,1.0
2024-03-01 00:14:00,medium_office,22.32,23.19,57.0,0.029,400.0,37.0,36.2,0.04,31.77,3.0,0.061,0.9981,0.0,1.0
2024-03-01 00:15:00,medium_office,21.94,23.09,61.1,0.071,400.0,0.0,36.3,0.12,31.18,3.4,0.0654,0.9979,0.0,1.0
2024-03-01 00:16:00,medium_office,22.32,23.74,59.9,0.473,400.0,20.0,43.4,0.14,30.1,3.9,0.0698,0.9976,0.0,1.0
2024-03-01 00:17:00,medium_office,21.93,23.54,61.1,0.111,425.0,30.0,40.0,0.26,32.43,4.4,0.0741,0.9973,0.0,1.0
2024-03-01 00:18:00,medium_office,22.5,23.03,61.9,0.057,400.0,54.0,29.7,0.16,32.17,4.9,0.0785,0.9969,0.0,1.0
2024-03-01 00:19:00,medium_office,22.23,23.17,57.3,0.011,400.0,1.0,34.6,0.27,32.92,5.5,0.0828,0.9966,0.0,1.0
2024-03-01 00:20:00,medium_office,22.21,23.25,61.9,0.052,410.0,0.0,33.8,0.29,32.45,6.1,0.0872,0.9962,0.0,1.0
2024-03-01 00:21:00,medium_office,22.07,23.33,55.9,0.14,448.0,42.0,38.8,0.01,32.94,6.7,0.0915,0.9958,0.0,1.0
2024-03-01 00:22:00,medium_office,22.65,22.65,60.4,0.116,400.0,44.0,34.1,0.18,33.3,7.3,0.0958,0.9954,0.0,1.0
2024-03-01 00:23:00,medium_office,22.25,22.58,57.9,0.093,400.0,0.0,36.4,0.09,31.06,8.0,0.1002,0.995,0.0,1.0
2024-03-01 00:24:00,medium_office,22.19,22.85,57.1,0.307,408.0,0.0,28.0,0.26,33.42,8.7,0.1045,0.9945,0.0,1.0
2024-03-01 00:25:00,medium_office,22.22,22.83,60.2,0.095,400.0,40.0,30.5,0.15,32.17,9.5,0.1089,0.9941,0.0,1.0
2024-03-01 00:26:00,medium_office,22.5,22.97,60.9,0.029,400.0,0.0,41.3,0.02,33.12,10.3,0.1132,0.9936,0.0,1.0
2024-03-01 00:27:00,medium_office,22.46,23.49,60.8,0.054,400.0,0.0,35.2,0.06,33.66,11.1,0.1175,0.9931,0.0,1.0
2024-03-01 00:28:00,medium_office,22.49,23.18,59.4,0.233,400.0,0.0,32.0,0.2,33.69,11.9,0.1219,0.9925,0.0,1.0
2024-03-01 00:29:00,medium_office,22.51,23.33,59.3,0.01,400.0,3.0,35.7,0.02,32.82,12.7,0.1262,0.992,0.0,1.0
2024-03-01 00:30:00,medium_office,23.03,22.77,60.1,0.357,426.0,0.0,31.8,0.11,32.9,13.6,0.1305,0.9914,0.0,1.0
2024-03-01 00:31:00,medium_office,22.28,23.09,59.7,0.094,408.0,7.0,34.1,0.26,33.64,14.5,0.1349,0.9909,0.0,1.0
2024-03-01 00:32:00,medium_office,22.26,23.51,60.2,0.196,404.0,8.0,30.6,0.01,31.27,15.5,0.1392,0.9903,0.0,1.0
2024-03-01 00:33:00,medium_office,22.19,23.52,59.5,0.791,400.0,0.0,32.6,0.21,31.85,16.5,0.1435,0.9897,0.0,1.0
2024-03-01 00:34:00,medium_office,22.63,23.01,60.8,0.14,402.0,61.0,33.8,0.2,32.55,17.5,0.1478,0.989,0.0,1.0
2024-03-01 00:35:00,medium_office,22.8,23.37,55.9,0.082,415.0,13.0,38.4,0.1,31.53,18.5,0.1521,0.9884,0.0,1.0
2024-03-01 00:36:00,medium_office,22.44,24.19,58.9,0.006,400.0,34.0,36.4,0.03,32.61,19.6,0.1564,0.9877,0.0,1.0
2024-03-01 00:37:00,medium_office,22.23,23.31,56.4,0.087,413.0,0.0,36.9,0.03,32.59,20.7,0.1607,0.987,0.0,1.0
2024-03-01 00:38:00,medium_office,22.25,23.05,59.7,0.11,400.0,0.0,34.9,0.29,33.03,21.8,0.165,0.9863,0.0,1.0
2024-03-01 00:39:00,medium_office,22.7,23.27,62.5,0.062,403.0,14.0,37.5,0.2,32.91,22.9,0.1693,0.9856,0.0,1.0
2024-03-01 00:40:00,medium_office,22.74,23.38,58.3,0.151,434.0,56.0,32.4,0.11,34.07,24.1,0.1736,0.9848,0.0,1.0
2024-03-01 00:41:00,medium_office,22.7,23.3,59.5,0.011,437.0,0.0,32.8,0.25,33.6,25.3,0.1779,0.984,0.0,1.0
2024-03-01 00:42:00,medium_office,22.35,23.35,60.8,0.292,440.0,4.0,36.2,0.03,32.98,26.6,0.1822,0.9833,0.0,1.0
2024-03-01 00:43:00,medium_office,22.63,22.8,55.1,0.133,409.0,0.0,34.2,0.04,32.74,27.8,0.1865,0.9825,0.0,1.0
2024-03-01 00:44:00,medium_office,22.61,23.0,58.2,0.085,401.0,0.0,35.0,0.06,33.06,29.1,0.1908,0.9816,0.0,1.0
2024-03-01 00:45:00,medium_office,22.65,23.33,60.0,0.075,400.0,6.0,34.5,0.23,33.1,30.4,0.1951,0.9808,0.0,1.0
2024-03-01 00:46:00,medium_office,22.86,23.33,53.5,0.18,400.0,0.0,38.8,0.12,35.68,31.8,0.1994,0.9799,0.0,1.0
2024-03-01 00:47:00,medium_office,22.68,23.18,57.4,0.156,400.0,0.0,38.9,0.19,31.73,33.2,0.2036,0.979,0.0,1.0
2024-03-01 00:48:00,medium_office,22.83,23.35,61.6,0.012,400.0,0.0,33.1,0.07,32.28,34.6,0.2079,0.9781,0.0,1.0
2024-03-01 00:49:00,medium_office,22.66,23.45,61.4,0.184,400.0,0.0,29.7,0.23,32.16,36.0,0.2122,0.9772,0.0,1.0
2024-03-01 00:50:00,medium_office,22.74,23.79,60.1,0.011,442.0,14.0,32.9,0.24,33.53,37.5,0.2164,0.9763,0.0,1.0
2024-03-01 00:51:00,medium_office,22.85,23.4,61.2,0.077,439.0,18.0,32.3,0.12,33.52,39.0,0.2207,0.9753,0.0,1.0
2024-03-01 00:52:00,medium_office,22.24,23.61,59.8,0.064,400.0,18.0,37.5,0.06,32.74,40.5,0.225,0.9744,0.0,1.0
2024-03-01 00:53:00,medium_office,22.59,23.24,60.5,0.107,425.0,0.0,37.8,0.19,34.24,42.0,0.2292,0.9734,0.0,1.0
2024-03-01 00:54:00,medium_office,22.56,23.7,58.8,0.181,400.0,30.0,31.9,0.08,33.74,43.6,0.2334,0.9724,0.0,1.0
2024-03-01 00:55:00,medium_office,22.52,23.63,59.7,0.136,420.0,21.0,32.7,0.04,34.33,45.2,0.2377,0.9713,0.0,1.0
2024-03-01 00:56:00,medium_office,22.64,23.83,58.2,0.014,424.0,0.0,30.6,0.18,34.62,46.8,0.2419,0.9703,0.0,1.0
2024-03-01 00:57:00,medium_office,23.19,23.78,62.0,0.248,437.0,0.0,35.4,0.15,31.31,48.5,0.2462,0.9692,0.0,1.0
2024-03-01 00:58:00,medium_office,22.49,23.74,62.5,0.244,400.0,0.0,34.9,0.24,34.16,50.2,0.2504,0.9681,0.0,1.0
2024-03-01 00:59:00,medium_office,23.05,23.47,62.3,0.134,430.0,6.0,37.4,0.09,32.21,51.9,0.2546,0.967,0.0,1.0
2024-03-01 01:00:00,medium_office,22.27,23.62,58.7,0.036,400.0,49.0,36.5,0.07,33.77,53.6,0.2588,0.9659,0.0,1.0
2024-03-01 01:01:00,medium_office,22.69,23.95,57.6,0.032,439.0,34.0,36.8,0.19,33.47,55.3,0.263,0.9648,0.0,1.0
2024-03-01 01:02:00,medium_office,22.85,23.27,62.1,0.418,400.0,0.0,30.4,0.21,33.54,57.1,0.2672,0.9636,0.0,1.0
2024-03-01 01:03:00,medium_office,22.99,23.29,60.7,0.026,400.0,16.0,33.1,0.12,32.39,58.9,0.2714,0.9625,0.0,1.0
2024-03-01 01:04:00,medium_office,23.04,23.62,60.2,0.137,400.0,0.0,37.8,0.13,34.65,60.8,0.2756,0.9613,0.0,1.0
2024-03-01 01:05:00,medium_office,23.08,23.73,58.3,0.414,400.0,22.0,33.4,0.04,32.36,62.6,0.2798,0.96,0.0,1.0
2024-03-01 01:06:00,medium_office,22.75,23.24,60.5,0.051,441.0,0.0,30.1,0.14,34.42,64.5,0.284,0.9588,0.0,1.0
2024-03-01 01:07:00,medium_office,22.73,23.55,57.4,0.025,400.0,21.0,37.4,0.29,32.26,66.4,0.2882,0.9576,0.0,1.0
2024-03-01 01:08:00,medium_office,23.13,23.55,60.9,0.051,421.0,89.0,33.3,0.03,33.7,68.4,0.2924,0.9563,0.0,1.0
2024-03-01 01:09:00,medium_office,22.83,22.71,62.4,0.266,401.0,0.0,38.2,0.17,35.55,70.3,0.2965,0.955,0.0,1.0
2024-03-01 01:10:00,medium_office,22.52,23.51,62.9,0.315,432.0,88.0,34.9,0.01,36.13,72.3,0.3007,0.9537,0.0,1.0
2024-03-01 01:11:00,medium_office,22.57,23.55,61.1,0.073,406.0,15.0,34.2,0.1,32.17,74.4,0.3049,0.9524,0.0,1.0
2024-03-01 01:12:00,medium_office,22.65,23.55,56.9,0.115,400.0,0.0,39.1,0.23,33.11,76.4,0.309,0.9511,0.0,1.0
2024-03-01 01:13:00,medium_office,23.09,24.19,60.1,0.382,402.0,0.0,31.1,0.17,33.32,78.5,0.3132,0.9497,0.0,1.0
2024-03-01 01:14:00,medium_office,22.99,23.15,64.0,0.035,448.0,71.0,39.3,0.02,36.12,80.5,0.3173,0.9483,0.0,1.0
2024-03-01 01:15:00,medium_office,23.17,23.31,58.0,0.086,415.0,15.0,33.1,0.14,33.82,82.7,0.3214,0.9469,0.0,1.0
2024-03-01 01:16:00,medium_office,22.85,22.61,59.6,0.19,400.0,0.0,35.5,0.02,34.99,84.8,0.3256,0.9455,0.0,1.0
2024-03-01 01:17:00,medium_office,23.04,23.47,62.6,0.457,468.0,0.0,35.5,0.11,34.24,87.0,0.3297,0.9441,0.0,1.0
2024-03-01 01:18:00,medium_office,23.19,23.51,61.0,0.383,435.0,13.0,33.7,0.23,32.76,89.1,0.3338,0.9426,0.0,1.0
2024-03-01 01:19:00,medium_office,22.92,23.47,64.7,0.123,425.0,0.0,32.7,0.08,32.12,91.4,0.3379,0.9412,0.0,1.0
2024-03-01 01:20:00,medium_office,23.16,24.13,58.3,0.065,410.0,10.0,33.9,0.14,33.39,93.6,0.342,0.9397,0.0,1.0
2024-03-01 01:21:00,medium_office,22.84,24.04,57.8,0.181,422.0,53.0,32.0,0.15,36.35,95.8,0.3461,0.9382,0.0,1.0
2024-03-01 01:22:00,medium_office,22.94,23.73,62.2,0.022,423.0,0.0,40.9,0.26,34.31,98.1,0.3502,0.9367,0.0,1.0
2024-03-01 01:23:00,medium_office,22.95,23.56,57.4,0.74,400.0,19.0,33.6,0.04,35.13,100.4,0.3543,0.9351,0.0,1.0
2024-03-01 01:24:00,medium_office,22.72,24.13,59.4,0.046,412.0,0.0,38.5,0.17,32.68,102.7,0.3584,0.9336,0.0,1.0
2024-03-01 01:25:00,medium_office,23.23,23.72,59.7,0.12,400.0,0.0,38.1,0.01,33.79,105.1,0.3624,0.932,0.0,1.0
2024-03-01 01:26:00,medium_office,22.96,23.41,61.9,0.002,400.0,32.0,36.1,0.03,34.92,107.5,0.3665,0.9304,0.0,1.0
2024-03-01 01:27:00,medium_office,23.12,23.05,61.0,0.085,400.0,0.0,34.6,0.07,33.07,109.9,0.3706,0.9288,0.0,1.0
2024-03-01 01:28:00,medium_office,23.27,23.57,60.7,0.106,400.0,0.0,35.6,0.22,34.12,112.3,0.3746,0.9272,0.0,1.0
2024-03-01 01:29:00,medium_office,23.27,24.06,59.0,0.062,400.0,7.0,36.7,0.01,33.33,114.7,0.3786,0.9255,0.0,1.0
2024-03-01 01:30:00,medium_office,23.35,24.68,62.3,0.105,437.0,0.0,35.3,0.28,35.06,117.2,0.3827,0.9239,0.0,1.0
2024-03-01 01:31:00,medium_office,23.13,23.8,67.9,0.019,414.0,0.0,30.3,0.13,34.65,119.6,0.3867,0.9222,0.0,1.0
2024-03-01 01:32:00,medium_office,23.05,23.48,61.2,0.127,400.0,0.0,29.5,0.25,34.96,122.1,0.3907,0.9205,0.0,1.0
2024-03-01 01:33:00,medium_office,23.16,23.32,60.1,0.297,400.0,58.0,39.5,0.07,35.17,124.7,0.3947,0.9188,0.0,1.0
2024-03-01 01:34:00,medium_office,22.69,24.02,57.3,0.045,426.0,14.0,27.1,0.1,34.09,127.2,0.3987,0.9171,0.0,1.0
2024-03-01 01:35:00,medium_office,22.77,23.1,58.6,0.379,400.0,1.0,35.6,0.22,35.34,129.8,0.4027,0.9153,0.0,1.0
2024-03-01 01:36:00,medium_office,22.82,24.03,59.5,0.06,437.0,66.0,34.3,0.11,33.77,132.3,0.4067,0.9135,0.0,1.0
2024-03-01 01:37:00,medium_office,22.93,24.15,58.8,0.065,431.0,31.0,35.5,0.15,35.01,135.0,0.4107,0.9118,0.0,1.0
2024-03-01 01:38:00,medium_office,23.36,24.0,59.9,0.109,400.0,53.0,31.6,0.24,32.43,137.6,0.4147,0.91,0.0,1.0
2024-03-01 01:39:00,medium_office,22.98,23.75,63.5,0.092,400.0,0.0,36.1,0.2,33.68,140.2,0.4187,0.9081,0.0,1.0
2024-03-01 01:40:00,medium_office,23.15,24.07,62.4,0.122,400.0,0.0,35.6,0.25,36.76,142.9,0.4226,0.9063,0.0,1.0
2024-03-01 01:41:00,medium_office,23.67,23.92,59.6,0.291,400.0,19.0,43.3,0.03,35.07,145.6,0.4266,0.9045,0.0,1.0
2024-03-01 01:42:00,medium_office,23.18,23.55,57.5,0.266,400.0,12.0,35.4,0.18,35.1,148.3,0.4305,0.9026,0.0,1.0
2024-03-01 01:43:00,medium_office,23.52,24.61,62.6,0.042,400.0,37.0,39.0,0.18,33.68,151.0,0.4344,0.9007,0.0,1.0
2024-03-01 01:44:00,medium_office,23.04,23.74,59.8,0.081,400.0,0.0,30.5,0.18,33.43,153.7,0.4384,0.8988,0.0,1.0
2024-03-01 01:45:00,medium_office,23.27,24.19,56.5,0.308,408.0,21.0,38.1,0.18,34.28,156.5,0.4423,0.8969,0.0,1.0
2024-03-01 01:46:00,medium_office,23.05,22.92,61.4,0.009,431.0,30.0,35.7,0.22,34.5,159.3,0.4462,0.8949,0.0,1.0
2024-03-01 01:47:00,medium_office,23.25,24.41,62.0,0.027,415.0,28.0,35.8,0.25,36.5,162.1,0.4501,0.893,0.0,1.0
2024-03-01 01:48:00,medium_office,23.61,24.5,55.1,0.012,423.0,0.0,35.9,0.07,35.62,164.9,0.454,0.891,0.0,1.0
2024-03-01 01:49:00,medium_office,22.86,23.93,58.3,0.064,400.0,16.0,40.1,0.03,34.73,167.7,0.4579,0.889,0.0,1.0
2024-03-01 01:50:00,medium_office,23.52,24.15,59.7,0.068,418.0,0.0,35.8,0.02,34.71,170.6,0.4617,0.887,0.0,1.0
2024-03-01 01:51:00,medium_office,23.47,24.15,61.4,0.001,400.0,0.0,32.6,0.05,35.42,173.4,0.4656,0.885,0.0,1.0
2024-03-01 01:52:00,medium_office,23.23,23.68,58.9,0.167,400.0,0.0,33.2,0.2,33.36,176.3,0.4695,0.8829,0.0,1.0
2024-03-01 01:53:00,medium_office,22.99,24.17,58.3,0.353,457.0,0.0,37.5,0.12,32.78,179.2,0.4733,0.8809,0.0,1.0
2024-03-01 01:54:00,medium_office,23.45,23.63,61.4,0.087,400.0,0.0,36.3,0.1,35.46,182.1,0.4772,0.8788,0.0,1.0
2024-03-01 01:55:00,medium_office,23.28,23.72,59.0,0.025,400.0,0.0,30.4,0.27,34.81,185.1,0.481,0.8767,0.0,1.0
2024-03-01 01:56:00,medium_office,23.52,24.42,61.1,0.336,411.0,0.0,36.5,0.27,33.45,188.0,0.4848,0.8746,0.0,1.0
2024-03-01 01:57:00,medium_office,23.47,24.37,57.8,0.277,400.0,0.0,31.8,0.16,32.68,191.0,0.4886,0.8725,0.0,1.0
2024-03-01 01:58:00,medium_office,23.96,23.7,57.3,0.117,400.0,59.0,36.3,0.14,35.69,194.0,0.4924,0.8704,0.0,1.0
2024-03-01 01:59:00,medium_office,23.42,23.7,61.5,0.008,400.0,0.0,32.6,0.08,34.29,197.0,0.4962,0.8682,0.0,1.0
2024-03-01 02:00:00,medium_office,23.19,23.74,60.5,0.108,400.0,10.0,34.2,0.14,35.23,200.0,0.5,0.866,0.0,1.0
2024-03-01 02:01:00,medium_office,23.57,24.3,61.8,0.085,427.0,0.0,33.4,0.12,34.59,203.0,0.5038,0.8638,0.0,1.0
2024-03-01 02:02:00,medium_office,23.59,23.62,58.9,0.171,436.0,41.0,39.6,0.0,34.83,206.1,0.5075,0.8616,0.0,1.0
2024-03-01 02:03:00,medium_office,23.94,24.17,58.4,0.364,449.0,5.0,36.2,0.23,34.29,209.1,0.5113,0.8594,0.0,1.0
2024-03-01 02:04:00,medium_office,23.8,24.33,62.7,0.157,400.0,0.0,38.8,0.13,34.83,212.2,0.515,0.8572,0.0,1.0
2024-03-01 02:05:00,medium_office,23.66,24.0,57.0,0.301,400.0,0.0,43.7,0.07,35.5,215.3,0.5188,0.8549,0.0,1.0
2024-03-01 02:06:00,medium_office,24.01,24.45,62.5,0.311,400.0,26.0,35.1,0.2,34.66,218.4,0.5225,0.8526,0.0,1.0
2024-03-01 02:07:00,medium_office,23.22,23.93,62.6,0.181,439.0,0.0,39.5,0.13,34.62,221.5,0.5262,0.8504,0.0,1.0
2024-03-01 02:08:00,medium_office,23.4,23.97,61.7,0.131,413.0,0.0,32.9,0.09,35.58,224.7,0.5299,0.848,0.0,1.0
2024-03-01 02:09:00,medium_office,23.32,23.68,58.6,0.001,402.0,0.0,38.8,0.07,35.66,227.8,0.5336,0.8457,0.0,1.0
2024-03-01 02:10:00,medium_office,23.49,24.48,58.4,0.097,407.0,0.0,32.6,0.02,33.87,231.0,0.5373,0.8434,0.0,1.0
2024-03-01 02:11:00,medium_office,23.21,23.78,59.6,0.035,400.0,75.0,34.9,0.15,34.99,234.1,0.541,0.841,0.0,1.0
2024-03-01 02:12:00,medium_office,23.82,24.23,57.4,0.062,400.0,0.0,36.6,0.11,34.52,237.3,0.5446,0.8387,0.0,1.0
2024-03-01 02:13:00,medium_office,23.58,24.07,58.1,0.043,415.0,30.0,37.1,0.01,35.07,240.5,0.5483,0.8363,0.0,1.0
2024-03-01 02:14:00,medium_office,23.21,23.68,61.3,0.264,400.0,54.0,31.2,0.24,36.51,243.7,0.5519,0.8339,0.0,1.0
2024-03-01 02:15:00,medium_office,23.36,23.87,61.3,0.001,400.0,20.0,32.4,0.24,35.45,246.9,0.5556,0.8315,0.0,1.0
2024-03-01 02:16:00,medium_office,23.77,24.67,57.9,0.134,417.0,0.0,36.8,0.15,37.27,250.2,0.5592,0.829,0.0,1.0
2024-03-01 02:17:00,medium_office,23.94,24.21,61.3,0.004,400.0,0.0,33.9,0.25,35.34,253.4,0.5628,0.8266,0.0,1.0
2024-03-01 02:18:00,medium_office,24.3,23.73,60.9,0.345,407.0,22.0,30.8,0.14,34.97,256.7,0.5664,0.8241,0.0,1.0
2024-03-01 02:19:00,medium_office,24.58,24.26,63.0,0.659,400.0,49.0,34.8,0.05,35.13,259.9,0.57,0.8216,0.0,1.0
2024-03-01 02:20:00,medium_office,23.85,24.09,61.1,0.073,427.0,16.0,34.6,0.16,35.31,263.2,0.5736,0.8192,0.0,1.0
2024-03-01 02:21:00,medium_office,23.43,25.54,62.1,0.515,407.0,37.0,35.5,0.09,35.51,266.5,0.5771,0.8166,0.0,1.0
2024-03-01 02:22:00,medium_office,23.1,24.28,60.9,0.003,400.0,78.0,36.6,0.14,34.21,269.8,0.5807,0.8141,0.0,1.0
2024-03-01 02:23:00,medium_office,23.83,24.02,61.9,0.223,410.0,25.0,36.4,0.29,34.98,273.1,0.5842,0.8116,0.0,1.0
2024-03-01 02:24:00,medium_office,23.52,24.74,57.4,0.199,411.0,0.0,32.7,0.11,34.51,276.4,0.5878,0.809,0.0,1.0
2024-03-01 02:25:00,medium_office,23.65,23.45,59.7,0.373,415.0,2.0,33.8,0.06,36.27,279.7,0.5913,0.8064,0.0,1.0
2024-03-01 02:26:00,medium_office,23.6,24.23,59.9,0.013,431.0,41.0,37.8,0.04,33.33,283.1,0.5948,0.8039,0.0,1.0
2024-03-01 02:27:00,medium_office,23.75,24.99,59.5,0.005,400.0,0.0,33.4,0.27,35.43,286.4,0.5983,0.8013,0.0,1.0
2024-03-01 02:28:00,medium_office,24.13,24.16,60.9,0.325,420.0,45.0,33.8,0.0,33.77,289.7,0.6018,0.7986,0.0,1.0
2024-03-01 02:29:00,medium_office,23.86,23.52,61.2,0.051,400.0,0.0,30.5,0.27,35.73,293.1,0.6053,0.796,0.0,1.0
2024-03-01 02:30:00,medium_office,23.78,24.06,60.7,0.49,400.0,10.0,34.9,0.02,34.92,296.5,0.6088,0.7934,0.0,1.0
2024-03-01 02:31:00,medium_office,23.53,24.81,59.6,0.369,400.0,0.0,36.0,0.23,33.51,299.8,0.6122,0.7907,0.0,1.0
2024-03-01 02:32:00,medium_office,23.34,24.38,58.5,0.044,443.0,5.0,29.1,0.09,36.29,303.2,0.6157,0.788,0.0,1.0
2024-03-01 02:33:00,medium_office,23.71,23.9,62.1,0.199,400.0,6.0,31.8,0.07,32.84,306.6,0.6191,0.7853,0.0,1.0
2024-03-01 02:34:00,medium_office,23.85,23.97,60.6,0.027,418.0,0.0,30.7,0.05,35.34,310.0,0.6225,0.7826,0.0,1.0
2024-03-01 02:35:00,medium_office,24.41,24.03,57.9,0.032,400.0,0.0,37.4,0.04,36.08,313.4,0.6259,0.7799,0.0,1.0
2024-03-01 02:36:00,medium_office,23.93,24.4,59.6,0.549,400.0,0.0,29.3,0.02,36.78,316.8,0.6293,0.7771,0.0,1.0
2024-03-01 02:37:00,medium_office,24.19,24.8,56.4,0.21,400.0,0.0,34.8,0.05,33.8,320.3,0.6327,0.7744,0.0,1.0
2024-03-01 02:38:00,medium_office,23.76,24.69,60.0,0.377,474.0,0.0,37.2,0.18,34.91,323.7,0.6361,0.7716,0.0,1.0
2024-03-01 02:39:00,medium_office,23.56,24.46,59.5,0.059,400.0,30.0,35.6,0.17,36.52,327.1,0.6394,0.7688,0.0,1.0
2024-03-01 02:40:00,medium_office,23.64,23.75,58.8,0.113,402.0,31.0,33.7,0.08,36.6,330.5,0.6428,0.766,0.0,1.0
2024-03-01 02:41:00,medium_office,23.72,23.76,63.1,0.168,404.0,17.0,36.0,0.2,36.74,334.0,0.6461,0.7632,0.0,1.0
2024-03-01 02:42:00,medium_office,24.59,24.51,57.6,0.141,400.0,0.0,38.1,0.23,38.04,337.4,0.6494,0.7604,0.0,1.0
2024-03-01 02:43:00,medium_office,23.71,23.77,61.3,0.256,400.0,0.0,34.7,0.29,34.98,340.9,0.6528,0.7576,0.0,1.0
2024-03-01 02:44:00,medium_office,24.22,24.22,64.3,0.074,412.0,0.0,28.3,0.13,35.87,344.3,0.6561,0.7547,0.0,1.0
2024-03-01 02:45:00,medium_office,23.71,24.44,62.0,0.377,403.0,0.0,38.4,0.11,35.17,347.8,0.6593,0.7518,0.0,1.0
2024-03-01 02:46:00,medium_office,24.27,23.87,59.8,0.057,400.0,19.0,36.2,0.29,33.55,351.3,0.6626,0.749,0.0,1.0
2024-03-01 02:47:00,medium_office,24.11,23.92,57.6,0.075,400.0,30.0,34.9,0.28,35.45,354.7,0.6659,0.7461,0.0,1.0
2024-03-01 02:48:00,medium_office,23.96,24.3,57.1,0.304,431.0,14.0,29.1,0.28,33.55,358.2,0.6691,0.7431,0.0,1.0
2024-03-01 02:49:00,medium_office,24.0,24.55,59.0,0.086,418.0,38.0,34.1,0.18,35.04,361.7,0.6724,0.7402,0.0,1.0
2024-03-01 02:50:00,medium_office,23.83,24.78,58.5,0.144,437.0,8.0,32.4,0.19,34.1,365.1,0.6756,0.7373,0.0,1.0
2024-03-01 02:51:00,medium_office,24.17,24.6,58.4,0.134,400.0,0.0,31.4,0.28,36.02,368.6,0.6788,0.7343,0.0,1.0
2024-03-01 02:52:00,medium_office,23.91,24.39,59.2,0.045,438.0,26.0,34.6,0.14,34.81,372.1,0.682,0.7314,0.0,1.0
2024-03-01 02:53:00,medium_office,23.69,24.07,59.6,0.017,400.0,27.0,33.4,0.06,33.82,375.6,0.6852,0.7284,0.0,1.0
