hour,day,hour_of_day,T_supply_zone1,T_supply_zone2,T_supply_zone3,blind_east,blind_west,lighting_lux,energy_kWh,comfort_class,kappa_SNN
0,0,0,21.9,22.6,22.0,0.34,0.7,307.0,0.1483,4,0.731
1,0,1,22.0,22.3,22.3,0.11,0.62,656.0,0.1499,1,0.785
2,0,2,22.3,22.5,22.0,0.08,0.38,532.0,0.1021,2,0.757
3,0,3,22.1,22.0,22.9,0.21,0.15,672.0,0.0992,2,0.679
4,0,4,22.2,21.9,23.0,0.32,0.38,515.0,0.116,2,0.868
5,0,5,22.3,22.4,22.9,0.21,0.02,322.0,0.1085,2,0.923
6,0,6,21.8,21.9,21.0,0.32,0.57,648.0,0.1231,3,0.859
7,0,7,21.9,21.5,22.3,0.31,0.62,682.0,0.1485,4,0.939
8,0,8,21.9,22.2,21.6,0.15,0.5,437.0,0.0886,2,0.964
9,0,9,22.1,21.7,22.3,0.09,0.31,720.0,0.1003,2,0.932
10,0,10,22.3,22.4,22.4,0.16,0.8,413.0,0.1265,2,0.84
11,0,11,21.9,21.9,22.2,0.84,0.8,407.0,0.1428,2,0.904
12,0,12,22.1,21.9,22.2,0.07,0.56,657.0,0.0743,2,0.856
13,0,13,22.6,22.3,22.6,0.77,0.07,515.0,0.0535,2,0.763
14,0,14,22.8,23.1,23.1,0.96,0.77,728.0,0.0678,2,0.712
15,0,15,22.0,22.7,21.9,0.68,0.01,675.0,0.0749,2,0.979
16,0,16,22.6,21.9,22.8,0.66,0.89,526.0,0.0846,2,0.91
17,0,17,22.5,22.7,22.1,0.61,0.13,674.0,0.1426,1,0.684
18,0,18,22.5,22.3,22.6,0.27,0.32,565.0,0.0947,2,0.79
19,0,19,22.2,22.4,22.1,0.86,0.05,375.0,0.1344,2,0.882
20,0,20,22.4,22.8,22.3,0.53,0.03,459.0,0.0797,2,0.945
21,0,21,22.5,22.4,22.2,0.08,0.57,719.0,0.1195,2,0.776
22,0,22,22.3,22.7,22.1,0.2,0.78,425.0,0.1005,2,0.764
23,0,23,21.9,22.0,21.8,0.65,0.35,655.0,0.1255,2,0.753
24,1,0,22.0,22.2,22.2,0.86,0.65,544.0,0.1149,3,0.892
25,1,1,21.7,21.9,22.0,0.19,0.65,373.0,0.063,2,0.711
26,1,2,21.3,21.8,20.8,0.61,0.11,317.0,0.0861,3,0.8
27,1,3,21.0,20.6,20.5,0.15,0.79,632.0,0.0673,1,0.863
28,1,4,20.9,20.4,20.4,0.27,0.64,499.0,0.1195,1,0.868
29,1,5,21.1,20.7,22.0,0.65,0.72,508.0,0.0628,2,0.685
30,1,6,21.4,21.8,21.7,0.45,0.21,395.0,0.1353,2,0.81
31,1,7,20.9,21.1,21.4,0.01,0.78,542.0,0.1472,2,0.783
32,1,8,20.6,20.5,21.3,0.68,0.75,681.0,0.1047,2,0.712
33,1,9,20.4,21.1,20.8,0.38,0.17,472.0,0.1377,3,0.885
34,1,10,20.8,21.0,20.9,0.65,0.98,616.0,0.0609,2,0.877
35,1,11,20.9,20.8,20.2,0.64,0.77,695.0,0.1437,0,0.651
36,1,12,20.1,20.4,20.2,0.31,0.84,734.0,0.1047,2,0.81
37,1,13,20.0,20.1,19.8,0.67,0.62,634.0,0.1095,1,0.902
38,1,14,20.1,20.1,19.7,0.93,0.86,422.0,0.1352,3,0.895
39,1,15,20.4,21.0,19.6,0.13,0.76,501.0,0.0645,2,0.758
40,1,16,19.8,20.1,19.8,0.43,0.56,445.0,0.0887,3,0.804
41,1,17,19.4,18.5,20.2,0.08,0.48,746.0,0.0749,2,0.875
42,1,18,19.4,20.1,18.3,0.36,0.79,565.0,0.1026,2,0.743
43,1,19,18.8,19.0,19.7,0.13,0.12,572.0,0.1488,0,0.675
