day_of_week,hour,zone,occupied,n_occupants,CO2_ppm
0,0,1,1,0,394.0
0,0,2,1,0,403.0
0,0,3,0,0,401.0
0,0,4,0,0,398.0
0,0,5,0,0,396.0
0,0,6,0,0,408.0
0,0,7,0,0,396.0
0,0,8,0,0,397.0
0,1,1,0,0,404.0
0,1,2,0,0,405.0
0,1,3,0,0,395.0
0,1,4,0,0,396.0
0,1,5,0,0,414.0
0,1,6,0,0,389.0
0,1,7,0,0,401.0
0,1,8,0,0,417.0
0,2,1,0,0,397.0
0,2,2,0,0,393.0
0,2,3,1,0,426.0
0,2,4,0,0,393.0
0,2,5,0,0,393.0
0,2,6,0,0,399.0
0,2,7,0,0,396.0
0,2,8,0,0,390.0
0,3,1,0,0,407.0
0,3,2,0,0,399.0
0,3,3,0,0,399.0
0,3,4,0,0,406.0
0,3,5,0,0,407.0
0,3,6,0,0,401.0
0,3,7,0,0,411.0
0,3,8,0,0,408.0
0,4,1,0,0,389.0
0,4,2,0,0,418.0
0,4,3,0,0,403.0
0,4,4,0,0,402.0
0,4,5,0,0,388.0
0,4,6,1,0,390.0
0,4,7,0,0,407.0
0,4,8,0,0,408.0
0,5,1,0,0,416.0
0,5,2,0,0,393.0
0,5,3,0,0,409.0
0,5,4,0,0,396.0
0,5,5,0,0,399.0
0,5,6,0,0,405.0
0,5,7,0,0,391.0
0,5,8,0,0,377.0
0,6,1,0,0,392.0
0,6,2,0,0,392.0
0,6,3,0,0,403.0
0,6,4,0,0,396.0
0,6,5,0,0,404.0
0,6,6,0,0,402.0
0,6,7,0,0,411.0
0,6,8,0,0,403.0
0,7,1,0,0,397.0
0,7,2,0,0,428.0
0,7,3,1,0,404.0
0,7,4,0,0,387.0
0,7,5,1,0,389.0
0,7,6,0,0,407.0
0,7,7,0,0,407.0
0,7,8,0,0,406.0
0,8,1,0,0,393.0
0,8,2,1,4,639.0
0,8,3,1,5,705.0
0,8,4,1,3,587.0
0,8,5,0,0,377.0
0,8,6,1,3,587.0
0,8,7,1,6,762.0
0,8,8,1,4,630.0
0,9,1,0,0,389.0
0,9,2,1,7,814.0
0,9,3,1,8,873.0
0,9,4,1,6,758.0
0,9,5,1,5,715.0
0,9,6,1,7,800.0
0,9,7,1,1,453.0
0,9,8,1,6,763.0
0,10,1,0,0,409.0
0,10,2,0,0,405.0
0,10,3,1,6,758.0
0,10,4,0,0,396.0
0,10,5,0,0,381.0
0,10,6,0,0,395.0
0,10,7,1,1,457.0
0,10,8,1,5,689.0
0,11,1,1,4,648.0
0,11,2,0,0,391.0
0,11,3,1,4,647.0
0,11,4,1,5,694.0
0,11,5,1,4,641.0
0,11,6,1,4,653.0
0,11,7,1,6,779.0
0,11,8,1,3,581.0
0,12,1,0,0,416.0
0,12,2,1,5,689.0
0,12,3,0,0,392.0
0,12,4,1,1,444.0
0,12,5,1,3,584.0
0,12,6,1,13,1182.0
0,12,7,1,6,764.0
0,12,8,1,1,454.0
0,13,1,1,3,566.0
0,13,2,1,3,568.0
0,13,3,1,5,711.0
0,13,4,1,3,577.0
0,13,5,1,5,677.0
0,13,6,1,6,765.0
0,13,7,1,1,469.0
0,13,8,1,3,562.0
0,14,1,1,10,1004.0
0,14,2,1,5,704.0
0,14,3,0,0,413.0
0,14,4,1,8,871.0
0,14,5,1,5,700.0
0,14,6,1,6,759.0
0,14,7,1,3,576.0
0,14,8,1,11,1062.0
0,15,1,1,2,513.0
0,15,2,1,6,740.0
0,15,3,1,5,706.0
0,15,4,1,2,522.0
0,15,5,1,10,1003.0
0,15,6,1,6,752.0
0,15,7,1,1,470.0
0,15,8,1,4,628.0
0,16,1,1,4,646.0
0,16,2,0,0,415.0
0,16,3,1,8,870.0
0,16,4,0,0,401.0
0,16,5,1,5,712.0
0,16,6,1,4,656.0
0,16,7,1,10,998.0
0,16,8,1,4,632.0
0,17,1,1,2,517.0
0,17,2,1,6,734.0
0,17,3,1,3,586.0
0,17,4,1,6,773.0
0,17,5,1,5,696.0
0,17,6,0,0,398.0
0,17,7,1,4,657.0
0,17,8,1,4,636.0
0,18,1,1,5,694.0
0,18,2,0,0,410.0
0,18,3,1,7,816.0
0,18,4,0,0,400.0
0,18,5,1,8,880.0
0,18,6,1,3,583.0
0,18,7,0,0,409.0
0,18,8,1,2,514.0
0,19,1,0,0,404.0
0,19,2,0,0,368.0
