hour,day,hour_of_day,T_supply_zone1,T_supply_zone2,T_supply_zone3,blind_east,blind_west,lighting_lux,energy_kWh,comfort_class,kappa_SNN
0,0,0,22.5,22.6,22.0,0.67,0.35,481.0,0.0975,2,0.8
1,0,1,22.7,22.4,22.8,0.27,0.87,637.0,0.0899,2,0.724
2,0,2,22.5,22.7,21.7,0.42,0.18,402.0,0.1096,2,0.957
3,0,3,22.9,23.5,23.5,0.47,0.96,395.0,0.1259,2,0.72
4,0,4,23.4,23.7,23.4,0.11,0.29,347.0,0.0904,2,0.78
5,0,5,24.4,23.7,24.7,0.4,0.06,558.0,0.1069,2,0.662
6,0,6,24.7,25.0,24.6,0.81,0.87,421.0,0.1174,0,0.894
7,0,7,24.8,24.8,25.4,0.61,0.83,525.0,0.1234,1,0.892
8,0,8,24.7,24.1,24.3,0.25,0.48,484.0,0.1495,4,0.88
9,0,9,25.0,25.2,24.9,0.37,0.71,436.0,0.1456,2,0.751
10,0,10,25.0,25.0,25.2,0.25,0.91,333.0,0.1384,3,0.96
11,0,11,25.0,24.8,25.4,0.5,0.07,427.0,0.0704,2,0.937
12,0,12,24.6,25.0,24.5,0.04,0.45,545.0,0.0594,2,0.898
13,0,13,25.0,24.4,24.8,0.84,0.24,373.0,0.1353,2,0.912
14,0,14,25.0,25.1,24.6,0.7,0.66,383.0,0.0605,2,0.785
15,0,15,25.0,24.4,25.6,0.3,0.89,702.0,0.1352,2,0.788
16,0,16,24.9,25.0,25.2,0.25,0.03,409.0,0.0571,2,0.925
17,0,17,24.9,25.4,25.5,0.05,0.27,453.0,0.1367,4,0.765
18,0,18,25.0,25.5,26.0,0.43,0.28,722.0,0.0514,2,0.872
19,0,19,24.8,24.5,25.0,0.06,0.64,486.0,0.0625,2,0.77
20,0,20,25.0,25.0,25.1,0.29,0.27,347.0,0.0964,2,0.764
21,0,21,24.7,24.9,24.7,0.19,0.87,469.0,0.0618,3,0.744
22,0,22,25.0,26.0,25.0,0.23,0.81,383.0,0.0764,1,0.662
23,0,23,24.8,24.6,25.0,0.18,0.18,630.0,0.1307,2,0.925
24,1,0,24.7,24.6,25.0,0.76,0.26,402.0,0.1194,3,0.85
25,1,1,24.6,24.4,24.3,0.84,0.9,374.0,0.0692,3,0.904
26,1,2,24.9,24.9,25.0,0.13,0.71,427.0,0.1328,0,0.909
27,1,3,24.9,24.2,24.5,0.46,0.91,327.0,0.0743,2,0.805
28,1,4,24.7,24.4,24.2,0.01,0.04,503.0,0.1374,2,0.787
29,1,5,24.2,24.7,24.2,0.54,0.81,742.0,0.1319,2,0.712
30,1,6,24.7,24.3,24.9,0.06,0.77,378.0,0.1286,3,0.753
31,1,7,25.0,24.9,25.0,0.28,0.68,549.0,0.0856,2,0.806
32,1,8,25.0,24.8,25.0,0.83,0.65,301.0,0.0986,2,0.794
33,1,9,25.0,25.6,24.7,0.26,0.02,453.0,0.1238,4,0.673
34,1,10,25.0,25.8,24.3,1.0,0.61,348.0,0.0943,1,0.668
35,1,11,24.8,25.4,24.5,0.11,0.84,380.0,0.1105,1,0.809
36,1,12,24.9,25.6,24.8,0.17,0.23,399.0,0.0534,3,0.764
37,1,13,24.7,24.7,23.9,0.7,0.34,511.0,0.0779,2,0.84
38,1,14,24.5,24.5,24.9,0.86,0.2,528.0,0.057,0,0.807
39,1,15,24.4,24.3,25.0,0.36,0.32,345.0,0.1257,3,0.931
40,1,16,24.9,24.8,24.7,0.7,0.82,378.0,0.1025,2,0.651
41,1,17,24.8,25.2,24.5,0.5,0.43,459.0,0.0977,3,0.72
42,1,18,24.2,24.3,24.4,0.92,0.59,627.0,0.0845,3,0.683
43,1,19,24.0,24.4,24.4,0.23,0.44,370.0,0.1372,0,0.753
44,1,20,24.0,23.3,23.8,0.04,0.9,642.0,0.0501,2,0.942
45,1,21,23.8,23.4,23.3,0.92,0.28,391.0,0.0748,2,0.793
46,1,22,24.2,24.0,24.3,0.31,0.26,405.0,0.0927,0,0.937
47,1,23,24.3,24.7,24.4,0.95,0.43,499.0,0.0973,4,0.759
48,2,0,24.3,24.2,24.6,0.63,0.98,548.0,0.1098,2,0.743
49,2,1,24.0,23.9,24.3,0.72,0.85,615.0,0.1464,2,0.766
50,2,2,23.8,23.9,23.8,0.41,0.94,711.0,0.1305,0,0.761
51,2,3,23.5,23.1,22.9,0.34,0.9,382.0,0.1256,2,0.709
52,2,4,23.3,23.9,22.9,0.37,0.41,499.0,0.1115,2,0.859
53,2,5,23.3,22.9,23.4,0.3,0.65,496.0,0.1343,2,0.729
54,2,6,23.5,23.8,23.2,0.37,0.46,357.0,0.1328,2,0.778
55,2,7,23.9,23.7,23.6,0.94,0.67,342.0,0.0878,2,0.692
56,2,8,24.4,24.3,24.7,0.09,0.63,734.0,0.0993,0,0.806
57,2,9,24.6,24.3,25.0,0.4,0.98,723.0,0.1099,2,0.716
58,2,10,24.6,24.6,25.2,0.32,0.18,401.0,0.1227,2,0.833
59,2,11,24.6,24.5,24.7,0.13,0.53,573.0,0.1447,3,0.729
60,2,12,24.2,23.9,24.0,0.0,0.5,609.0,0.0643,0,0.785
61,2,13,24.4,24.1,24.6,0.41,0.58,302.0,0.109,2,0.764
62,2,14,24.4,24.4,24.8,0.33,0.44,664.0,0.0508,1,0.836
63,2,15,24.3,24.5,23.8,0.96,0.99,620.0,0.1171,2,0.841
64,2,16,24.2,24.2,25.3,0.96,0.25,456.0,0.0921,4,0.917
65,2,17,24.3,24.1,24.2,0.09,0.3,372.0,0.0503,2,0.721
66,2,18,24.1,24.0,23.7,0.39,0.66,744.0,0.1146,2,0.719
