timestamp_s,T_drybulb_C,RH_pct,CO2_ppm,illuminance_lux,occupancy,window_open,blind_angle_east,blind_angle_west,hvac_valve_pos,air_velocity_ms,globe_T_C,mean_rad_T_C,operative_T_C,comfort_class_int,comfort_class_str
0,18.4,61.9,400.0,20,0,1,0.13,0.81,0.19,0.319,18.9,19.94,17.86,2,Neutral
1,18.8,61.7,400.0,20,0,0,0.45,0.9,0.06,0.304,17.98,18.47,18.82,0,Cold
2,19.53,57.8,400.0,20,0,1,0.49,0.51,0.96,0.128,19.84,19.45,19.62,2,Neutral
3,27.06,34.0,569.0,578.0,1,0,0.28,0.19,0.36,0.391,27.17,26.25,27.3,0,Cold
4,25.93,57.6,400.0,20,0,0,0.7,0.13,0.49,0.092,25.54,26.12,25.52,2,Neutral
5,22.69,47.1,708.0,621.0,1,0,0.11,0.41,0.25,0.312,23.0,22.76,22.26,0,Cold
6,26.17,39.1,500.0,427.0,1,0,0.27,0.2,0.42,0.178,27.06,26.69,26.41,3,Warm
7,22.32,57.5,495.0,286.0,1,0,0.97,1.0,0.95,0.381,22.8,21.61,22.82,2,Neutral
8,22.82,49.2,611.0,358.0,1,0,0.79,0.08,0.1,0.386,22.09,24.1,22.69,2,Neutral
9,22.22,33.3,400.0,20,0,1,0.33,0.97,0.92,0.326,22.54,22.52,22.1,2,Neutral
10,27.18,59.0,753.0,217.0,1,1,0.29,0.76,0.24,0.261,27.45,27.66,27.21,2,Neutral
11,19.3,45.7,400.0,20,0,0,0.24,0.88,0.12,0.196,19.33,18.36,19.87,2,Neutral
12,19.2,30.5,549.0,561.0,1,1,0.41,0.91,0.27,0.221,18.86,19.02,19.29,2,Neutral
13,26.25,41.7,720.0,521.0,1,0,0.05,0.73,0.84,0.1,26.5,24.97,26.39,3,Warm
14,18.76,31.2,400.0,20,0,0,0.19,0.82,0.36,0.127,19.4,18.12,18.96,1,Cool
15,24.0,42.1,400.0,20,0,0,0.97,0.07,0.25,0.432,24.35,24.08,23.77,2,Neutral
16,25.12,49.2,747.0,274.0,1,0,0.73,0.03,0.76,0.358,24.78,25.91,25.61,2,Neutral
