timestamp,building,air_temp,radiant_temp,humidity,air_speed,co2_ppm,lux,sound_db,occupancy,outdoor_temp,solar_rad,time_of_day_sin,time_of_day_cos,day_of_week_sin,day_of_week_cos
2024-03-01 00:00:00,residential,22.35,22.95,57.0,0.392,404.0,0.0,34.6,0.23,29.8,0.0,0.0,1.0,0.0,1.0
2024-03-01 00:01:00,residential,21.58,23.08,62.9,0.116,400.0,2.0,32.8,0.21,33.03,0.0,0.0044,1.0,0.0,1.0
2024-03-01 00:02:00,residential,21.13,23.22,58.3,0.155,448.0,0.0,33.1,0.1,35.04,0.1,0.0087,1.0,0.0,1.0
2024-03-01 00:03:00,residential,22.29,23.0,59.2,0.203,400.0,0.0,35.5,0.17,31.12,0.1,0.0131,0.9999,0.0,1.0
2024-03-01 00:04:00,residential,22.34,22.68,60.1,0.053,443.0,56.0,31.8,0.24,31.5,0.2,0.0175,0.9998,0.0,1.0
2024-03-01 00:05:00,residential,21.53,23.08,57.2,0.014,403.0,0.0,34.9,0.15,31.3,0.4,0.0218,0.9998,0.0,1.0
2024-03-01 00:06:00,residential,22.04,23.32,60.7,0.011,401.0,2.0,35.1,0.12,31.07,0.5,0.0262,0.9997,0.0,1.0
2024-03-01 00:07:00,residential,22.55,22.53,59.3,0.115,416.0,52.0,35.5,0.03,34.18,0.7,0.0305,0.9995,0.0,1.0
2024-03-01 00:08:00,residential,21.78,22.54,60.1,0.247,415.0,21.0,33.4,0.16,31.9,1.0,0.0349,0.9994,0.0,1.0
2024-03-01 00:09:00,residential,22.15,22.81,57.2,0.002,400.0,9.0,36.8,0.21,32.94,1.2,0.0393,0.9992,0.0,1.0
2024-03-01 00:10:00,residential,22.28,23.01,59.5,0.012,417.0,0.0,37.9,0.11,33.45,1.5,0.0436,0.999,0.0,1.0
2024-03-01 00:11:00,residential,21.72,22.22,58.6,0.025,421.0,0.0,36.9,0.23,33.35,1.8,0.048,0.9988,0.0,1.0
2024-03-01 00:12:00,residential,21.99,23.33,60.9,0.609,450.0,0.0,35.6,0.3,33.45,2.2,0.0523,0.9986,0.0,1.0
2024-03-01 00:13:00,residential,21.66,23.04,57.6,0.148,402.0,10.0,30.7,0.06,31.05,2.6,0.0567,0.9984,0.0,1.0
2024-03-01 00:14:00,residential,22.13,22.18,62.8,0.069,400.0,38.0,40.0,0.19,33.3,3.0,0.061,0.9981,0.0,1.0
2024-03-01 00:15:00,residential,21.96,22.69,59.4,0.2,400.0,4.0,35.2,0.1,32.04,3.4,0.0654,0.9979,0.0,1.0
2024-03-01 00:16:00,residential,22.27,23.02,58.5,0.06,471.0,0.0,35.9,0.07,34.09,3.9,0.0698,0.9976,0.0,1.0
2024-03-01 00:17:00,residential,22.41,22.44,58.3,0.056,400.0,0.0,32.9,0.17,31.6,4.4,0.0741,0.9973,0.0,1.0
2024-03-01 00:18:00,residential,22.65,23.55,58.8,0.08,400.0,16.0,34.4,0.12,31.31,4.9,0.0785,0.9969,0.0,1.0
2024-03-01 00:19:00,residential,22.95,23.24,57.6,0.124,401.0,10.0,38.5,0.19,32.49,5.5,0.0828,0.9966,0.0,1.0
2024-03-01 00:20:00,residential,22.32,23.45,60.2,0.002,400.0,0.0,37.3,0.2,33.16,6.1,0.0872,0.9962,0.0,1.0
2024-03-01 00:21:00,residential,22.18,22.77,58.8,0.0,425.0,0.0,34.1,0.12,30.75,6.7,0.0915,0.9958,0.0,1.0
2024-03-01 00:22:00,residential,22.18,23.36,62.8,0.387,422.0,32.0,39.6,0.0,32.16,7.3,0.0958,0.9954,0.0,1.0
2024-03-01 00:23:00,residential,22.01,22.94,58.0,0.011,400.0,0.0,32.0,0.27,31.5,8.0,0.1002,0.995,0.0,1.0
2024-03-01 00:24:00,residential,22.45,23.13,58.7,0.12,445.0,7.0,30.0,0.29,33.55,8.7,0.1045,0.9945,0.0,1.0
2024-03-01 00:25:00,residential,22.18,23.36,58.1,0.09,400.0,0.0,29.2,0.08,32.09,9.5,0.1089,0.9941,0.0,1.0
2024-03-01 00:26:00,residential,22.5,23.2,62.7,0.08,400.0,0.0,37.4,0.26,33.81,10.3,0.1132,0.9936,0.0,1.0
2024-03-01 00:27:00,residential,22.07,23.56,56.1,0.473,447.0,15.0,32.9,0.27,31.99,11.1,0.1175,0.9931,0.0,1.0
2024-03-01 00:28:00,residential,22.23,23.3,59.2,0.609,400.0,0.0,34.6,0.07,33.04,11.9,0.1219,0.9925,0.0,1.0
2024-03-01 00:29:00,residential,22.51,23.07,59.7,0.026,410.0,0.0,38.3,0.15,31.38,12.7,0.1262,0.992,0.0,1.0
2024-03-01 00:30:00,residential,22.35,23.6,56.8,0.115,447.0,45.0,36.0,0.02,32.68,13.6,0.1305,0.9914,0.0,1.0
2024-03-01 00:31:00,residential,21.83,23.69,64.4,0.556,400.0,25.0,31.4,0.13,31.73,14.5,0.1349,0.9909,0.0,1.0
2024-03-01 00:32:00,residential,22.41,23.31,57.2,0.016,400.0,13.0,39.9,0.09,34.38,15.5,0.1392,0.9903,0.0,1.0
2024-03-01 00:33:00,residential,22.19,23.82,59.2,0.24,428.0,0.0,34.1,0.05,33.95,16.5,0.1435,0.9897,0.0,1.0
2024-03-01 00:34:00,residential,22.8,23.2,62.5,0.003,400.0,7.0,34.8,0.17,33.12,17.5,0.1478,0.989,0.0,1.0
2024-03-01 00:35:00,residential,22.75,23.25,58.4,0.085,402.0,0.0,32.9,0.04,33.96,18.5,0.1521,0.9884,0.0,1.0
2024-03-01 00:36:00,residential,21.78,23.31,59.4,0.013,406.0,0.0,31.7,0.11,32.46,19.6,0.1564,0.9877,0.0,1.0
2024-03-01 00:37:00,residential,22.72,23.27,58.5,0.115,409.0,0.0,35.7,0.26,33.6,20.7,0.1607,0.987,0.0,1.0
2024-03-01 00:38:00,residential,22.61,23.21,59.1,0.072,400.0,0.0,30.7,0.2,32.94,21.8,0.165,0.9863,0.0,1.0
2024-03-01 00:39:00,residential,22.06,23.05,61.4,0.0,423.0,0.0,34.8,0.24,33.56,22.9,0.1693,0.9856,0.0,1.0
2024-03-01 00:40:00,residential,22.78,22.95,58.4,0.193,408.0,9.0,39.8,0.07,33.19,24.1,0.1736,0.9848,0.0,1.0
2024-03-01 00:41:00,residential,22.15,23.4,53.9,0.176,400.0,5.0,37.3,0.17,33.04,25.3,0.1779,0.984,0.0,1.0
2024-03-01 00:42:00,residential,22.89,23.84,59.2,0.064,400.0,8.0,35.6,0.09,31.32,26.6,0.1822,0.9833,0.0,1.0
2024-03-01 00:43:00,residential,22.37,23.7,59.4,0.045,400.0,23.0,31.7,0.14,32.51,27.8,0.1865,0.9825,0.0,1.0
2024-03-01 00:44:00,residential,22.12,23.54,59.7,0.136,406.0,15.0,34.8,0.18,34.99,29.1,0.1908,0.9816,0.0,1.0
2024-03-01 00:45:00,residential,23.22,23.89,58.9,0.133,415.0,45.0,32.6,0.11,33.09,30.4,0.1951,0.9808,0.0,1.0
2024-03-01 00:46:00,residential,22.13,23.41,57.6,0.123,406.0,35.0,39.3,0.16,32.52,31.8,0.1994,0.9799,0.0,1.0
2024-03-01 00:47:00,residential,22.37,23.01,58.8,0.017,416.0,2.0,33.6,0.18,33.31,33.2,0.2036,0.979,0.0,1.0
2024-03-01 00:48:00,residential,22.44,23.28,62.9,0.022,404.0,5.0,32.6,0.04,31.77,34.6,0.2079,0.9781,0.0,1.0
2024-03-01 00:49:00,residential,22.5,23.4,59.3,0.088,423.0,7.0,34.3,0.01,32.84,36.0,0.2122,0.9772,0.0,1.0
2024-03-01 00:50:00,residential,22.86,23.23,60.7,0.015,400.0,0.0,32.7,0.03,33.53,37.5,0.2164,0.9763,0.0,1.0
2024-03-01 00:51:00,residential,22.68,23.69,57.3,0.007,421.0,28.0,35.7,0.26,33.86,39.0,0.2207,0.9753,0.0,1.0
2024-03-01 00:52:00,residential,22.98,23.82,58.8,0.008,400.0,18.0,40.5,0.3,33.74,40.5,0.225,0.9744,0.0,1.0
2024-03-01 00:53:00,residential,22.8,22.77,57.4,0.23,400.0,0.0,35.0,0.04,34.93,42.0,0.2292,0.9734,0.0,1.0
2024-03-01 00:54:00,residential,22.2,23.41,62.0,0.005,403.0,46.0,32.2,0.11,32.77,43.6,0.2334,0.9724,0.0,1.0
2024-03-01 00:55:00,residential,22.88,22.31,56.3,0.157,421.0,0.0,34.5,0.1,31.97,45.2,0.2377,0.9713,0.0,1.0
2024-03-01 00:56:00,residential,22.8,23.45,60.2,0.005,400.0,0.0,31.2,0.18,33.14,46.8,0.2419,0.9703,0.0,1.0
2024-03-01 00:57:00,residential,22.55,23.45,60.2,0.022,419.0,0.0,43.6,0.09,32.96,48.5,0.2462,0.9692,0.0,1.0
2024-03-01 00:58:00,residential,23.37,24.21,60.1,0.193,409.0,0.0,40.4,0.29,33.74,50.2,0.2504,0.9681,0.0,1.0
2024-03-01 00:59:00,residential,22.95,24.1,54.8,0.108,400.0,72.0,38.7,0.05,33.29,51.9,0.2546,0.967,0.0,1.0
2024-03-01 01:00:00,residential,23.06,23.89,55.5,0.061,470.0,0.0,37.3,0.14,33.74,53.6,0.2588,0.9659,0.0,1.0
2024-03-01 01:01:00,residential,23.08,23.14,59.8,0.014,400.0,0.0,34.5,0.07,33.73,55.3,0.263,0.9648,0.0,1.0
2024-03-01 01:02:00,residential,22.68,23.13,57.7,0.023,400.0,1.0,34.6,0.12,34.53,57.1,0.2672,0.9636,0.0,1.0
2024-03-01 01:03:00,residential,23.0,23.1,58.3,0.05,434.0,0.0,34.3,0.06,33.66,58.9,0.2714,0.9625,0.0,1.0
2024-03-01 01:04:00,residential,22.92,24.16,58.7,0.397,401.0,9.0,42.1,0.03,33.9,60.8,0.2756,0.9613,0.0,1.0
2024-03-01 01:05:00,residential,22.67,23.2,57.5,0.119,400.0,0.0,34.4,0.27,35.5,62.6,0.2798,0.96,0.0,1.0
2024-03-01 01:06:00,residential,22.49,23.41,57.2,0.273,400.0,15.0,33.3,0.17,32.11,64.5,0.284,0.9588,0.0,1.0
2024-03-01 01:07:00,residential,22.87,23.22,59.6,0.088,400.0,0.0,34.7,0.2,33.95,66.4,0.2882,0.9576,0.0,1.0
2024-03-01 01:08:00,residential,23.05,23.08,55.8,0.039,400.0,0.0,36.6,0.12,33.68,68.4,0.2924,0.9563,0.0,1.0
2024-03-01 01:09:00,residential,22.89,23.73,58.6,0.216,424.0,0.0,25.0,0.05,33.87,70.3,0.2965,0.955,0.0,1.0
2024-03-01 01:10:00,residential,22.85,23.66,58.3,0.145,400.0,0.0,36.2,0.29,34.42,72.3,0.3007,0.9537,0.0,1.0
2024-03-01 01:11:00,residential,22.92,22.72,59.6,0.097,400.0,0.0,27.4,0.1,33.03,74.4,0.3049,0.9524,0.0,1.0
2024-03-01 01:12:00,residential,22.84,23.1,64.4,0.452,400.0,0.0,39.4,0.22,33.32,76.4,0.309,0.9511,0.0,1.0
2024-03-01 01:13:00,residential,23.4,23.73,57.7,0.024,400.0,0.0,29.8,0.27,34.65,78.5,0.3132,0.9497,0.0,1.0
