participant_id,baseline_total,vr_total,baseline_mental,vr_mental,baseline_physical,vr_physical,baseline_temporal,vr_temporal,baseline_effort,vr_effort,baseline_frustration,vr_frustration
1,48.2,34.3,50.7,27.7,21.1,16.3,38.8,31.4,44.7,38.2,36.8,16.7
2,62.7,39.8,81.6,34.1,35.1,17.8,49.0,14.9,52.2,20.4,32.4,21.6
3,46.9,15.2,63.2,32.7,19.6,15.6,24.1,27.8,48.6,41.3,32.3,13.9
4,51.0,34.0,38.3,23.4,14.1,15.6,42.8,23.4,45.0,32.3,35.2,16.3
5,31.2,47.6,59.0,27.0,17.8,15.1,52.5,30.6,50.0,26.7,40.0,31.6
6,61.9,36.4,55.6,39.3,21.8,3.4,37.8,43.6,56.7,24.6,43.5,49.8
7,53.7,36.7,60.6,40.7,30.4,6.7,36.7,35.2,50.1,32.6,80.4,27.7
8,56.0,24.7,35.1,25.1,28.7,25.7,39.9,14.5,41.6,29.7,44.4,43.3
9,56.9,41.1,70.4,34.8,29.4,18.6,60.4,19.7,47.0,32.3,43.1,33.4
10,56.7,31.5,49.5,40.3,23.8,5.8,52.4,41.4,53.6,22.4,23.2,18.7
11,55.9,32.2,66.8,28.0,11.1,5.5,48.9,40.6,47.4,25.1,43.0,23.9
12,48.9,35.7,55.1,32.8,15.8,15.1,54.0,44.5,54.6,47.4,29.6,30.7
13,37.5,31.9,43.3,31.1,34.2,11.3,65.2,32.6,57.3,30.0,32.7,38.4
14,65.7,26.8,52.3,43.9,29.0,12.4,43.9,12.7,59.4,36.0,36.5,24.0
15,49.7,28.2,49.4,20.5,20.5,15.3,20.6,29.0,45.4,32.6,51.3,30.5
16,41.3,31.6,33.9,42.7,11.5,30.4,40.5,34.0,61.5,41.3,59.8,6.8
17,47.8,40.8,47.4,27.5,14.0,16.7,15.1,25.4,41.9,14.3,46.8,10.6
18,51.1,30.6,50.7,35.2,18.6,16.7,72.9,38.7,41.7,38.8,33.5,1.6
19,45.1,37.5,58.3,40.3,17.9,13.4,36.3,25.6,48.8,34.8,27.9,30.7
20,58.2,31.7,50.3,28.8,18.6,12.2,59.4,19.5,37.7,13.7,53.6,14.0
21,52.5,29.9,45.9,25.0,9.1,23.1,44.0,25.5,23.8,15.1,54.1,25.0
22,42.7,25.3,62.1,30.1,19.0,19.3,53.3,26.4,56.6,18.3,44.8,27.9
23,44.0,46.4,55.9,25.6,35.0,18.7,33.6,19.6,42.8,30.7,44.9,31.5
24,50.5,39.5,70.0,31.0,26.4,4.5,46.5,17.7,46.5,30.1,40.6,17.2
25,57.7,33.6,38.4,35.4,23.7,16.6,32.7,19.2,55.5,27.6,45.5,22.3
26,61.0,38.7,53.3,31.8,17.6,5.4,54.8,21.9,43.0,30.6,15.1,3.4
27,48.1,37.8,66.9,32.8,10.0,18.8,77.4,31.1,27.9,29.5,38.0,21.1
28,52.3,9.0,46.3,41.6,24.7,22.9,34.4,13.6,49.6,30.2,41.4,31.3
29,52.8,31.9,57.2,34.0,34.6,14.4,51.3,36.1,46.9,24.0,40.1,32.7
30,62.4,30.6,51.5,17.2,17.5,22.0,36.8,22.2,51.4,31.6,45.6,10.4
31,46.8,30.8,30.8,19.3,28.1,19.7,53.1,20.3,44.5,28.0,25.3,37.0
32,61.8,32.7,68.2,35.2,39.5,12.8,50.5,19.7,39.7,33.6,50.4,51.7
