participant_id,sus_total,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10
1,93.5,2,4,1,4,2,2,1,2,5,2
2,79.5,1,4,3,3,1,3,3,1,3,5
3,78.1,2,2,5,1,5,4,4,4,4,4
4,78.6,4,2,4,3,3,1,5,4,2,3
5,74.5,3,4,1,4,3,1,4,4,3,1
6,81.1,1,1,4,4,5,5,3,4,1,5
7,88.6,4,3,4,2,2,3,1,2,5,2
8,82.8,5,5,3,4,2,3,5,1,5,4
9,84.2,2,3,4,5,5,4,2,5,3,2
10,102.1,1,5,3,3,1,4,4,5,1,3
11,86.6,4,4,3,5,4,3,2,2,3,3
12,82.5,1,3,4,2,4,4,5,2,4,4
13,82.7,3,5,5,5,5,2,2,3,1,5
14,67.4,4,2,3,1,5,5,4,2,1,2
15,77.3,1,3,5,4,2,4,2,5,2,3
16,74.0,4,2,2,3,3,5,5,1,1,5
17,83.0,4,5,3,3,1,2,2,5,2,4
18,74.8,3,5,1,1,1,1,1,2,5,3
19,90.0,3,4,4,2,3,3,5,4,3,2
20,85.5,1,5,2,1,3,4,1,2,3,2
21,88.8,1,3,2,2,4,1,2,3,4,1
22,79.3,2,1,5,3,5,3,4,5,4,2
23,84.8,5,2,4,1,2,1,5,1,2,4
24,96.0,1,1,1,1,1,5,3,2,1,3
25,81.5,2,3,2,1,3,4,4,5,2,3
26,79.4,2,4,2,5,1,1,5,1,1,1
27,87.4,5,5,1,1,4,5,2,3,1,3
28,84.0,3,1,5,3,5,1,5,2,4,3
29,74.7,1,2,1,2,3,2,2,5,4,4
30,97.7,3,4,1,1,5,5,3,2,4,3
31,86.9,2,2,4,1,2,1,1,1,5,1
32,80.7,2,3,5,1,3,3,4,2,3,3
