participant_id,professional,vr_first,prior_vr_hours,age_bracket,T1_baseline_s,T1_vr_s,T1_baseline_correct,T1_vr_correct,T2_baseline_s,T2_vr_s,T2_correct_baseline,T2_correct_vr,T3_baseline_acc,T3_vr_acc
1,1,1,5.7,45-54,91.8,61.1,1,1,174.9,50,1,1,0.27,0.8
2,1,1,6.7,35-44,72.1,38.7,1,1,132.5,79.3,1,0,0.47,0.66
3,1,1,8.8,25-34,73.8,65.2,0,1,174.6,88.4,0,1,0.48,0.72
4,1,1,3.0,25-34,67.7,30,1,1,149.7,89.9,1,1,0.46,0.68
5,1,1,6.6,45-54,102.2,64.1,0,1,117.8,89.5,0,1,0.47,0.62
6,1,1,6.5,25-34,76.9,39.3,1,1,140.6,66.2,0,1,0.44,0.64
7,1,1,7.4,45-54,88.1,58.0,0,1,110.6,67.5,0,0,0.29,0.73
8,1,1,2.5,25-34,108.4,70.0,1,1,137.5,69.4,1,0,0.46,0.56
9,1,1,0,25-34,75.7,81.0,1,0,128.9,76.9,1,0,0.4,0.74
10,1,1,2.3,25-34,87.8,61.8,1,1,136.7,83.2,1,1,0.42,0.81
11,1,1,0,25-34,86.2,38.0,0,1,147.8,112.8,0,1,0.5,0.85
12,1,1,6.2,45-54,104.1,61.7,0,1,178.9,93.9,1,0,0.25,0.89
13,1,1,5.3,25-34,128.4,76.3,1,1,104.5,110.6,0,1,0.51,0.74
14,1,1,6.4,35-44,73.8,45.4,1,1,133.7,84.2,0,1,0.42,0.86
15,1,1,0,45-54,110.9,42.1,1,1,153.2,116.8,1,1,0.26,0.61
16,1,1,1.2,35-44,95.7,41.2,1,1,100.4,86.7,0,1,0.41,0.63
17,1,0,4.4,25-34,79.2,60.1,0,1,139.1,70.1,0,0,0.42,0.75
18,1,0,3.5,25-34,97.2,59.9,0,1,126.3,83.8,0,1,0.29,0.83
19,0,0,1.5,45-54,103.6,63.1,0,1,197.1,74.6,1,1,0.26,0.75
20,0,0,6.6,35-44,98.2,52.1,0,1,130.4,102.5,1,1,0.27,0.59
21,0,0,5.7,35-44,66.5,46.7,1,1,163.5,89.8,1,1,0.51,0.74
22,0,0,4.4,25-34,111.6,66.7,1,1,172.5,94.4,1,1,0.49,0.61
23,0,0,6.5,35-44,68.6,47.8,0,1,172.0,85.1,0,1,0.3,0.72
24,0,0,0,35-44,71.0,33.0,0,1,116.9,84.8,1,1,0.38,0.87
25,0,0,0,45-54,115.1,54.5,1,1,156.5,88.7,0,1,0.46,0.85
26,0,0,5.5,25-34,59.2,70.3,1,1,161.8,78.6,1,0,0.25,0.61
27,0,0,11.4,25-34,82.2,54.2,1,1,142.5,92.7,1,1,0.37,0.56
28,0,0,4.6,35-44,98.5,34.2,1,1,110.3,68.2,1,1,0.27,0.85
29,0,0,2.1,35-44,103.3,55.7,1,1,172.6,85.5,0,1,0.44,0.74
30,0,0,2.8,45-54,114.8,54.0,0,1,111.1,83.8,0,1,0.5,0.82
31,0,0,0,25-34,105.3,54.9,1,1,106.0,96.4,1,1,0.25,0.58
32,0,0,5.3,25-34,96.7,77.3,0,1,150.0,72.6,0,1,0.52,0.74
