hour,dry_bulb_C,rh_pct,solar_rad_Wm2
0,28.6,72.0,0.0
1,29.0,65.0,54.0
2,32.1,70.0,200.0
3,33.1,62.0,400.0
4,30.5,72.0,600.0
5,30.9,66.0,746.0
6,31.6,67.0,800.0
7,29.9,66.0,746.0
8,28.6,63.0,600.0
9,25.8,65.0,400.0
10,25.5,63.0,200.0
11,23.3,70.0,54.0
12,20.6,64.0,0.0
13,20.0,58.0,54.0
14,18.0,57.0,200.0
15,15.9,57.0,400.0
16,16.8,68.0,600.0
17,15.6,59.0,746.0
18,18.2,67.0,800.0
19,18.5,66.0,746.0
20,20.0,65.0,600.0
21,21.4,67.0,400.0
22,25.4,66.0,200.0
23,26.1,52.0,54.0
24,27.7,64.0,0.0
25,29.5,67.0,54.0
26,31.7,73.0,200.0
27,32.4,74.0,400.0
28,32.7,58.0,600.0
29,32.5,64.0,746.0
30,33.5,57.0,800.0
31,29.7,73.0,746.0
32,27.9,70.0,600.0
33,25.7,67.0,400.0
34,25.1,66.0,200.0
35,23.5,72.0,54.0
36,20.3,71.0,0.0
37,17.9,71.0,54.0
38,16.6,68.0,200.0
39,17.2,64.0,400.0
40,17.0,69.0,600.0
41,17.0,70.0,746.0
42,16.5,64.0,800.0
43,18.6,64.0,746.0
44,20.2,71.0,600.0
45,22.2,74.0,400.0
46,24.9,62.0,200.0
47,26.3,64.0,54.0
48,28.7,67.0,0.0
49,29.8,68.0,54.0
50,31.3,63.0,200.0
51,32.5,75.0,400.0
52,30.7,68.0,600.0
53,31.6,68.0,746.0
54,30.7,74.0,800.0
55,29.3,63.0,746.0
56,28.0,65.0,600.0
57,27.9,59.0,400.0
58,23.4,65.0,200.0
59,23.2,58.0,54.0
60,18.6,69.0,0.0
61,18.2,68.0,54.0
62,17.4,64.0,200.0
63,17.0,65.0,400.0
64,16.8,69.0,600.0
65,17.1,60.0,746.0
66,16.7,67.0,800.0
67,17.8,69.0,746.0
68,20.7,57.0,600.0
69,21.6,69.0,400.0
70,22.6,57.0,200.0
71,24.8,65.0,54.0
72,26.9,60.0,0.0
73,30.0,73.0,54.0
74,31.0,60.0,200.0
75,32.4,58.0,400.0
76,31.6,66.0,600.0
77,31.9,64.0,746.0
78,31.6,58.0,800.0
79,29.4,68.0,746.0
80,28.6,56.0,600.0
81,25.5,61.0,400.0
82,23.8,63.0,200.0
83,21.7,70.0,54.0
84,18.9,72.0,0.0
85,18.9,71.0,54.0
86,16.6,65.0,200.0
87,16.3,54.0,400.0
88,16.4,68.0,600.0
89,16.6,73.0,746.0
90,17.5,72.0,800.0
91,18.0,68.0,746.0
92,19.3,60.0,600.0
93,21.5,63.0,400.0
94,22.0,76.0,200.0
95,24.3,59.0,54.0
96,26.4,60.0,0.0
97,28.4,71.0,54.0
98,31.1,64.0,200.0
99,30.6,60.0,400.0
100,31.4,74.0,600.0
101,32.9,68.0,746.0
102,30.5,64.0,800.0
103,30.3,60.0,746.0
104,27.0,76.0,600.0
105,25.8,66.0,400.0
106,23.0,73.0,200.0
107,21.6,71.0,54.0
108,20.8,64.0,0.0
109,16.5,64.0,54.0
110,17.4,73.0,200.0
111,16.3,74.0,400.0
112,15.2,57.0,600.0
113,14.5,69.0,746.0
114,16.8,66.0,800.0
115,17.4,61.0,746.0
116,19.8,68.0,600.0
117,21.5,60.0,400.0
118,25.1,64.0,200.0
119,25.4,62.0,54.0
120,26.5,64.0,0.0
121,29.4,66.0,54.0
122,30.7,61.0,200.0
123,32.7,74.0,400.0
124,32.5,69.0,600.0
125,31.8,75.0,746.0
126,32.1,66.0,800.0
127,28.3,64.0,746.0
128,27.2,75.0,600.0
129,25.0,63.0,400.0
130,23.4,66.0,200.0
131,20.4,70.0,54.0
132,20.4,60.0,0.0
133,17.9,70.0,54.0
134,15.3,69.0,200.0
135,14.9,73.0,400.0
136,15.9,71.0,600.0
137,16.7,73.0,746.0
138,18.6,66.0,800.0
139,20.7,62.0,746.0
140,19.8,77.0,600.0
141,20.3,59.0,400.0
142,21.2,59.0,200.0
143,25.7,69.0,54.0
144,26.6,75.0,0.0
145,28.6,68.0,54.0
146,29.8,72.0,200.0
147,31.1,57.0,400.0
148,32.6,64.0,600.0
149,31.4,57.0,746.0
150,30.4,71.0,800.0
151,28.3,59.0,746.0
152,26.0,60.0,600.0
153,25.3,69.0,400.0
154,23.6,72.0,200.0
155,23.4,66.0,54.0
156,19.8,70.0,0.0
157,18.9,69.0,54.0
158,16.1,66.0,200.0
159,14.6,61.0,400.0
160,14.5,70.0,600.0
161,14.9,70.0,746.0
162,18.5,71.0,800.0
163,16.8,68.0,746.0
164,20.1,61.0,600.0
165,20.3,70.0,400.0
166,24.1,67.0,200.0
167,25.7,64.0,54.0
168,27.1,65.0,0.0
169,28.9,63.0,54.0
170,29.6,71.0,200.0
171,31.5,60.0,400.0
172,30.9,62.0,600.0
173,29.9,65.0,746.0
174,29.1,75.0,800.0
175,29.3,72.0,746.0
176,29.1,59.0,600.0
177,25.7,74.0,400.0
178,23.4,74.0,200.0
179,21.7,61.0,54.0
180,20.8,54.0,0.0
181,18.0,67.0,54.0
182,16.1,73.0,200.0
183,16.7,75.0,400.0
184,15.7,63.0,600.0
185,17.0,76.0,746.0
186,16.4,56.0,800.0
187,16.3,65.0,746.0
188,17.7,65.0,600.0
189,22.7,73.0,400.0
190,24.8,74.0,200.0
191,25.0,72.0,54.0
192,26.7,60.0,0.0
193,30.2,71.0,54.0
194,29.0,70.0,200.0
195,30.0,59.0,400.0
196,31.9,57.0,600.0
197,30.6,72.0,746.0
198,30.2,66.0,800.0
199,28.8,61.0,746.0
200,27.7,66.0,600.0
201,26.8,69.0,400.0
202,23.5,67.0,200.0
203,21.9,59.0,54.0
204,17.3,77.0,0.0
205,17.6,72.0,54.0
206,15.5,66.0,200.0
207,14.3,66.0,400.0
208,14.3,69.0,600.0
209,15.0,62.0,746.0
210,17.0,69.0,800.0
211,16.0,61.0,746.0
212,19.0,67.0,600.0
213,20.4,61.0,400.0
214,22.6,62.0,200.0
215,26.0,76.0,54.0
216,27.5,68.0,0.0
217,29.9,68.0,54.0
218,29.8,57.0,200.0
219,30.1,64.0,400.0
220,30.8,70.0,600.0
221,31.1,68.0,746.0
222,30.2,57.0,800.0
223,27.7,68.0,746.0
224,27.3,69.0,600.0
225,25.5,74.0,400.0
226,25.7,64.0,200.0
227,23.0,56.0,54.0
228,18.3,62.0,0.0
229,17.2,62.0,54.0
230,14.7,71.0,200.0
231,14.7,54.0,400.0
232,15.3,65.0,600.0
233,16.4,75.0,746.0
234,15.2,68.0,800.0
235,16.5,72.0,746.0
236,16.7,59.0,600.0
237,20.5,60.0,400.0
238,21.7,75.0,200.0
239,24.3,68.0,54.0
240,25.9,68.0,0.0
241,28.4,62.0,54.0
242,28.0,68.0,200.0
243,29.1,62.0,400.0
244,33.0,74.0,600.0
245,29.4,81.0,746.0
246,28.8,70.0,800.0
247,30.5,64.0,746.0
248,30.0,55.0,600.0
249,24.0,59.0,400.0
250,22.7,75.0,200.0
251,21.3,63.0,54.0
252,20.8,66.0,0.0
253,16.4,71.0,54.0
254,15.8,75.0,200.0
255,15.9,67.0,400.0
256,15.3,66.0,600.0
257,14.7,68.0,746.0
258,15.7,65.0,800.0
259,15.7,65.0,746.0
260,18.4,70.0,600.0
261,20.3,69.0,400.0
262,22.8,78.0,200.0
263,24.1,70.0,54.0
264,27.1,74.0,0.0
265,29.3,62.0,54.0
266,29.8,70.0,200.0
267,30.8,64.0,400.0
268,30.8,70.0,600.0
