hour,dry_bulb_C,rh_pct,solar_rad_Wm2
0,13.0,76.0,0.0
1,13.9,75.0,54.0
2,15.7,76.0,200.0
3,16.7,80.0,400.0
4,16.8,70.0,600.0
5,16.8,74.0,746.0
6,14.6,69.0,800.0
7,13.3,76.0,746.0
8,12.6,74.0,600.0
9,10.7,80.0,400.0
10,8.1,75.0,200.0
11,6.8,73.0,54.0
12,5.5,74.0,0.0
13,4.1,84.0,54.0
14,3.0,67.0,200.0
15,-0.6,72.0,400.0
16,-0.8,75.0,600.0
17,0.3,72.0,746.0
18,1.4,78.0,800.0
19,2.3,75.0,746.0
20,3.6,76.0,600.0
21,5.8,76.0,400.0
22,8.6,75.0,200.0
23,8.9,69.0,54.0
24,14.5,76.0,0.0
25,13.9,66.0,54.0
26,16.2,72.0,200.0
27,15.4,78.0,400.0
28,16.9,81.0,600.0
29,16.2,87.0,746.0
30,16.2,73.0,800.0
31,13.9,71.0,746.0
32,14.0,78.0,600.0
33,9.0,85.0,400.0
34,9.4,83.0,200.0
35,6.5,70.0,54.0
36,3.4,75.0,0.0
37,4.7,80.0,54.0
38,3.3,80.0,200.0
39,-1.5,78.0,400.0
40,0.4,73.0,600.0
41,1.1,78.0,746.0
42,1.6,80.0,800.0
43,3.9,71.0,746.0
44,5.3,82.0,600.0
45,6.2,80.0,400.0
46,10.3,72.0,200.0
47,11.0,80.0,54.0
48,11.7,80.0,0.0
49,13.1,80.0,54.0
50,16.2,83.0,200.0
51,15.0,75.0,400.0
52,15.7,77.0,600.0
53,15.7,62.0,746.0
54,15.5,81.0,800.0
55,13.7,81.0,746.0
56,11.0,82.0,600.0
57,11.5,71.0,400.0
58,7.9,80.0,200.0
59,8.2,81.0,54.0
60,4.6,72.0,0.0
61,3.8,81.0,54.0
62,1.9,78.0,200.0
63,1.7,67.0,400.0
64,0.6,79.0,600.0
65,0.5,72.0,746.0
66,2.1,67.0,800.0
67,4.7,78.0,746.0
68,3.6,75.0,600.0
69,6.6,83.0,400.0
70,7.8,77.0,200.0
71,10.4,80.0,54.0
72,11.9,78.0,0.0
73,11.4,81.0,54.0
74,14.6,71.0,200.0
75,16.7,77.0,400.0
76,15.2,75.0,600.0
77,16.7,79.0,746.0
78,15.2,77.0,800.0
79,13.6,73.0,746.0
80,13.0,74.0,600.0
81,10.9,84.0,400.0
82,8.6,67.0,200.0
83,7.1,79.0,54.0
84,4.3,82.0,0.0
85,0.8,79.0,54.0
86,0.7,86.0,200.0
87,-1.6,81.0,400.0
88,0.6,78.0,600.0
89,1.0,74.0,746.0
90,1.8,78.0,800.0
91,2.6,79.0,746.0
92,4.7,76.0,600.0
93,4.0,72.0,400.0
94,7.6,70.0,200.0
95,8.3,77.0,54.0
96,11.3,69.0,0.0
97,15.0,74.0,54.0
98,15.8,64.0,200.0
99,16.2,80.0,400.0
100,15.6,82.0,600.0
101,14.6,76.0,746.0
102,15.0,85.0,800.0
103,14.7,83.0,746.0
