hour,zone,T_outdoor_C,T_zone_C,PMV_NA,PPD_NA_pct,kWh_m2_NA,supply_temp_C,blind_angle
0,1,29.25,20.42,-0.199,16.6,0.00159,17.0,0.7
0,2,29.25,20.03,-0.194,16.1,0.00201,16.5,0.74
0,3,29.25,22.24,0.008,5.0,0.00233,17.0,0.78
0,4,29.25,20.99,-0.114,9.0,0.0021,18.4,0.34
0,5,29.25,20.2,-0.208,17.6,0.00253,23.1,0.84
0,6,29.25,21.28,-0.09,7.5,0.00245,19.2,0.57
0,7,29.25,22.0,0.02,5.1,0.0023,21.7,0.83
0,8,29.25,21.72,-0.048,5.7,0.00265,22.1,0.48
1,1,29.78,21.62,-0.031,5.3,0.00191,16.3,0.92
1,2,29.78,20.22,-0.171,13.8,0.00233,20.3,0.07
1,3,29.78,22.47,0.031,5.3,0.00241,21.3,0.99
1,4,29.78,21.87,0.023,5.2,0.00199,21.1,0.12
1,5,29.78,22.39,0.074,6.7,0.00229,20.8,0.63
1,6,29.78,21.86,-0.025,5.2,0.00248,16.1,0.28
1,7,29.78,21.05,-0.098,8.0,0.00236,22.4,0.45
1,8,29.78,22.64,0.08,7.0,0.00173,20.0,0.49
2,1,30.4,20.64,-0.17,13.7,0.00257,16.5,0.27
2,2,30.4,21.39,0.009,5.0,0.0019,19.4,0.35
2,3,30.4,20.73,-0.126,9.8,0.00236,18.7,0.89
2,4,30.4,21.11,-0.057,6.0,0.00159,17.4,0.74
2,5,30.4,20.62,-0.13,10.2,0.0017,23.1,0.49
2,6,30.4,21.77,0.048,5.7,0.0023,19.3,0.45
2,7,30.4,20.93,-0.112,8.8,0.00189,22.6,0.48
2,8,30.4,22.97,0.079,6.9,0.00237,23.2,0.4
3,1,32.02,22.03,-0.012,5.0,0.00238,22.0,0.94
3,2,32.02,22.62,0.125,9.8,0.00245,16.5,0.43
3,3,32.02,20.24,-0.148,11.6,0.00201,21.2,0.01
3,4,32.02,21.53,-0.103,8.2,0.00182,20.8,0.9
3,5,32.02,22.29,0.007,5.0,0.00271,16.9,0.06
3,6,32.02,22.12,0.035,5.4,0.00249,16.8,0.95
3,7,32.02,21.37,-0.031,5.3,0.00144,23.8,0.38
3,8,32.02,20.87,-0.114,9.0,0.00277,21.4,0.92
4,1,30.99,21.44,0.03,5.3,0.00213,22.9,0.27
4,2,30.99,21.7,-0.036,5.4,0.00254,22.6,0.41
4,3,30.99,20.79,-0.053,5.9,0.002,19.6,0.86
4,4,30.99,21.42,-0.039,5.5,0.00223,17.9,0.86
4,5,30.99,22.67,0.11,8.7,0.0023,21.4,0.04
4,6,30.99,22.85,0.123,9.6,0.00268,18.4,0.59
4,7,30.99,21.63,-0.023,5.2,0.00231,19.3,0.62
4,8,30.99,19.28,-0.259,23.9,0.00253,22.3,0.28
5,1,30.74,17.41,-0.451,51.4,0.00173,18.6,0.14
5,2,30.74,20.72,-0.107,8.5,0.0014,19.2,0.89
5,3,30.74,21.26,-0.065,6.3,0.00138,18.1,0.99
5,4,30.74,22.22,0.034,5.4,0.00156,19.9,0.79
5,5,30.74,21.51,-0.066,6.3,0.00132,19.2,0.57
5,6,30.74,22.67,0.092,7.6,0.00191,17.1,0.79
5,7,30.74,18.98,-0.247,22.4,0.00208,22.5,0.61
5,8,30.74,19.64,-0.25,22.7,0.00277,22.8,0.46
6,1,30.87,22.38,0.014,5.1,0.00168,18.1,0.18
6,2,30.87,20.98,-0.099,8.0,0.00249,19.9,0.23
6,3,30.87,22.63,0.079,6.9,0.00173,18.0,0.94
6,4,30.87,23.87,0.19,15.7,0.00268,18.4,0.56
6,5,30.87,21.02,-0.075,6.7,0.00269,23.7,0.55
6,6,30.87,22.15,-0.043,5.6,0.00264,21.2,0.63
6,7,30.87,20.83,-0.152,12.0,0.00153,22.6,0.7
6,8,30.87,20.32,-0.199,16.6,0.00271,17.7,0.54
7,1,31.38,19.48,-0.235,20.8,0.00156,19.8,0.8
7,2,31.38,18.41,-0.331,33.9,0.00248,18.0,0.8
7,3,31.38,22.48,-0.01,5.0,0.00256,20.7,0.27
7,4,31.38,20.14,-0.207,17.5,0.0019,18.8,0.42
7,5,31.38,20.02,-0.237,21.1,0.00146,19.3,0.35
7,6,31.38,21.68,0.007,5.0,0.00132,21.2,0.68
7,7,31.38,21.3,-0.027,5.2,0.00233,17.5,0.13
7,8,31.38,20.92,-0.107,8.5,0.00212,17.2,0.17
8,1,31.43,19.26,-0.315,31.5,0.00266,20.9,0.75
8,2,31.43,21.07,-0.128,10.0,0.00218,17.0,0.98
8,3,31.43,21.79,-0.03,5.3,0.00131,23.1,0.97
8,4,31.43,20.97,-0.102,8.2,0.00266,18.4,0.55
8,5,31.43,21.02,-0.111,8.8,0.0014,16.1,0.04
8,6,31.43,21.37,-0.037,5.4,0.00245,16.8,0.06
8,7,31.43,23.66,0.144,11.3,0.00151,20.0,0.66
8,8,31.43,21.13,-0.075,6.7,0.00191,19.3,0.05
9,1,30.9,19.42,-0.228,20.0,0.00143,22.1,0.0
9,2,30.9,18.51,-0.28,26.6,0.00252,16.3,0.79
9,3,30.9,22.77,0.085,7.2,0.00262,19.8,0.52
9,4,30.9,21.79,0.024,5.2,0.00157,21.1,0.37
9,5,30.9,20.28,-0.195,16.2,0.00277,18.1,0.88
9,6,30.9,22.8,0.038,5.5,0.002,18.3,0.82
9,7,30.9,20.16,-0.156,12.3,0.0013,19.1,0.96
9,8,30.9,20.16,-0.154,12.2,0.0025,20.2,0.09
10,1,31.74,23.17,0.109,8.7,0.00269,16.1,0.97
10,2,31.74,23.37,0.081,7.0,0.00164,16.4,0.92
10,3,31.74,19.21,-0.255,23.4,0.00142,19.4,0.89
10,4,31.74,20.74,-0.136,10.6,0.00228,19.0,0.31
10,5,31.74,21.4,-0.098,7.9,0.002,17.0,0.46
10,6,31.74,22.21,0.008,5.0,0.00238,18.7,0.99
10,7,31.74,19.64,-0.199,16.6,0.00158,16.8,0.74
10,8,31.74,22.33,0.048,5.7,0.00239,20.5,0.71
11,1,30.83,20.54,-0.124,9.7,0.00143,16.2,0.69
11,2,30.83,20.99,-0.132,10.3,0.0014,16.7,0.53
11,3,30.83,21.15,-0.084,7.2,0.00171,22.0,0.0
11,4,30.83,21.1,-0.107,8.5,0.00162,18.5,0.9
11,5,30.83,20.8,-0.105,8.4,0.00132,22.0,0.74
11,6,30.83,21.31,-0.085,7.3,0.0016,18.5,0.23
11,7,30.83,23.23,0.117,9.2,0.00162,18.1,0.94
11,8,30.83,22.85,0.091,7.6,0.00179,17.7,0.52
12,1,28.52,21.71,-0.001,5.0,0.00259,18.6,0.33
12,2,28.52,21.15,-0.098,8.0,0.00191,18.3,0.42
12,3,28.52,20.38,-0.131,10.2,0.00167,16.3,0.24
12,4,28.52,21.72,-0.013,5.1,0.00193,23.3,0.39
12,5,28.52,20.66,-0.163,13.0,0.00229,19.3,0.33
12,6,28.52,21.98,0.006,5.0,0.00216,17.2,0.82
12,7,28.52,20.7,-0.096,7.8,0.00239,16.7,0.08
12,8,28.52,21.57,-0.088,7.4,0.00167,17.1,0.47
13,1,30.81,20.61,-0.158,12.5,0.00139,21.3,0.28
13,2,30.81,19.71,-0.224,19.5,0.00161,21.8,0.51
13,3,30.81,20.2,-0.24,21.5,0.0015,22.9,0.81
13,4,30.81,21.87,0.027,5.2,0.00159,20.7,0.23
13,5,30.81,22.3,0.044,5.6,0.00128,23.8,0.98
13,6,30.81,21.79,-0.058,6.0,0.00187,20.3,0.48
13,7,30.81,22.0,-0.012,5.0,0.00132,17.5,0.84
13,8,30.81,21.27,-0.097,7.9,0.00221,16.2,0.29
14,1,28.55,21.63,-0.046,5.7,0.00271,20.7,0.51
14,2,28.55,23.23,0.126,9.8,0.00226,22.5,0.51
14,3,28.55,20.76,-0.139,10.9,0.00142,16.2,0.05
14,4,28.55,22.64,0.084,7.2,0.00222,21.5,0.38
14,5,28.55,19.93,-0.211,18.0,0.00188,23.5,0.19
14,6,28.55,21.39,-0.089,7.4,0.00201,20.3,0.9
14,7,28.55,21.35,-0.063,6.3,0.00246,16.2,0.02
14,8,28.55,19.34,-0.258,23.7,0.00208,18.5,0.0
15,1,29.92,21.55,-0.032,5.3,0.00242,19.1,0.51
15,2,29.92,22.83,0.081,7.1,0.00259,21.7,0.43
15,3,29.92,21.67,-0.055,6.0,0.00216,16.3,0.55
15,4,29.92,20.68,-0.142,11.1,0.00181,23.9,0.05
15,5,29.92,20.62,-0.139,10.9,0.00157,19.9,0.81
15,6,29.92,22.73,0.055,6.0,0.00187,20.6,0.63
15,7,29.92,21.34,-0.066,6.4,0.00148,16.1,0.54
15,8,29.92,20.55,-0.144,11.3,0.00205,18.9,0.09
16,1,28.92,20.74,-0.121,9.5,0.00212,23.2,0.71
16,2,28.92,21.79,-0.023,5.2,0.00227,18.6,0.97
16,3,28.92,21.54,-0.062,6.2,0.00233,21.6,0.84
16,4,28.92,20.02,-0.191,15.8,0.00148,16.1,0.1
16,5,28.92,21.5,-0.047,5.7,0.00197,18.1,0.83
16,6,28.92,22.4,0.01,5.0,0.00179,22.6,0.16
16,7,28.92,23.79,0.167,13.4,0.00269,20.4,0.79
16,8,28.92,21.22,-0.018,5.1,0.00184,16.7,0.75
17,1,27.96,23.08,0.14,11.0,0.00245,19.8,0.26
17,2,27.96,21.73,-0.053,5.9,0.00258,16.2,0.13
17,3,27.96,20.03,-0.204,17.2,0.00142,23.2,0.11
17,4,27.96,22.14,0.058,6.1,0.00128,22.5,0.65
17,5,27.96,24.01,0.227,19.9,0.00205,16.2,0.08
17,6,27.96,22.84,0.068,6.4,0.00171,23.6,0.04
17,7,27.96,20.78,-0.103,8.3,0.00243,23.9,0.14
