hour,zone,T_outdoor_C,T_zone_C,PMV_NA,PPD_NA_pct,kWh_m2_NA,supply_temp_C,blind_angle
0,1,27.6,23.31,0.168,13.4,0.00146,17.0,0.82
0,2,27.6,22.72,0.078,6.9,0.00248,23.6,0.18
0,3,27.6,22.67,0.115,9.0,0.00243,19.2,0.18
0,4,27.6,22.73,0.057,6.0,0.00278,20.0,0.7
1,1,30.35,22.17,0.009,5.0,0.00161,19.3,0.41
1,2,30.35,22.82,0.096,7.8,0.00275,19.7,0.4
1,3,30.35,20.83,-0.113,9.0,0.00248,17.7,0.81
1,4,30.35,23.18,0.12,9.4,0.00134,23.9,0.17
2,1,30.46,22.56,0.051,5.8,0.0026,18.6,0.79
2,2,30.46,22.62,0.06,6.1,0.00199,22.8,0.74
2,3,30.46,22.42,0.016,5.1,0.00187,23.9,0.45
2,4,30.46,20.82,-0.147,11.5,0.00198,17.9,0.16
3,1,28.93,19.87,-0.242,21.7,0.00198,20.8,0.78
3,2,28.93,19.55,-0.275,26.0,0.0022,17.7,0.42
3,3,28.93,18.62,-0.38,41.0,0.00173,17.5,0.93
3,4,28.93,20.94,-0.145,11.4,0.00242,20.3,0.04
4,1,30.2,20.65,-0.148,11.6,0.00218,20.5,0.11
4,2,30.2,22.0,-0.035,5.4,0.00242,21.3,0.57
4,3,30.2,25.21,0.301,29.6,0.00263,17.3,0.53
4,4,30.2,21.45,-0.078,6.9,0.0022,22.7,0.18
5,1,29.91,24.63,0.286,27.5,0.00203,17.3,0.83
5,2,29.91,19.96,-0.183,14.9,0.00215,16.6,0.67
5,3,29.91,23.05,0.135,10.5,0.00241,16.3,0.18
5,4,29.91,20.14,-0.167,13.4,0.00214,21.2,0.01
6,1,31.43,22.55,0.055,5.9,0.00278,23.1,0.09
6,2,31.43,22.88,0.105,8.4,0.00257,21.0,0.48
6,3,31.43,23.89,0.166,13.2,0.00158,22.7,0.4
6,4,31.43,19.72,-0.284,27.3,0.00138,19.3,0.74
7,1,32.42,22.91,0.086,7.3,0.00172,19.9,0.74
7,2,32.42,23.29,0.103,8.3,0.00182,20.4,0.16
7,3,32.42,22.19,0.029,5.3,0.00184,23.5,0.82
7,4,32.42,22.04,-0.081,7.0,0.00198,20.6,0.27
8,1,31.92,22.65,0.098,8.0,0.00165,21.3,0.95
8,2,31.92,19.6,-0.238,21.1,0.00156,22.9,0.78
8,3,31.92,22.74,0.061,6.2,0.00273,21.5,0.54
8,4,31.92,21.58,-0.076,6.8,0.00148,16.8,0.0
9,1,31.86,21.34,-0.022,5.1,0.00218,18.9,0.76
9,2,31.86,21.03,-0.087,7.3,0.00127,18.3,0.61
9,3,31.86,22.0,-0.027,5.2,0.00249,19.3,0.26
9,4,31.86,22.83,0.071,6.6,0.00186,20.3,0.84
10,1,30.32,21.12,-0.089,7.4,0.00174,20.8,0.64
10,2,30.32,23.69,0.175,14.2,0.00223,20.6,0.27
10,3,30.32,22.06,-0.004,5.0,0.00253,19.1,0.52
10,4,30.32,19.31,-0.268,25.1,0.00273,17.6,0.13
11,1,28.92,23.75,0.185,15.2,0.00202,18.3,0.01
11,2,28.92,21.79,-0.024,5.2,0.00191,19.6,0.8
11,3,28.92,21.75,-0.041,5.5,0.00274,22.6,0.01
11,4,28.92,22.57,0.119,9.4,0.00139,16.8,0.97
12,1,29.65,21.05,-0.088,7.4,0.00233,23.1,0.7
12,2,29.65,22.64,0.068,6.5,0.00196,18.0,0.2
12,3,29.65,23.2,0.158,12.5,0.00181,17.1,0.55
12,4,29.65,21.07,-0.103,8.3,0.00168,17.2,0.97
13,1,28.25,21.11,-0.114,9.0,0.0014,23.6,0.58
13,2,28.25,21.38,-0.039,5.5,0.00161,21.3,0.47
13,3,28.25,21.58,-0.061,6.2,0.00127,16.6,0.84
13,4,28.25,21.14,-0.083,7.1,0.00253,20.7,0.75
14,1,28.3,19.8,-0.195,16.2,0.00129,19.3,0.87
14,2,28.3,20.66,-0.207,17.5,0.00201,23.0,0.28
14,3,28.3,22.26,0.029,5.3,0.00166,18.1,0.33
14,4,28.3,20.28,-0.179,14.5,0.00239,23.1,0.78
15,1,27.9,21.12,-0.082,7.1,0.00142,17.6,0.88
15,2,27.9,20.25,-0.21,17.9,0.0017,23.9,0.31
15,3,27.9,20.94,-0.082,7.1,0.00171,17.4,0.03
15,4,27.9,20.55,-0.136,10.6,0.00188,19.1,0.67
16,1,27.31,19.69,-0.149,11.7,0.00129,23.6,0.55
16,2,27.31,21.93,0.03,5.3,0.00243,16.1,0.17
16,3,27.31,22.45,-0.007,5.0,0.0027,19.7,0.31
16,4,27.31,20.86,-0.13,10.2,0.00134,19.8,0.25
17,1,27.27,21.96,0.013,5.1,0.00151,18.8,0.62
17,2,27.27,22.28,0.046,5.7,0.00194,20.5,0.34
17,3,27.27,20.69,-0.124,9.7,0.00189,23.1,0.26
17,4,27.27,22.35,-0.011,5.0,0.00277,19.2,0.27
18,1,28.02,23.2,0.129,10.1,0.00229,17.0,0.18
18,2,28.02,20.1,-0.18,14.6,0.00208,19.9,0.07
18,3,28.02,20.53,-0.134,10.5,0.00202,18.6,0.29
18,4,28.02,21.32,-0.075,6.7,0.00141,21.6,0.82
19,1,26.93,19.46,-0.281,26.8,0.00231,18.5,0.82
19,2,26.93,22.67,0.056,6.0,0.00245,19.5,0.67
19,3,26.93,23.13,0.128,10.0,0.00204,19.7,0.86
19,4,26.93,22.25,0.01,5.0,0.00232,18.6,0.16
20,1,28.4,20.66,-0.118,9.2,0.00238,17.9,0.0
20,2,28.4,22.81,0.044,5.6,0.00134,22.3,0.02
20,3,28.4,22.48,0.078,6.9,0.00179,23.0,0.68
20,4,28.4,22.78,0.07,6.5,0.00273,18.4,0.73
21,1,27.16,22.67,0.082,7.1,0.002,16.6,0.94
21,2,27.16,20.12,-0.18,14.6,0.00192,19.5,0.82
21,3,27.16,21.73,0.005,5.0,0.00158,21.7,0.04
21,4,27.16,21.71,-0.009,5.0,0.00243,17.6,0.65
22,1,28.96,20.87,-0.125,9.7,0.00153,19.2,0.48
22,2,28.96,20.31,-0.247,22.4,0.00276,17.6,0.96
22,3,28.96,21.07,-0.114,9.0,0.00256,16.7,0.8
22,4,28.96,21.16,-0.056,6.0,0.0013,20.5,0.99
23,1,29.45,18.68,-0.323,32.7,0.00163,18.1,0.47
23,2,29.45,19.68,-0.16,12.7,0.00272,16.8,0.43
23,3,29.45,21.79,-0.073,6.7,0.0022,21.1,0.07
23,4,29.45,21.01,-0.108,8.6,0.00144,17.9,0.27
24,1,31.38,20.08,-0.23,20.3,0.00143,22.8,0.8
24,2,31.38,21.56,-0.051,5.8,0.00197,21.7,0.67
24,3,31.38,20.55,-0.118,9.3,0.00257,18.3,0.89
24,4,31.38,22.11,-0.013,5.0,0.00214,18.6,0.32
25,1,29.32,21.74,-0.069,6.5,0.00258,18.9,0.78
25,2,29.32,24.1,0.226,19.7,0.00138,17.5,0.97
25,3,29.32,22.12,-0.003,5.0,0.00178,21.8,0.01
25,4,29.32,19.4,-0.23,20.2,0.00214,19.5,0.37
26,1,29.12,21.23,-0.088,7.4,0.00209,18.3,0.38
26,2,29.12,21.57,-0.028,5.3,0.00191,17.6,0.46
26,3,29.12,20.24,-0.181,14.7,0.00177,17.9,0.8
26,4,29.12,20.88,-0.102,8.2,0.00196,20.5,0.64
27,1,30.73,20.13,-0.204,17.2,0.00257,23.8,0.6
27,2,30.73,20.06,-0.163,12.9,0.00225,19.6,0.9
27,3,30.73,21.15,-0.067,6.4,0.00195,18.3,0.18
27,4,30.73,22.8,0.086,7.3,0.00163,18.8,0.92
28,1,29.42,21.25,-0.107,8.5,0.00134,20.3,0.04
28,2,29.42,21.86,0.013,5.1,0.00261,20.9,0.76
28,3,29.42,20.17,-0.196,16.3,0.00129,17.5,0.38
28,4,29.42,21.22,-0.052,5.9,0.00134,23.3,0.16
29,1,32.16,20.18,-0.189,15.5,0.00154,22.5,0.21
29,2,32.16,21.04,-0.118,9.3,0.00145,23.9,0.3
29,3,32.16,20.17,-0.22,19.0,0.00209,20.6,0.04
29,4,32.16,18.49,-0.321,32.3,0.0017,23.3,0.27
30,1,31.1,19.11,-0.208,17.7,0.00208,23.7,0.57
30,2,31.1,22.59,0.052,5.8,0.0024,22.7,0.8
30,3,31.1,22.64,0.097,7.9,0.00171,17.1,0.91
30,4,31.1,21.32,-0.131,10.2,0.00161,18.3,0.68
31,1,31.24,21.26,-0.102,8.2,0.00247,20.4,0.58
31,2,31.24,20.48,-0.158,12.5,0.00186,18.0,0.29
31,3,31.24,20.91,-0.055,5.9,0.00192,22.6,0.29
31,4,31.24,22.2,0.013,5.0,0.00232,18.3,0.06
32,1,31.64,21.22,-0.096,7.8,0.00252,16.5,0.19
32,2,31.64,20.9,-0.112,8.8,0.00164,22.7,0.65
32,3,31.64,20.9,-0.081,7.0,0.00138,23.0,0.47
32,4,31.64,23.44,0.117,9.2,0.00232,18.0,0.5
33,1,29.09,22.0,0.007,5.0,0.00154,22.0,0.77
33,2,29.09,23.34,0.166,13.3,0.00168,22.4,0.94
33,3,29.09,19.81,-0.228,20.0,0.00229,21.8,0.14
33,4,29.09,20.32,-0.096,7.8,0.00127,20.6,0.56
34,1,30.07,24.78,0.29,28.0,0.00217,23.9,0.27
34,2,30.07,20.45,-0.187,15.3,0.00135,20.0,0.99
34,3,30.07,21.11,-0.089,7.4,0.00231,19.2,0.73
34,4,30.07,22.89,0.063,6.2,0.00249,17.9,0.06
35,1,29.36,20.41,-0.125,9.7,0.00184,19.3,0.8
35,2,29.36,21.99,0.005,5.0,0.00234,18.1,0.35
35,3,29.36,23.6,0.136,10.6,0.00146,16.8,0.81
35,4,29.36,22.05,-0.035,5.4,0.00239,22.8,0.01
36,1,28.44,20.66,-0.175,14.1,0.00228,19.4,0.72
36,2,28.44,23.58,0.147,11.5,0.00213,23.4,0.16
36,3,28.44,21.46,-0.03,5.3,0.00133,19.3,0.58
36,4,28.44,22.2,0.022,5.1,0.0017,17.8,0.37
37,1,28.6,22.09,0.006,5.0,0.00133,17.8,0.55
37,2,28.6,21.46,-0.027,5.2,0.0026,22.1,0.92
37,3,28.6,21.19,-0.084,7.2,0.00193,23.2,0.4
37,4,28.6,21.34,-0.128,10.0,0.00221,22.2,0.84
38,1,30.04,20.67,-0.129,10.1,0.00253,22.7,0.68
38,2,30.04,23.06,0.092,7.6,0.00184,16.5,0.92
